; Candidate 1323
; ADRP+ADD at VM 0xfffffff008350db8 (fileoff 0x134cdb8): page=0x1fed53000 add_imm=0xd29

0xfffffff008350d38: 3f010a6b  cmp	w9, w10
0xfffffff008350d3c: e1030054  b.ne	#0xfffffff008350db8
0xfffffff008350d40: 092140b9  ldr	w9, [x8, #0x20]
0xfffffff008350d44: 08910091  add	x8, x8, #0x24
0xfffffff008350d48: 89000034  cbz	w9, #0xfffffff008350d58
0xfffffff008350d4c: 08410091  add	x8, x8, #0x10
0xfffffff008350d50: 29050071  subs	w9, w9, #1
0xfffffff008350d54: c1ffff54  b.ne	#0xfffffff008350d4c
0xfffffff008350d58: 080140f9  ldr	x8, [x8]
0xfffffff008350d5c: 498d92d2  mov	x9, #0x946a
0xfffffff008350d60: c9e9b2f2  movk	x9, #0x974e, lsl #16
0xfffffff008350d64: c9e9c4f2  movk	x9, #0x274e, lsl #32
0xfffffff008350d68: a981f6f2  movk	x9, #0xb40d, lsl #48
0xfffffff008350d6c: 1f0109eb  cmp	x8, x9
0xfffffff008350d70: a1010054  b.ne	#0xfffffff008350da4
0xfffffff008350d74: 2000c03d  ldr	q0, [x1]
0xfffffff008350d78: e003803d  str	q0, [sp]
0xfffffff008350d7c: 280840f9  ldr	x8, [x1, #0x10]
0xfffffff008350d80: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008350d84: b0060090  adrp	x16, #0xfffffff008424000
0xfffffff008350d88: 10423391  add	x16, x16, #0xcd0
0xfffffff008350d8c: 311594d2  mov	x17, #0xa0a9
0xfffffff008350d90: 3002c1da  pacia	x16, x17
0xfffffff008350d94: e10310aa  mov	x1, x16
0xfffffff008350d98: e0030091  mov	x0, sp
0xfffffff008350d9c: 0b000094  bl	#0xfffffff008350dc8
0xfffffff008350da0: 03000014  b	#0xfffffff008350dac
0xfffffff008350da4: e0588052  mov	w0, #0x2c7
0xfffffff008350da8: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff008350dac: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008350db0: ffc30091  add	sp, sp, #0x30
0xfffffff008350db4: ff0f5fd6  retab	
0xfffffff008350db8: 806afff0  adrp	x0, #0xfffffff0070a3000
0xfffffff008350dbc: 00a43491  add	x0, x0, #0xd29
0xfffffff008350dc0: d449fe97  bl	#0xfffffff0082e3510
0xfffffff008350dc4: 200020d4  brk	#1
0xfffffff008350dc8: 7f2303d5  pacibsp	
0xfffffff008350dcc: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008350dd0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008350dd4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008350dd8: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008350ddc: fdc30091  add	x29, sp, #0x30
0xfffffff008350de0: f3578052  mov	w19, #0x2bf
0xfffffff008350de4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008350de8: 170040f9  ldr	x23, [x0]
0xfffffff008350dec: e82240b9  ldr	w8, [x23, #0x20]
0xfffffff008350df0: 1f0d0071  cmp	w8, #3
0xfffffff008350df4: 61090054  b.ne	#0xfffffff008350f20
0xfffffff008350df8: e84246f8  ldur	x8, [x23, #0x64]
0xfffffff008350dfc: 1f0d00f1  cmp	x8, #3
0xfffffff008350e00: 01090054  b.ne	#0xfffffff008350f20
0xfffffff008350e04: 081040b9  ldr	w8, [x0, #0x10]
0xfffffff008350e08: 1f310271  cmp	w8, #0x8c
0xfffffff008350e0c: a3080054  b.lo	#0xfffffff008350f20
0xfffffff008350e10: f40301aa  mov	x20, x1
0xfffffff008350e14: 160440f9  ldr	x22, [x0, #8]
0xfffffff008350e18: 960000b4  cbz	x22, #0xfffffff008350e28
0xfffffff008350e1c: 081440b9  ldr	w8, [x0, #0x14]
0xfffffff008350e20: 1f510171  cmp	w8, #0x54
0xfffffff008350e24: e3070054  b.lo	#0xfffffff008350f20
0xfffffff008350e28: e04247f8  ldur	x0, [x23, #0x74]
0xfffffff008350e2c: 200200b4  cbz	x0, #0xfffffff008350e70
0xfffffff008350e30: 100040f9  ldr	x16, [x0]
0xfffffff008350e34: f10300aa  mov	x17, x0
