; Candidate 13245
; ADRP+ADD at VM 0xfffffff0092426ac (fileoff 0x223e6ac): page=0x1fe275000 add_imm=0xdec

0xfffffff00924262c: 05000014  b	#0xfffffff009242640
0xfffffff009242630: 7f050031  cmn	w11, #1
0xfffffff009242634: e10e0054  b.ne	#0xfffffff009242810
0xfffffff009242638: 0a5aa052  mov	w10, #0x2d00000
0xfffffff00924263c: 0b808052  mov	w11, #0x400
0xfffffff009242640: 37796bb8  ldr	w23, [x9, x11, lsl #2]
0xfffffff009242644: f503012a  mov	w21, w1
0xfffffff009242648: 9403f837  tbnz	w20, #0x1f, #0xfffffff0092426b8
0xfffffff00924264c: ff020a6a  tst	w23, w10
0xfffffff009242650: 400d0054  b.eq	#0xfffffff0092427f8
0xfffffff009242654: 122eb297  bl	#0xfffffff007ecde9c
0xfffffff009242658: f40300aa  mov	x20, x0
0xfffffff00924265c: 761646f9  ldr	x22, [x19, #0xc28]
0xfffffff009242660: 681a158b  add	x8, x19, x21, lsl #6
0xfffffff009242664: 00555af9  ldr	x0, [x8, #0x34a8]
0xfffffff009242668: 100040f9  ldr	x16, [x0]
0xfffffff00924266c: f10300aa  mov	x17, x0
0xfffffff009242670: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009242674: 301ac1da  autda	x16, x17
0xfffffff009242678: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff00924267c: e90310aa  mov	x9, x16
0xfffffff009242680: f10309aa  mov	x17, x9
0xfffffff009242684: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009242688: 11093fd7  blraa	x8, x17
0xfffffff00924268c: f4080034  cbz	w20, #0xfffffff0092427a8
0xfffffff009242690: e0df01a9  stp	x0, x23, [sp, #0x18]
0xfffffff009242694: a813ffb0  adrp	x8, #0xfffffff0074b7000
0xfffffff009242698: 084d3791  add	x8, x8, #0xdd3
0xfffffff00924269c: a913ff90  adrp	x9, #0xfffffff0074b6000
0xfffffff0092426a0: 29512791  add	x9, x9, #0x9d4
0xfffffff0092426a4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff0092426a8: f60300f9  str	x22, [sp]
0xfffffff0092426ac: a013ffb0  adrp	x0, #0xfffffff0074b7000
0xfffffff0092426b0: 00b03791  add	x0, x0, #0xdec
0xfffffff0092426b4: 3b000014  b	#0xfffffff0092427a0
0xfffffff0092426b8: 09848252  mov	w9, #0x1420
0xfffffff0092426bc: 0801098b  add	x8, x8, x9
0xfffffff0092426c0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0092426c4: ff5300f9  str	xzr, [sp, #0xa0]
0xfffffff0092426c8: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff0092426cc: e00303ad  stp	q0, q0, [sp, #0x60]
0xfffffff0092426d0: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff0092426d4: e00f803d  str	q0, [sp, #0x30]
0xfffffff0092426d8: f44300b9  str	w20, [sp, #0x40]
0xfffffff0092426dc: 080140f9  ldr	x8, [x8]
0xfffffff0092426e0: 095140b9  ldr	w9, [x8, #0x50]
0xfffffff0092426e4: 0a5540b9  ldr	w10, [x8, #0x54]
0xfffffff0092426e8: 497d60b3  bfi	x9, x10, #0x20, #0x20
0xfffffff0092426ec: e91f00f9  str	x9, [sp, #0x38]
0xfffffff0092426f0: 0a4540b9  ldr	w10, [x8, #0x44]
0xfffffff0092426f4: 094940b9  ldr	w9, [x8, #0x48]
0xfffffff0092426f8: ea270929  stp	w10, w9, [sp, #0x48]
0xfffffff0092426fc: 084d40b9  ldr	w8, [x8, #0x4c]
0xfffffff009242700: e85300b9  str	w8, [sp, #0x50]
0xfffffff009242704: e14700b9  str	w1, [sp, #0x44]
0xfffffff009242708: 761a158b  add	x22, x19, x21, lsl #6
0xfffffff00924270c: c8565af9  ldr	x8, [x22, #0x34a8]
0xfffffff009242710: e84f00f9  str	x8, [sp, #0x98]
0xfffffff009242714: 28008052  mov	w8, #1
0xfffffff009242718: e8930239  strb	w8, [sp, #0xa4]
0xfffffff00924271c: f5c30091  add	x21, sp, #0x30
0xfffffff009242720: e1c30091  add	x1, sp, #0x30
0xfffffff009242724: e00313aa  mov	x0, x19
0xfffffff009242728: 02008052  mov	w2, #0
