; Candidate 5545
; ADRP+ADD at VM 0xfffffff0087f78d8 (fileoff 0x17f38d8): page=0x1fe9f2000 add_imm=0xe80

0xfffffff0087f7858: 69a68052  mov	w9, #0x533
0xfffffff0087f785c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f7860: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7864: 08213591  add	x8, x8, #0xd48
0xfffffff0087f7868: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f786c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f7870: e80e8052  mov	w8, #0x77
0xfffffff0087f7874: e050fff0  adrp	x0, #0xfffffff007216000
0xfffffff0087f7878: 00603091  add	x0, x0, #0xc18
0xfffffff0087f787c: 0df7ff17  b	#0xfffffff0087f54b0
0xfffffff0087f7880: 16008052  mov	w22, #0
0xfffffff0087f7884: 95f7ff17  b	#0xfffffff0087f56d8
0xfffffff0087f7888: 49f20294  bl	#0xfffffff0088b41ac
0xfffffff0087f788c: f40300aa  mov	x20, x0
0xfffffff0087f7890: 80008052  mov	w0, #4
0xfffffff0087f7894: ef0f0294  bl	#0xfffffff00887b850
0xfffffff0087f7898: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f789c: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f78a0: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087f78a4: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f78a8: c850ffb0  adrp	x8, #0xfffffff007210000
0xfffffff0087f78ac: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f78b0: a99d8052  mov	w9, #0x4ed
0xfffffff0087f78b4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f78b8: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f78bc: 08213591  add	x8, x8, #0xd48
0xfffffff0087f78c0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f78c4: e80e8052  mov	w8, #0x77
0xfffffff0087f78c8: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f78cc: 63ac0e91  add	x3, x3, #0x3ab
0xfffffff0087f78d0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f78d4: f40300f9  str	x20, [sp]
0xfffffff0087f78d8: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f78dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f78e0: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f78e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f78e8: 02008052  mov	w2, #0
0xfffffff0087f78ec: 11eeec97  bl	#0xfffffff008333130
0xfffffff0087f78f0: 7af7ff17  b	#0xfffffff0087f56d8
0xfffffff0087f78f4: 2ef20294  bl	#0xfffffff0088b41ac
0xfffffff0087f78f8: f40300aa  mov	x20, x0
0xfffffff0087f78fc: 80008052  mov	w0, #4
0xfffffff0087f7900: d40f0294  bl	#0xfffffff00887b850
0xfffffff0087f7904: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087f7908: 095b40b9  ldr	w9, [x24, #0x58]
0xfffffff0087f790c: e9db04a9  stp	x9, x22, [sp, #0x48]
0xfffffff0087f7910: e8e303a9  stp	x8, x24, [sp, #0x38]
0xfffffff0087f7914: e850fff0  adrp	x8, #0xfffffff007216000
0xfffffff0087f7918: 088d2a91  add	x8, x8, #0xaa3
0xfffffff0087f791c: 499c8052  mov	w9, #0x4e2
0xfffffff0087f7920: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087f7924: e850ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f7928: 08213591  add	x8, x8, #0xd48
0xfffffff0087f792c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f7930: e80e8052  mov	w8, #0x77
0xfffffff0087f7934: 4352ffd0  adrp	x3, #0xfffffff007241000
0xfffffff0087f7938: 63640d91  add	x3, x3, #0x359
0xfffffff0087f793c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f7940: f40300f9  str	x20, [sp]
0xfffffff0087f7944: 804fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f7948: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f794c: 8190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f7950: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f7954: 02008052  mov	w2, #0
