; Candidate 11155
; ADRP+ADD at VM 0xfffffff008e81318 (fileoff 0x1e7d318): page=0x1fe559000 add_imm=0xded

0xfffffff008e81298: f10315aa  mov	x17, x21
0xfffffff008e8129c: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e812a0: 301ac1da  autda	x16, x17
0xfffffff008e812a4: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008e812a8: e90310aa  mov	x9, x16
0xfffffff008e812ac: 36008052  mov	w22, #1
0xfffffff008e812b0: e00315aa  mov	x0, x21
0xfffffff008e812b4: 21008052  mov	w1, #1
0xfffffff008e812b8: e30314aa  mov	x3, x20
0xfffffff008e812bc: f10309aa  mov	x17, x9
0xfffffff008e812c0: 71d6e9f2  movk	x17, #0x4eb3, lsl #48
0xfffffff008e812c4: 11093fd7  blraa	x8, x17
0xfffffff008e812c8: 68da4139  ldrb	w8, [x19, #0x76]
0xfffffff008e812cc: c8020034  cbz	w8, #0xfffffff008e81324
0xfffffff008e812d0: 76d20139  strb	w22, [x19, #0x74]
0xfffffff008e812d4: 708241a9  ldp	x16, x0, [x19, #0x18]
0xfffffff008e812d8: 41008052  mov	w1, #2
0xfffffff008e812dc: 020080d2  mov	x2, #0
0xfffffff008e812e0: 030080d2  mov	x3, #0
0xfffffff008e812e4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008e812e8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008e812ec: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008e812f0: ff030191  add	sp, sp, #0x40
0xfffffff008e812f4: ff2303d5  autibsp	
0xfffffff008e812f8: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff008e812fc: 5100f0b6  tbz	x17, #0x3e, #0xfffffff008e81304
0xfffffff008e81300: 208e38d4  brk	#0xc471
0xfffffff008e81304: 311594d2  mov	x17, #0xa0a9
0xfffffff008e81308: 110a1fd7  braa	x16, x17
0xfffffff008e8130c: c82affb0  adrp	x8, #0xfffffff0073da000
0xfffffff008e81310: 08f13891  add	x8, x8, #0xe3c
0xfffffff008e81314: e80300f9  str	x8, [sp]
0xfffffff008e81318: c02affb0  adrp	x0, #0xfffffff0073da000
0xfffffff008e8131c: 00b43791  add	x0, x0, #0xded
0xfffffff008e81320: 4057d397  bl	#0xfffffff008357020
0xfffffff008e81324: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008e81328: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008e8132c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008e81330: ff030191  add	sp, sp, #0x40
0xfffffff008e81334: ff0f5fd6  retab	
0xfffffff008e81338: 7f2303d5  pacibsp	
0xfffffff008e8133c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008e81340: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008e81344: fd430091  add	x29, sp, #0x10
0xfffffff008e81348: f30300aa  mov	x19, x0
0xfffffff008e8134c: 100040f9  ldr	x16, [x0]
0xfffffff008e81350: f10300aa  mov	x17, x0
0xfffffff008e81354: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008e81358: 301ac1da  autda	x16, x17
0xfffffff008e8135c: 114780d2  mov	x17, #0x238
0xfffffff008e81360: 1002118b  add	x16, x16, x17
0xfffffff008e81364: 080240f9  ldr	x8, [x16]
0xfffffff008e81368: e90310aa  mov	x9, x16
0xfffffff008e8136c: f10309aa  mov	x17, x9
0xfffffff008e81370: 310ae1f2  movk	x17, #0x851, lsl #48
0xfffffff008e81374: 11093fd7  blraa	x8, x17
0xfffffff008e81378: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff008e8137c: 600100b4  cbz	x0, #0xfffffff008e813a8
0xfffffff008e81380: 100040f9  ldr	x16, [x0]
0xfffffff008e81384: f10300aa  mov	x17, x0
0xfffffff008e81388: b1fbfff2  movk	x17, #0xffdd, lsl #48
0xfffffff008e8138c: 301ac1da  autda	x16, x17
0xfffffff008e81390: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008e81394: e90310aa  mov	x9, x16
