; Candidate 9115
; ADRP+ADD at VM 0xfffffff0089f80b4 (fileoff 0x19f40b4): page=0x1fe89c000 add_imm=0xdf4

0xfffffff0089f8034: 05000014  b	#0xfffffff0089f8048
0xfffffff0089f8038: e00314aa  mov	x0, x20
0xfffffff0089f803c: e10316aa  mov	x1, x22
0xfffffff0089f8040: 02008052  mov	w2, #0
0xfffffff0089f8044: 6ef8ff97  bl	#0xfffffff0089f61fc
0xfffffff0089f8048: 60ea0239  strb	w0, [x19, #0xba]
0xfffffff0089f804c: 3f0315eb  cmp	x25, x21
0xfffffff0089f8050: 61000054  b.ne	#0xfffffff0089f805c
0xfffffff0089f8054: 60e64239  ldrb	w0, [x19, #0xb9]
0xfffffff0089f8058: 05000014  b	#0xfffffff0089f806c
0xfffffff0089f805c: e00314aa  mov	x0, x20
0xfffffff0089f8060: e10318aa  mov	x1, x24
0xfffffff0089f8064: 02008052  mov	w2, #0
0xfffffff0089f8068: 65f8ff97  bl	#0xfffffff0089f61fc
0xfffffff0089f806c: 60e20239  strb	w0, [x19, #0xb8]
0xfffffff0089f8070: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0089f8074: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0089f8078: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0089f807c: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0089f8080: fa6743a9  ldp	x26, x25, [sp, #0x30]
0xfffffff0089f8084: ff030291  add	sp, sp, #0x80
0xfffffff0089f8088: ff0f5fd6  retab	
0xfffffff0089f808c: e844ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f8090: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f8094: 29968052  mov	w9, #0x4b1
0xfffffff0089f8098: ea44ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089f809c: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f80a0: eb44ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089f80a4: 6b292491  add	x11, x11, #0x90a
0xfffffff0089f80a8: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f80ac: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f80b0: eb0300f9  str	x11, [sp]
0xfffffff0089f80b4: e044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f80b8: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f80bc: e9fcce97  bl	#0xfffffff007db7460
0xfffffff0089f80c0: cdffff17  b	#0xfffffff0089f7ff4
0xfffffff0089f80c4: e844ffb0  adrp	x8, #0xfffffff007295000
0xfffffff0089f80c8: 08a51791  add	x8, x8, #0x5e9
0xfffffff0089f80cc: e9978052  mov	w9, #0x4bf
0xfffffff0089f80d0: ea44ff90  adrp	x10, #0xfffffff007294000
0xfffffff0089f80d4: 4a853991  add	x10, x10, #0xe61
0xfffffff0089f80d8: eb44ffb0  adrp	x11, #0xfffffff007295000
0xfffffff0089f80dc: 6bcd2491  add	x11, x11, #0x933
0xfffffff0089f80e0: e9ff01a9  stp	x9, xzr, [sp, #0x18]
0xfffffff0089f80e4: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0089f80e8: eb0300f9  str	x11, [sp]
0xfffffff0089f80ec: e044ff90  adrp	x0, #0xfffffff007294000
0xfffffff0089f80f0: 00d03791  add	x0, x0, #0xdf4
0xfffffff0089f80f4: dbfcce97  bl	#0xfffffff007db7460
0xfffffff0089f80f8: ccffff17  b	#0xfffffff0089f8028
0xfffffff0089f80fc: 5f2403d5  bti	c
0xfffffff0089f8100: 084c40f9  ldr	x8, [x0, #0x98]
0xfffffff0089f8104: 297840b9  ldr	w9, [x1, #0x78]
0xfffffff0089f8108: 0abc40b9  ldr	w10, [x0, #0xbc]
0xfffffff0089f810c: 0bc440b9  ldr	w11, [x0, #0xc4]
0xfffffff0089f8110: 0c904179  ldrh	w12, [x0, #0xc8]
0xfffffff0089f8114: 4a010b8b  add	x10, x10, x11
0xfffffff0089f8118: 4a0500d1  sub	x10, x10, #1
0xfffffff0089f811c: 4a09cb9a  udiv	x10, x10, x11
0xfffffff0089f8120: 4a010c8b  add	x10, x10, x12
0xfffffff0089f8124: 4aed7cd3  lsl	x10, x10, #4
0xfffffff0089f8128: 4a610091  add	x10, x10, #0x18
0xfffffff0089f812c: 4821099b  madd	x8, x10, x9, x8
0xfffffff0089f8130: 22d000b9  str	w2, [x1, #0xd0]
