; Candidate 808
; ADRP+ADD at VM 0xfffffff0080b8348 (fileoff 0x10b4348): page=0x1fefbc000 add_imm=0xed6

0xfffffff0080b82c8: ea008052  mov	w10, #7
0xfffffff0080b82cc: 4a118c1a  csel	w10, w10, w12, ne
0xfffffff0080b82d0: 0e118d1a  csel	w14, w8, w13, ne
0xfffffff0080b82d4: 1f010071  cmp	w8, #0
0xfffffff0080b82d8: 6f011e32  orr	w15, w11, #4
0xfffffff0080b82dc: 88018a1a  csel	w8, w12, w10, eq
0xfffffff0080b82e0: 6a018f1a  csel	w10, w11, w15, eq
0xfffffff0080b82e4: ab018e1a  csel	w11, w13, w14, eq
0xfffffff0080b82e8: 29010034  cbz	w9, #0xfffffff0080b830c
0xfffffff0080b82ec: 4a011e32  orr	w10, w10, #4
0xfffffff0080b82f0: 3f010b6b  cmp	w9, w11
0xfffffff0080b82f4: 6429407a  ccmp	w11, #0, #4, hs
0xfffffff0080b82f8: 09018052  mov	w9, #8
0xfffffff0080b82fc: 2801881a  csel	w8, w9, w8, eq
0xfffffff0080b8300: 08980079  strh	w8, [x0, #0x4c]
0xfffffff0080b8304: 0a9c0079  strh	w10, [x0, #0x4e]
0xfffffff0080b8308: 06000014  b	#0xfffffff0080b8320
0xfffffff0080b830c: 08980079  strh	w8, [x0, #0x4c]
0xfffffff0080b8310: 0a9c0079  strh	w10, [x0, #0x4e]
0xfffffff0080b8314: 1f250071  cmp	w8, #9
0xfffffff0080b8318: 4019407a  ccmp	w10, #0, #0, ne
0xfffffff0080b831c: 60010054  b.eq	#0xfffffff0080b8348
0xfffffff0080b8320: 1f250071  cmp	w8, #9
0xfffffff0080b8324: e0000054  b.eq	#0xfffffff0080b8340
0xfffffff0080b8328: 094840b9  ldr	w9, [x0, #0x48]
0xfffffff0080b832c: 0848288b  add	x8, x0, w8, uxtw #2
0xfffffff0080b8330: 081140b9  ldr	w8, [x8, #0x10]
0xfffffff0080b8334: 0801092b  adds	w8, w8, w9
0xfffffff0080b8338: 08159f1a  csinc	w8, w8, wzr, ne
0xfffffff0080b833c: 085000b9  str	w8, [x0, #0x50]
0xfffffff0080b8340: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0080b8344: ff0f5fd6  retab	
0xfffffff0080b8348: e07dff90  adrp	x0, #0xfffffff007074000
0xfffffff0080b834c: 00583b91  add	x0, x0, #0xed6
0xfffffff0080b8350: e17dff90  adrp	x1, #0xfffffff007074000
0xfffffff0080b8354: 21683691  add	x1, x1, #0xd9a
0xfffffff0080b8358: 22338152  mov	w2, #0x999
0xfffffff0080b835c: 2e9d0f94  bl	#0xfffffff00849f814
0xfffffff0080b8360: 7f2303d5  pacibsp	
0xfffffff0080b8364: ffc301d1  sub	sp, sp, #0x70
0xfffffff0080b8368: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0080b836c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0080b8370: fd830191  add	x29, sp, #0x60
0xfffffff0080b8374: 082c40f9  ldr	x8, [x0, #0x58]
0xfffffff0080b8378: 088940b9  ldr	w8, [x8, #0x88]
0xfffffff0080b837c: 1f0d0071  cmp	w8, #3
0xfffffff0080b8380: 81000054  b.ne	#0xfffffff0080b8390
0xfffffff0080b8384: 088c4139  ldrb	w8, [x0, #0x63]
0xfffffff0080b8388: a8003037  tbnz	w8, #6, #0xfffffff0080b839c
0xfffffff0080b838c: e0000014  b	#0xfffffff0080b870c
0xfffffff0080b8390: 08984079  ldrh	w8, [x0, #0x4c]
0xfffffff0080b8394: 1f250071  cmp	w8, #9
0xfffffff0080b8398: 21010054  b.ne	#0xfffffff0080b83bc
0xfffffff0080b839c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0080b83a0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0080b83a4: ffc30191  add	sp, sp, #0x70
0xfffffff0080b83a8: ff2303d5  autibsp	
0xfffffff0080b83ac: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080b83b0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080b83b8
0xfffffff0080b83b4: 208e38d4  brk	#0xc471
0xfffffff0080b83b8: 4ff6ff17  b	#0xfffffff0080b5cf4
0xfffffff0080b83bc: 0be00091  add	x11, x0, #0x38
0xfffffff0080b83c0: 0a9c4079  ldrh	w10, [x0, #0x4e]
0xfffffff0080b83c4: 085040b9  ldr	w8, [x0, #0x50]
