; Candidate 16056
; ADRP+ADD at VM 0xfffffff009e102e0 (fileoff 0x2e0c2e0): page=0x1fd893000 add_imm=0xe00

0xfffffff009e10260: 63101f91  add	x3, x3, #0x7c4
0xfffffff009e10264: 02028052  mov	w2, #0x10
0xfffffff009e10268: b28b9497  bl	#0xfffffff008333130
0xfffffff009e1026c: 9c000014  b	#0xfffffff009e104dc
0xfffffff009e10270: ea3340f9  ldr	x10, [sp, #0x60]
0xfffffff009e10274: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff009e10278: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff009e1027c: e90300f9  str	x9, [sp]
0xfffffff009e10280: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e10284: 00003891  add	x0, x0, #0xe00
0xfffffff009e10288: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e1028c: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e10290: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e10294: 63142291  add	x3, x3, #0x885
0xfffffff009e10298: 02028052  mov	w2, #0x10
0xfffffff009e1029c: a58b9497  bl	#0xfffffff008333130
0xfffffff009e102a0: 8f000014  b	#0xfffffff009e104dc
0xfffffff009e102a4: a81640b9  ldr	w8, [x21, #0x14]
0xfffffff009e102a8: e80b00a9  stp	x8, x2, [sp]
0xfffffff009e102ac: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e102b0: 00003891  add	x0, x0, #0xe00
0xfffffff009e102b4: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e102b8: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e102bc: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e102c0: 63442091  add	x3, x3, #0x811
0xfffffff009e102c4: 02028052  mov	w2, #0x10
0xfffffff009e102c8: 9a8b9497  bl	#0xfffffff008333130
0xfffffff009e102cc: 86000014  b	#0xfffffff009e104e4
0xfffffff009e102d0: ea3340f9  ldr	x10, [sp, #0x60]
0xfffffff009e102d4: 291540b9  ldr	w9, [x9, #0x14]
0xfffffff009e102d8: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff009e102dc: e90300f9  str	x9, [sp]
0xfffffff009e102e0: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e102e4: 00003891  add	x0, x0, #0xe00
0xfffffff009e102e8: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e102ec: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e102f0: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e102f4: 631c2691  add	x3, x3, #0x987
0xfffffff009e102f8: 02028052  mov	w2, #0x10
0xfffffff009e102fc: 8d8b9497  bl	#0xfffffff008333130
0xfffffff009e10300: 77000014  b	#0xfffffff009e104dc
0xfffffff009e10304: a81640b9  ldr	w8, [x21, #0x14]
0xfffffff009e10308: e80b00a9  stp	x8, x2, [sp]
0xfffffff009e1030c: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e10310: 00003891  add	x0, x0, #0xe00
0xfffffff009e10314: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e10318: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e1031c: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e10320: 63342491  add	x3, x3, #0x90d
0xfffffff009e10324: 02028052  mov	w2, #0x10
0xfffffff009e10328: 828b9497  bl	#0xfffffff008333130
0xfffffff009e1032c: 6e000014  b	#0xfffffff009e104e4
0xfffffff009e10330: e00300f9  str	x0, [sp]
0xfffffff009e10334: 80c4fef0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e10338: 00003891  add	x0, x0, #0xe00
0xfffffff009e1033c: c1f8feb0  adrp	x1, #0xfffffff007d29000
0xfffffff009e10340: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e10344: 83d0fe90  adrp	x3, #0xfffffff007820000
0xfffffff009e10348: 63b81991  add	x3, x3, #0x66e
0xfffffff009e1034c: 02028052  mov	w2, #0x10
0xfffffff009e10350: 788b9497  bl	#0xfffffff008333130
0xfffffff009e10354: 62000014  b	#0xfffffff009e104dc
0xfffffff009e10358: e83340f9  ldr	x8, [sp, #0x60]
0xfffffff009e1035c: 897341f9  ldr	x9, [x28, #0x2e0]
