; Candidate 610
; ADRP+ADD at VM 0xfffffff007fc1978 (fileoff 0xfbd978): page=0x1ff9b3000 add_imm=0xdf0

0xfffffff007fc18f8: 00000091  add	x0, x0, #0
0xfffffff007fc18fc: c11201b0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fc1900: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fc1904: 6387ffb0  adrp	x3, #0xfffffff0070ae000
0xfffffff007fc1908: 63941d91  add	x3, x3, #0x765
0xfffffff007fc190c: 02008052  mov	w2, #0
0xfffffff007fc1910: 08c60d94  bl	#0xfffffff008333130
0xfffffff007fc1914: 00008052  mov	w0, #0
0xfffffff007fc1918: 68120391  add	x8, x19, #0xc4
0xfffffff007fc191c: 09108052  mov	w9, #0x80
0xfffffff007fc1920: b4000034  cbz	w20, #0xfffffff007fc1934
0xfffffff007fc1924: 083129b8  ldset	w9, w8, [x8]
0xfffffff007fc1928: 04000014  b	#0xfffffff007fc1938
0xfffffff007fc192c: c0028052  mov	w0, #0x16
0xfffffff007fc1930: 02000014  b	#0xfffffff007fc1938
0xfffffff007fc1934: 081129b8  ldclr	w9, w8, [x8]
0xfffffff007fc1938: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff007fc193c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff007fc1940: ff030191  add	sp, sp, #0x40
0xfffffff007fc1944: ff0f5fd6  retab	
0xfffffff007fc1948: 7f2303d5  pacibsp	
0xfffffff007fc194c: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff007fc1950: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff007fc1954: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff007fc1958: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff007fc195c: fdc30091  add	x29, sp, #0x30
0xfffffff007fc1960: f50303aa  mov	x21, x3
0xfffffff007fc1964: f70302aa  mov	x23, x2
0xfffffff007fc1968: f80301aa  mov	x24, x1
0xfffffff007fc196c: f60300aa  mov	x22, x0
0xfffffff007fc1970: 680f0190  adrp	x8, #0xfffffff00a1ad000
0xfffffff007fc1974: 137547f9  ldr	x19, [x8, #0xee8]
0xfffffff007fc1978: 80cdfff0  adrp	x0, #0xfffffff007974000
0xfffffff007fc197c: 00c03791  add	x0, x0, #0xdf0
0xfffffff007fc1980: 81008052  mov	w1, #4
0xfffffff007fc1984: 5495f797  bl	#0xfffffff007da6ed4
0xfffffff007fc1988: 400500b4  cbz	x0, #0xfffffff007fc1a30
0xfffffff007fc198c: f40300aa  mov	x20, x0
0xfffffff007fc1990: 15d80329  stp	w21, w22, [x0, #0x1c]
0xfffffff007fc1994: 18dc02a9  stp	x24, x23, [x0, #0x28]
0xfffffff007fc1998: c82d8c52  mov	w8, #0x616e
0xfffffff007fc199c: 88cdae72  movk	w8, #0x766c, lsl #16
0xfffffff007fc19a0: 49008052  mov	w9, #2
0xfffffff007fc19a4: df7a0071  cmp	w22, #0x1e
0xfffffff007fc19a8: 6a008052  mov	w10, #3
0xfffffff007fc19ac: 2b008052  mov	w11, #1
0xfffffff007fc19b0: 4a118b1a  csel	w10, w10, w11, ne
0xfffffff007fc19b4: df02086b  cmp	w22, w8
0xfffffff007fc19b8: 28018a1a  csel	w8, w9, w10, eq
0xfffffff007fc19bc: df0a0071  cmp	w22, #2
0xfffffff007fc19c0: e803881a  csel	w8, wzr, w8, eq
0xfffffff007fc19c4: 081800b9  str	w8, [x0, #0x18]
0xfffffff007fc19c8: 945b0994  bl	#0xfffffff008218818
0xfffffff007fc19cc: f50300aa  mov	x21, x0
0xfffffff007fc19d0: 880f01f0  adrp	x8, #0xfffffff00a1b4000
0xfffffff007fc19d4: 173d45f9  ldr	x23, [x8, #0xa78]
0xfffffff007fc19d8: d70000b4  cbz	x23, #0xfffffff007fc19f0
0xfffffff007fc19dc: e80240b9  ldr	w8, [x23]
0xfffffff007fc19e0: 1f01166b  cmp	w8, w22
0xfffffff007fc19e4: a0020054  b.eq	#0xfffffff007fc1a38
0xfffffff007fc19e8: f71640f9  ldr	x23, [x23, #0x28]
0xfffffff007fc19ec: 97ffffb5  cbnz	x23, #0xfffffff007fc19dc
0xfffffff007fc19f0: e882fff0  adrp	x8, #0xfffffff007020000
0xfffffff007fc19f4: 08a12691  add	x8, x8, #0x9a8
