; Candidate 773
; ADRP+ADD at VM 0xfffffff0080811e4 (fileoff 0x107d1e4): page=0x1feffb000 add_imm=0xd6a

0xfffffff008081164: f40300aa  mov	x20, x0
0xfffffff008081168: 002040f9  ldr	x0, [x0, #0x40]
0xfffffff00808116c: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff008081170: 083d40f9  ldr	x8, [x8, #0x78]
0xfffffff008081174: 880000b4  cbz	x8, #0xfffffff008081184
0xfffffff008081178: 01008052  mov	w1, #0
0xfffffff00808117c: b1679ed2  mov	x17, #0xf33d
0xfffffff008081180: 11093fd7  blraa	x8, x17
0xfffffff008081184: 680240f9  ldr	x8, [x19]
0xfffffff008081188: a80000b4  cbz	x8, #0xfffffff00808119c
0xfffffff00808118c: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff008081190: 08054039  ldrb	w8, [x8, #1]
0xfffffff008081194: 1f090071  cmp	w8, #2
0xfffffff008081198: 81010054  b.ne	#0xfffffff0080811c8
0xfffffff00808119c: 81a20391  add	x1, x20, #0xe8
0xfffffff0080811a0: e00313aa  mov	x0, x19
0xfffffff0080811a4: 02058052  mov	w2, #0x28
0xfffffff0080811a8: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff0080811ac: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0080811b0: ff030191  add	sp, sp, #0x40
0xfffffff0080811b4: ff2303d5  autibsp	
0xfffffff0080811b8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0080811bc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0080811c4
0xfffffff0080811c0: 208e38d4  brk	#0xc471
0xfffffff0080811c4: 6696fc17  b	#0xfffffff007fa6b5c
0xfffffff0080811c8: e88b8152  mov	w8, #0xc5f
0xfffffff0080811cc: 697ffff0  adrp	x9, #0xfffffff007070000
0xfffffff0080811d0: 29493f91  add	x9, x9, #0xfd2
0xfffffff0080811d4: 8a7fff90  adrp	x10, #0xfffffff007071000
0xfffffff0080811d8: 4a490e91  add	x10, x10, #0x392
0xfffffff0080811dc: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0080811e0: ea4f00a9  stp	x10, x19, [sp]
0xfffffff0080811e4: c07ffff0  adrp	x0, #0xfffffff00707c000
0xfffffff0080811e8: 00a83591  add	x0, x0, #0xd6a
0xfffffff0080811ec: c84c1094  bl	#0xfffffff00849450c
0xfffffff0080811f0: 7f2303d5  pacibsp	
0xfffffff0080811f4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0080811f8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0080811fc: fd430091  add	x29, sp, #0x10
0xfffffff008081200: f30300aa  mov	x19, x0
0xfffffff008081204: 089040b9  ldr	w8, [x0, #0x90]
0xfffffff008081208: 08010332  orr	w8, w8, #0x20000000
0xfffffff00808120c: 089000b9  str	w8, [x0, #0x90]
0xfffffff008081210: 007440f9  ldr	x0, [x0, #0xe8]
0xfffffff008081214: 800000b4  cbz	x0, #0xfffffff008081224
0xfffffff008081218: 01008052  mov	w1, #0
0xfffffff00808121c: 837afc97  bl	#0xfffffff007f9fc28
0xfffffff008081220: 7f7600f9  str	xzr, [x19, #0xe8]
0xfffffff008081224: 607a40f9  ldr	x0, [x19, #0xf0]
0xfffffff008081228: e00000b4  cbz	x0, #0xfffffff008081244
0xfffffff00808122c: 01008052  mov	w1, #0
0xfffffff008081230: 03a9fb97  bl	#0xfffffff007f6b63c
0xfffffff008081234: 7f7a00f9  str	xzr, [x19, #0xf0]
0xfffffff008081238: 68fa40b9  ldr	w8, [x19, #0xf8]
0xfffffff00808123c: 08791f12  and	w8, w8, #0xfffffffe
0xfffffff008081240: 68fa00b9  str	w8, [x19, #0xf8]
0xfffffff008081244: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008081248: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00808124c: ff0f5fd6  retab	
0xfffffff008081250: 7f2303d5  pacibsp	
0xfffffff008081254: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008081258: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00808125c: fd430091  add	x29, sp, #0x10
0xfffffff008081260: f30300aa  mov	x19, x0
