; Candidate 16123
; ADRP+ADD at VM 0xfffffff009e22bf0 (fileoff 0x2e1ebf0): page=0x1fd881000 add_imm=0xe00

0xfffffff009e22b70: f80300aa  mov	x24, x0
0xfffffff009e22b74: 22177fa9  ldp	x2, x5, [x25, #-0x10]
0xfffffff009e22b78: e1830191  add	x1, sp, #0x60
0xfffffff009e22b7c: e00317aa  mov	x0, x23
0xfffffff009e22b80: e30318aa  mov	x3, x24
0xfffffff009e22b84: e40302aa  mov	x4, x2
0xfffffff009e22b88: 9c350094  bl	#0xfffffff009e301f8
0xfffffff009e22b8c: e00318aa  mov	x0, x24
0xfffffff009e22b90: 027dff97  bl	#0xfffffff009e01f98
0xfffffff009e22b94: 210741f8  ldr	x1, [x25], #0x10
0xfffffff009e22b98: 61feffb5  cbnz	x1, #0xfffffff009e22b64
0xfffffff009e22b9c: e80240f9  ldr	x8, [x23]
0xfffffff009e22ba0: 094540f9  ldr	x9, [x8, #0x88]
0xfffffff009e22ba4: 3f0114eb  cmp	x9, x20
0xfffffff009e22ba8: 20010054  b.eq	#0xfffffff009e22bcc
0xfffffff009e22bac: 084140f9  ldr	x8, [x8, #0x80]
0xfffffff009e22bb0: a9cffef0  adrp	x9, #0xfffffff007819000
0xfffffff009e22bb4: 29e13d91  add	x9, x9, #0xf78
0xfffffff009e22bb8: 1f0100f1  cmp	x8, #0
0xfffffff009e22bbc: 3401889a  csel	x20, x9, x8, eq
0xfffffff009e22bc0: 05000014  b	#0xfffffff009e22bd4
0xfffffff009e22bc4: f40317aa  mov	x20, x23
0xfffffff009e22bc8: d7feff17  b	#0xfffffff009e22724
0xfffffff009e22bcc: b4cffef0  adrp	x20, #0xfffffff007819000
0xfffffff009e22bd0: 949e3d91  add	x20, x20, #0xf67
0xfffffff009e22bd4: e00315aa  mov	x0, x21
0xfffffff009e22bd8: 13758e97  bl	#0xfffffff0081c0024
0xfffffff009e22bdc: f83f40f9  ldr	x24, [sp, #0x78]
0xfffffff009e22be0: e00315aa  mov	x0, x21
0xfffffff009e22be4: 10758e97  bl	#0xfffffff0081c0024
0xfffffff009e22be8: e0d300a9  stp	x0, x20, [sp, #8]
0xfffffff009e22bec: f80300f9  str	x24, [sp]
0xfffffff009e22bf0: 00c4feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e22bf4: 00003891  add	x0, x0, #0xe00
0xfffffff009e22bf8: 21f8fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e22bfc: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e22c00: e3cffeb0  adrp	x3, #0xfffffff00781f000
0xfffffff009e22c04: 63c43a91  add	x3, x3, #0xeb1
0xfffffff009e22c08: 02008052  mov	w2, #0
0xfffffff009e22c0c: 49419497  bl	#0xfffffff008333130
0xfffffff009e22c10: d08e47f8  ldr	x16, [x22, #0x78]!
0xfffffff009e22c14: f10316aa  mov	x17, x22
0xfffffff009e22c18: 1172f1f2  movk	x17, #0x8b90, lsl #48
0xfffffff009e22c1c: 301ac1da  autda	x16, x17
0xfffffff009e22c20: f10310aa  mov	x17, x16
0xfffffff009e22c24: f147c1da  xpacd	x17
0xfffffff009e22c28: 1f0211eb  cmp	x16, x17
0xfffffff009e22c2c: 40000054  b.eq	#0xfffffff009e22c34
0xfffffff009e22c30: 408e38d4  brk	#0xc472
0xfffffff009e22c34: e00310aa  mov	x0, x16
0xfffffff009e22c38: e10317aa  mov	x1, x23
0xfffffff009e22c3c: 338cff97  bl	#0xfffffff009e05d08
0xfffffff009e22c40: 08008052  mov	w8, #0
0xfffffff009e22c44: e90240f9  ldr	x9, [x23]
0xfffffff009e22c48: 29894079  ldrh	w9, [x9, #0x44]
0xfffffff009e22c4c: a9026036  tbz	w9, #0xc, #0xfffffff009e22ca0
0xfffffff009e22c50: e00315aa  mov	x0, x21
0xfffffff009e22c54: 5d898e97  bl	#0xfffffff0081c51c8
0xfffffff009e22c58: 20020034  cbz	w0, #0xfffffff009e22c9c
0xfffffff009e22c5c: e00315aa  mov	x0, x21
0xfffffff009e22c60: f1748e97  bl	#0xfffffff0081c0024
0xfffffff009e22c64: f43f40f9  ldr	x20, [sp, #0x78]
0xfffffff009e22c68: e00315aa  mov	x0, x21
0xfffffff009e22c6c: ee748e97  bl	#0xfffffff0081c0024
