; Candidate 16521
; ADRP+ADD at VM 0xfffffff009ed4eec (fileoff 0x2ed0eec): page=0x1fde62000 add_imm=0xe98

0xfffffff009ed4e6c: 8efeff17  b	#0xfffffff009ed48a4
0xfffffff009ed4e70: d4038052  mov	w20, #0x1e
0xfffffff009ed4e74: a8000014  b	#0xfffffff009ed5114
0xfffffff009ed4e78: d4028052  mov	w20, #0x16
0xfffffff009ed4e7c: a6000014  b	#0xfffffff009ed5114
0xfffffff009ed4e80: 94048052  mov	w20, #0x24
0xfffffff009ed4e84: a4000014  b	#0xfffffff009ed5114
0xfffffff009ed4e88: e00319aa  mov	x0, x25
0xfffffff009ed4e8c: 2c5e7b97  bl	#0xfffffff007dac73c
0xfffffff009ed4e90: 689e40f9  ldr	x8, [x19, #0x138]
0xfffffff009ed4e94: 1f0100f1  cmp	x8, #0
0xfffffff009ed4e98: 6802889a  csel	x8, x19, x8, eq
0xfffffff009ed4e9c: 086140f9  ldr	x8, [x8, #0xc0]
0xfffffff009ed4ea0: 08214439  ldrb	w8, [x8, #0x108]
0xfffffff009ed4ea4: 29018052  mov	w9, #9
0xfffffff009ed4ea8: 1f01096a  tst	w8, w9
0xfffffff009ed4eac: 61660054  b.ne	#0xfffffff009ed5b78
0xfffffff009ed4eb0: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff009ed4eb4: e1430291  add	x1, sp, #0x90
0xfffffff009ed4eb8: e00313aa  mov	x0, x19
0xfffffff009ed4ebc: e156ff97  bl	#0xfffffff009eaaa40
0xfffffff009ed4ec0: 40100034  cbz	w0, #0xfffffff009ed50c8
0xfffffff009ed4ec4: 1f080071  cmp	w0, #2
0xfffffff009ed4ec8: 20010054  b.eq	#0xfffffff009ed4eec
0xfffffff009ed4ecc: 28cbfe90  adrp	x8, #0xfffffff007838000
0xfffffff009ed4ed0: 08e13091  add	x8, x8, #0xc38
0xfffffff009ed4ed4: 69ac8c52  mov	w9, #0x6563
0xfffffff009ed4ed8: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff009ed4edc: e80300f9  str	x8, [sp]
0xfffffff009ed4ee0: 20cbfe90  adrp	x0, #0xfffffff007838000
0xfffffff009ed4ee4: 00f42f91  add	x0, x0, #0xbfd
0xfffffff009ed4ee8: 5e897b97  bl	#0xfffffff007db7460
0xfffffff009ed4eec: 00f3fed0  adrp	x0, #0xfffffff007d36000
0xfffffff009ed4ef0: 00603a91  add	x0, x0, #0xe98
0xfffffff009ed4ef4: 80059297  bl	#0xfffffff0083564f4
0xfffffff009ed4ef8: 001200b4  cbz	x0, #0xfffffff009ed5138
0xfffffff009ed4efc: f40300aa  mov	x20, x0
0xfffffff009ed4f00: 08280090  adrp	x8, #0xfffffff00a3d4000
0xfffffff009ed4f04: 08212a91  add	x8, x8, #0xa88
0xfffffff009ed4f08: 092e8052  mov	w9, #0x170
0xfffffff009ed4f0c: 080129f8  ldadd	x9, x8, [x8]
0xfffffff009ed4f10: 74000014  b	#0xfffffff009ed50e0
0xfffffff009ed4f14: 54008052  mov	w20, #2
0xfffffff009ed4f18: e00317aa  mov	x0, x23
0xfffffff009ed4f1c: 23667b97  bl	#0xfffffff007dae7a8
0xfffffff009ed4f20: e00313aa  mov	x0, x19
0xfffffff009ed4f24: d72e0094  bl	#0xfffffff009ee0a80
0xfffffff009ed4f28: b52c00b4  cbz	x21, #0xfffffff009ed54bc
0xfffffff009ed4f2c: e0430291  add	x0, sp, #0x90
0xfffffff009ed4f30: e10316aa  mov	x1, x22
0xfffffff009ed4f34: 02038052  mov	w2, #0x18
0xfffffff009ed4f38: 61b37f97  bl	#0xfffffff007ec1cbc
0xfffffff009ed4f3c: f40300aa  mov	x20, x0
0xfffffff009ed4f40: 5f010014  b	#0xfffffff009ed54bc
0xfffffff009ed4f44: 14008052  mov	w20, #0
0xfffffff009ed4f48: 43010014  b	#0xfffffff009ed5454
0xfffffff009ed4f4c: 19008052  mov	w25, #0
0xfffffff009ed4f50: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff009ed4f54: a86240f9  ldr	x8, [x21, #0xc0]
0xfffffff009ed4f58: 08814039  ldrb	w8, [x8, #0x20]
0xfffffff009ed4f5c: a8091837  tbnz	w8, #3, #0xfffffff009ed5090
0xfffffff009ed4f60: e1230191  add	x1, sp, #0x48
0xfffffff009ed4f64: e00317aa  mov	x0, x23
0xfffffff009ed4f68: 02008052  mov	w2, #0
