; Candidate 7831
; ADRP+ADD at VM 0xfffffff008881f3c (fileoff 0x187df3c): page=0x1fe968000 add_imm=0xe80

0xfffffff008881ebc: 63103491  add	x3, x3, #0xd04
0xfffffff008881ec0: 02008052  mov	w2, #0
0xfffffff008881ec4: 9bc4ea97  bl	#0xfffffff008333130
0xfffffff008881ec8: 16008052  mov	w22, #0
0xfffffff008881ecc: 44000014  b	#0xfffffff008881fdc
0xfffffff008881ed0: 588cfff0  adrp	x24, #0xfffffff007a0c000
0xfffffff008881ed4: 18831f91  add	x24, x24, #0x7e0
0xfffffff008881ed8: 598cfff0  adrp	x25, #0xfffffff007a0c000
0xfffffff008881edc: 39e32091  add	x25, x25, #0x838
0xfffffff008881ee0: b3c80094  bl	#0xfffffff0088b41ac
0xfffffff008881ee4: f70300aa  mov	x23, x0
0xfffffff008881ee8: c0008052  mov	w0, #6
0xfffffff008881eec: 59e6ff97  bl	#0xfffffff00887b850
0xfffffff008881ef0: 087b76f8  ldr	x8, [x24, x22, lsl #3]
0xfffffff008881ef4: 295b75f8  ldr	x9, [x25, w21, uxtw #3]
0xfffffff008881ef8: 4a0340b9  ldr	w10, [x26]
0xfffffff008881efc: 2a7b6af8  ldr	x10, [x25, x10, lsl #3]
0xfffffff008881f00: 6b1a40b9  ldr	w11, [x19, #0x18]
0xfffffff008881f04: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff008881f08: eba303a9  stp	x11, x8, [sp, #0x38]
0xfffffff008881f0c: 882e8052  mov	w8, #0x174
0xfffffff008881f10: 894cff90  adrp	x9, #0xfffffff007211000
0xfffffff008881f14: 29491c91  add	x9, x9, #0x712
0xfffffff008881f18: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008881f1c: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008881f20: 08fd0891  add	x8, x8, #0x23f
0xfffffff008881f24: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008881f28: 880b8052  mov	w8, #0x5c
0xfffffff008881f2c: c34effd0  adrp	x3, #0xfffffff00725b000
0xfffffff008881f30: 63183391  add	x3, x3, #0xcc6
0xfffffff008881f34: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008881f38: f70300f9  str	x23, [sp]
0xfffffff008881f3c: 404bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008881f40: 00003a91  add	x0, x0, #0xe80
0xfffffff008881f44: 218cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008881f48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008881f4c: 02008052  mov	w2, #0
0xfffffff008881f50: 78c4ea97  bl	#0xfffffff008333130
0xfffffff008881f54: 16008052  mov	w22, #0
0xfffffff008881f58: 550300b9  str	w21, [x26]
0xfffffff008881f5c: 20000014  b	#0xfffffff008881fdc
0xfffffff008881f60: 93c80094  bl	#0xfffffff0088b41ac
0xfffffff008881f64: f60300aa  mov	x22, x0
0xfffffff008881f68: 80008052  mov	w0, #4
0xfffffff008881f6c: 39e6ff97  bl	#0xfffffff00887b850
0xfffffff008881f70: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008881f74: f7e305a9  stp	x23, x24, [sp, #0x58]
0xfffffff008881f78: e90315aa  mov	x9, x21
0xfffffff008881f7c: e92b00f9  str	x9, [sp, #0x50]
0xfffffff008881f80: e90314aa  mov	x9, x20
0xfffffff008881f84: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008881f88: 684cfff0  adrp	x8, #0xfffffff007210000
0xfffffff008881f8c: 08553791  add	x8, x8, #0xdd5
0xfffffff008881f90: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008881f94: 082e8052  mov	w8, #0x170
0xfffffff008881f98: 894cff90  adrp	x9, #0xfffffff007211000
0xfffffff008881f9c: 29491c91  add	x9, x9, #0x712
0xfffffff008881fa0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008881fa4: 684dff90  adrp	x8, #0xfffffff00722d000
0xfffffff008881fa8: 08fd0891  add	x8, x8, #0x23f
0xfffffff008881fac: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008881fb0: 880b8052  mov	w8, #0x5c
0xfffffff008881fb4: c34effd0  adrp	x3, #0xfffffff00725b000
0xfffffff008881fb8: 63e43191  add	x3, x3, #0xc79
