; Candidate 16771
; ADRP+ADD at VM 0xfffffff009f523b0 (fileoff 0x2f4e3b0): page=0x1fd911000 add_imm=0xec0

0xfffffff009f52330: e9db01a9  stp	x9, x22, [sp, #0x18]
0xfffffff009f52334: 88c8feb0  adrp	x8, #0xfffffff007863000
0xfffffff009f52338: 08fd2a91  add	x8, x8, #0xabf
0xfffffff009f5233c: 49958052  mov	w9, #0x4aa
0xfffffff009f52340: e9ab00a9  stp	x9, x10, [sp, #8]
0xfffffff009f52344: e80300f9  str	x8, [sp]
0xfffffff009f52348: 80c8feb0  adrp	x0, #0xfffffff007863000
0xfffffff009f5234c: 004c3a91  add	x0, x0, #0xe93
0xfffffff009f52350: 52b5fc97  bl	#0xfffffff009e7f898
0xfffffff009f52354: 884640f9  ldr	x8, [x20, #0x88]
0xfffffff009f52358: 0801168b  add	x8, x8, x22
0xfffffff009f5235c: 884600f9  str	x8, [x20, #0x88]
0xfffffff009f52360: e00314aa  mov	x0, x20
0xfffffff009f52364: ae118a97  bl	#0xfffffff0081d6a1c
0xfffffff009f52368: e00315aa  mov	x0, x21
0xfffffff009f5236c: 01008052  mov	w1, #0
0xfffffff009f52370: 22008052  mov	w2, #1
0xfffffff009f52374: f5f8ff97  bl	#0xfffffff009f50748
0xfffffff009f52378: 60070034  cbz	w0, #0xfffffff009f52464
0xfffffff009f5237c: f70300aa  mov	x23, x0
0xfffffff009f52380: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff009f52384: c8010035  cbnz	w8, #0xfffffff009f523bc
0xfffffff009f52388: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009f5238c: 0b8942f9  ldr	x11, [x8, #0x510]
0xfffffff009f52390: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff009f52394: ea0317aa  mov	x10, x23
0xfffffff009f52398: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff009f5239c: 88c8feb0  adrp	x8, #0xfffffff007863000
0xfffffff009f523a0: 08fd2a91  add	x8, x8, #0xabf
0xfffffff009f523a4: 69968052  mov	w9, #0x4b3
0xfffffff009f523a8: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff009f523ac: e80300f9  str	x8, [sp]
0xfffffff009f523b0: 80c8feb0  adrp	x0, #0xfffffff007863000
0xfffffff009f523b4: 00003b91  add	x0, x0, #0xec0
0xfffffff009f523b8: 43b5fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f523bc: a8968052  mov	w8, #0x4b5
0xfffffff009f523c0: 95000014  b	#0xfffffff009f52614
0xfffffff009f523c4: 8b474079  ldrh	w11, [x28, #0x22]
0xfffffff009f523c8: 0b020035  cbnz	w11, #0xfffffff009f52408
0xfffffff009f523cc: ab6640f9  ldr	x11, [x21, #0xc8]
0xfffffff009f523d0: 6b8942f9  ldr	x11, [x11, #0x510]
0xfffffff009f523d4: 710a40f9  ldr	x17, [x19, #0x10]
0xfffffff009f523d8: ef4305a9  stp	x15, x16, [sp, #0x50]
0xfffffff009f523dc: ee4704a9  stp	x14, x17, [sp, #0x40]
0xfffffff009f523e0: ec3703a9  stp	x12, x13, [sp, #0x30]
0xfffffff009f523e4: ea2702a9  stp	x10, x9, [sp, #0x20]
0xfffffff009f523e8: eb2301a9  stp	x11, x8, [sp, #0x10]
0xfffffff009f523ec: 88c8feb0  adrp	x8, #0xfffffff007863000
0xfffffff009f523f0: 08651591  add	x8, x8, #0x559
0xfffffff009f523f4: c9408052  mov	w9, #0x206
0xfffffff009f523f8: 80c8feb0  adrp	x0, #0xfffffff007863000
0xfffffff009f523fc: 00d81391  add	x0, x0, #0x4f6
0xfffffff009f52400: e82700a9  stp	x8, x9, [sp]
0xfffffff009f52404: 30b5fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f52408: 28008052  mov	w8, #1
0xfffffff009f5240c: 88470079  strh	w8, [x28, #0x22]
0xfffffff009f52410: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff009f52414: e8010035  cbnz	w8, #0xfffffff009f52450
0xfffffff009f52418: a86640f9  ldr	x8, [x21, #0xc8]
0xfffffff009f5241c: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f52420: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff009f52424: ea3a40f9  ldr	x10, [x23, #0x70]
0xfffffff009f52428: ebb24429  ldp	w11, w12, [x23, #0x24]
0xfffffff009f5242c: 8d038052  mov	w13, #0x1c
