; Candidate 5245
; ADRP+ADD at VM 0xfffffff0087e1a3c (fileoff 0x17dda3c): page=0x1fea08000 add_imm=0xe80

0xfffffff0087e19bc: f80300aa  mov	x24, x0
0xfffffff0087e19c0: fb490394  bl	#0xfffffff0088b41ac
0xfffffff0087e19c4: f70300aa  mov	x23, x0
0xfffffff0087e19c8: c0008052  mov	w0, #6
0xfffffff0087e19cc: a1670294  bl	#0xfffffff00887b850
0xfffffff0087e19d0: d8010034  cbz	w24, #0xfffffff0087e1a08
0xfffffff0087e19d4: f66704a9  stp	x22, x25, [sp, #0x40]
0xfffffff0087e19d8: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087e19dc: 482c8052  mov	w8, #0x162
0xfffffff0087e19e0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e19e4: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e19e8: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e19ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e19f0: 680e8052  mov	w8, #0x73
0xfffffff0087e19f4: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e19f8: 00cc3991  add	x0, x0, #0xe73
0xfffffff0087e19fc: f72300a9  stp	x23, x8, [sp]
0xfffffff0087e1a00: 9856d797  bl	#0xfffffff007db7460
0xfffffff0087e1a04: 16000014  b	#0xfffffff0087e1a5c
0xfffffff0087e1a08: e9490394  bl	#0xfffffff0088b41ac
0xfffffff0087e1a0c: f70300aa  mov	x23, x0
0xfffffff0087e1a10: c0008052  mov	w0, #6
0xfffffff0087e1a14: 8f670294  bl	#0xfffffff00887b850
0xfffffff0087e1a18: f66704a9  stp	x22, x25, [sp, #0x40]
0xfffffff0087e1a1c: f45703a9  stp	x20, x21, [sp, #0x30]
0xfffffff0087e1a20: 482c8052  mov	w8, #0x162
0xfffffff0087e1a24: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e1a28: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1a2c: 08713691  add	x8, x8, #0xd9c
0xfffffff0087e1a30: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1a34: 680e8052  mov	w8, #0x73
0xfffffff0087e1a38: f72300a9  stp	x23, x8, [sp]
0xfffffff0087e1a3c: 4050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e1a40: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e1a44: 2191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e1a48: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e1a4c: e352ff90  adrp	x3, #0xfffffff00723d000
0xfffffff0087e1a50: 63f81a91  add	x3, x3, #0x6be
0xfffffff0087e1a54: 02008052  mov	w2, #0
0xfffffff0087e1a58: b645ed97  bl	#0xfffffff008333130
0xfffffff0087e1a5c: e00316aa  mov	x0, x22
0xfffffff0087e1a60: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087e1a64: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087e1a68: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087e1a6c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087e1a70: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0087e1a74: ff830291  add	sp, sp, #0xa0
0xfffffff0087e1a78: ff0f5fd6  retab	
0xfffffff0087e1a7c: 7f2303d5  pacibsp	
0xfffffff0087e1a80: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087e1a84: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087e1a88: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087e1a8c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087e1a90: fd430191  add	x29, sp, #0x50
0xfffffff0087e1a94: f30300aa  mov	x19, x0
0xfffffff0087e1a98: 600e8052  mov	w0, #0x73
0xfffffff0087e1a9c: c1008052  mov	w1, #6
0xfffffff0087e1aa0: 4c670294  bl	#0xfffffff00887b7d0
0xfffffff0087e1aa4: 60020034  cbz	w0, #0xfffffff0087e1af0
0xfffffff0087e1aa8: 600e8052  mov	w0, #0x73
0xfffffff0087e1aac: 5b670294  bl	#0xfffffff00887b818
0xfffffff0087e1ab0: f50300aa  mov	x21, x0
0xfffffff0087e1ab4: be490394  bl	#0xfffffff0088b41ac
0xfffffff0087e1ab8: f40300aa  mov	x20, x0
