; Candidate 7654
; ADRP+ADD at VM 0xfffffff008876b14 (fileoff 0x1872b14): page=0x1fe973000 add_imm=0xe80

0xfffffff008876a94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008876a98: 680b8052  mov	w8, #0x5b
0xfffffff008876a9c: f52300a9  stp	x21, x8, [sp]
0xfffffff008876aa0: 804bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008876aa4: 00003a91  add	x0, x0, #0xe80
0xfffffff008876aa8: 818cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008876aac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008876ab0: 034ffff0  adrp	x3, #0xfffffff007259000
0xfffffff008876ab4: 63f83091  add	x3, x3, #0xc3e
0xfffffff008876ab8: 02008052  mov	w2, #0
0xfffffff008876abc: 9df1ea97  bl	#0xfffffff008333130
0xfffffff008876ac0: 347d8012  mov	w20, #-0x3ea
0xfffffff008876ac4: 6a000014  b	#0xfffffff008876c6c
0xfffffff008876ac8: b9f50094  bl	#0xfffffff0088b41ac
0xfffffff008876acc: f50300aa  mov	x21, x0
0xfffffff008876ad0: 80008052  mov	w0, #4
0xfffffff008876ad4: 5f130094  bl	#0xfffffff00887b850
0xfffffff008876ad8: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008876adc: f8d304a9  stp	x24, x20, [sp, #0x48]
0xfffffff008876ae0: e8e703a9  stp	x8, x25, [sp, #0x38]
0xfffffff008876ae4: a81f8052  mov	w8, #0xfd
0xfffffff008876ae8: e94cff90  adrp	x9, #0xfffffff007212000
0xfffffff008876aec: 29952f91  add	x9, x9, #0xbe5
0xfffffff008876af0: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008876af4: a84dffb0  adrp	x8, #0xfffffff00722b000
0xfffffff008876af8: 08250691  add	x8, x8, #0x189
0xfffffff008876afc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008876b00: 680b8052  mov	w8, #0x5b
0xfffffff008876b04: 034ffff0  adrp	x3, #0xfffffff007259000
0xfffffff008876b08: 63dc3191  add	x3, x3, #0xc77
0xfffffff008876b0c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008876b10: f50300f9  str	x21, [sp]
0xfffffff008876b14: 804bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008876b18: 00003a91  add	x0, x0, #0xe80
0xfffffff008876b1c: 818cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008876b20: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008876b24: 02008052  mov	w2, #0
0xfffffff008876b28: 82f1ea97  bl	#0xfffffff008333130
0xfffffff008876b2c: 18008052  mov	w24, #0
0xfffffff008876b30: 15008052  mov	w21, #0
0xfffffff008876b34: 16e28452  mov	w22, #0x2710
0xfffffff008876b38: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff008876b3c: 510f86d2  mov	x17, #0x307a
0xfffffff008876b40: f10a3fd7  blraa	x23, x17
0xfffffff008876b44: f40300aa  mov	x20, x0
0xfffffff008876b48: 60000034  cbz	w0, #0xfffffff008876b54
0xfffffff008876b4c: 18008052  mov	w24, #0
0xfffffff008876b50: 04000014  b	#0xfffffff008876b60
0xfffffff008876b54: 1f070071  cmp	w24, #1
0xfffffff008876b58: 2c050054  b.gt	#0xfffffff008876bfc
0xfffffff008876b5c: 18070011  add	w24, w24, #1
0xfffffff008876b60: 680240f9  ldr	x8, [x19]
0xfffffff008876b64: 081940b9  ldr	w8, [x8, #0x18]
0xfffffff008876b68: 087d161b  mul	w8, w8, w22
0xfffffff008876b6c: bf02086b  cmp	w21, w8
0xfffffff008876b70: ac000054  b.gt	#0xfffffff008876b84
0xfffffff008876b74: 40068052  mov	w0, #0x32
0xfffffff008876b78: 2481eb97  bl	#0xfffffff008357008
0xfffffff008876b7c: b5060011  add	w21, w21, #1
0xfffffff008876b80: eeffff17  b	#0xfffffff008876b38
0xfffffff008876b84: 600b8052  mov	w0, #0x5b
0xfffffff008876b88: 81008052  mov	w1, #4
0xfffffff008876b8c: 11130094  bl	#0xfffffff00887b7d0
0xfffffff008876b90: c0060034  cbz	w0, #0xfffffff008876c68
