; Candidate 3991
; ADRP+ADD at VM 0xfffffff00877f828 (fileoff 0x177b828): page=0x1fe9b2000 add_imm=0xd90

0xfffffff00877f7a8: 2094ffd0  adrp	x0, #0xfffffff007a05000
0xfffffff00877f7ac: 00a01a91  add	x0, x0, #0x6a8
0xfffffff00877f7b0: 515bef97  bl	#0xfffffff0083564f4
0xfffffff00877f7b4: 01008052  mov	w1, #0
0xfffffff00877f7b8: e20314aa  mov	x2, x20
0xfffffff00877f7bc: 735cfd97  bl	#0xfffffff0086d6988
0xfffffff00877f7c0: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff00877f7c4: a00100b5  cbnz	x0, #0xfffffff00877f7f8
0xfffffff00877f7c8: 88038052  mov	w8, #0x1c
0xfffffff00877f7cc: c94efff0  adrp	x9, #0xfffffff00715a000
0xfffffff00877f7d0: 29890e91  add	x9, x9, #0x3a2
0xfffffff00877f7d4: e92300a9  stp	x9, x8, [sp]
0xfffffff00877f7d8: 804dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00877f7dc: 00403691  add	x0, x0, #0xd90
0xfffffff00877f7e0: e193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877f7e4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877f7e8: 234effd0  adrp	x3, #0xfffffff007145000
0xfffffff00877f7ec: 63080491  add	x3, x3, #0x102
0xfffffff00877f7f0: 02008052  mov	w2, #0
0xfffffff00877f7f4: 4fceee97  bl	#0xfffffff008333130
0xfffffff00877f7f8: 08008452  mov	w8, #0x2000
0xfffffff00877f7fc: 689600f9  str	x8, [x19, #0x128]
0xfffffff00877f800: 4094ff90  adrp	x0, #0xfffffff007a07000
0xfffffff00877f804: 00e01b91  add	x0, x0, #0x6f8
0xfffffff00877f808: 01009052  mov	w1, #0x8000
0xfffffff00877f80c: 715def97  bl	#0xfffffff008356dd0
0xfffffff00877f810: 609200f9  str	x0, [x19, #0x120]
0xfffffff00877f814: a00100b5  cbnz	x0, #0xfffffff00877f848
0xfffffff00877f818: 48048052  mov	w8, #0x22
0xfffffff00877f81c: c94efff0  adrp	x9, #0xfffffff00715a000
0xfffffff00877f820: 29890e91  add	x9, x9, #0x3a2
0xfffffff00877f824: e92300a9  stp	x9, x8, [sp]
0xfffffff00877f828: 804dffd0  adrp	x0, #0xfffffff007131000
0xfffffff00877f82c: 00403691  add	x0, x0, #0xd90
0xfffffff00877f830: e193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877f834: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877f838: 234effd0  adrp	x3, #0xfffffff007145000
0xfffffff00877f83c: 63d40491  add	x3, x3, #0x135
0xfffffff00877f840: 02008052  mov	w2, #0
0xfffffff00877f844: 3bceee97  bl	#0xfffffff008333130
0xfffffff00877f848: 14268052  mov	w20, #0x130
0xfffffff00877f84c: 60d242f9  ldr	x0, [x19, #0x5a0]
0xfffffff00877f850: 6302148b  add	x3, x19, x20
0xfffffff00877f854: 01588552  mov	w1, #0x2ac0
0xfffffff00877f858: 6101a072  movk	w1, #0xb, lsl #16
0xfffffff00877f85c: 22008052  mov	w2, #1
0xfffffff00877f860: 0317ff97  bl	#0xfffffff00874546c
0xfffffff00877f864: 94220291  add	x20, x20, #0x88
0xfffffff00877f868: 9fc215f1  cmp	x20, #0x570
0xfffffff00877f86c: 01ffff54  b.ne	#0xfffffff00877f84c
0xfffffff00877f870: 88008052  mov	w8, #4
0xfffffff00877f874: 68ba05b9  str	w8, [x19, #0x5b8]
0xfffffff00877f878: e00313aa  mov	x0, x19
0xfffffff00877f87c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00877f880: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00877f884: ffc30091  add	sp, sp, #0x30
0xfffffff00877f888: ff0f5fd6  retab	
0xfffffff00877f88c: 5f2403d5  bti	c
0xfffffff00877f890: b7ffff17  b	#0xfffffff00877f76c
0xfffffff00877f894: 5f2403d5  bti	c
0xfffffff00877f898: 53defe17  b	#0xfffffff0087371e4
0xfffffff00877f89c: 5f2403d5  bti	c
0xfffffff00877f8a0: 51defe17  b	#0xfffffff0087371e4
0xfffffff00877f8a4: 7f2303d5  pacibsp	
