; Candidate 6724
; ADRP+ADD at VM 0xfffffff00883ced8 (fileoff 0x1838ed8): page=0x1fe9e7000 add_imm=0xe43

0xfffffff00883ce58: 00003a91  add	x0, x0, #0xe80
0xfffffff00883ce5c: 618eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883ce60: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883ce64: 8350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff00883ce68: 63400991  add	x3, x3, #0x250
0xfffffff00883ce6c: 02008052  mov	w2, #0
0xfffffff00883ce70: b0d8eb97  bl	#0xfffffff008333130
0xfffffff00883ce74: 150080d2  mov	x21, #0
0xfffffff00883ce78: 25feff17  b	#0xfffffff00883c70c
0xfffffff00883ce7c: 600a8052  mov	w0, #0x53
0xfffffff00883ce80: 81008052  mov	w1, #4
0xfffffff00883ce84: 53fa0094  bl	#0xfffffff00887b7d0
0xfffffff00883ce88: e0c3ff34  cbz	w0, #0xfffffff00883c704
0xfffffff00883ce8c: 600a8052  mov	w0, #0x53
0xfffffff00883ce90: 62fa0094  bl	#0xfffffff00887b818
0xfffffff00883ce94: f60300aa  mov	x22, x0
0xfffffff00883ce98: c5dc0194  bl	#0xfffffff0088b41ac
0xfffffff00883ce9c: f50300aa  mov	x21, x0
0xfffffff00883cea0: 80008052  mov	w0, #4
0xfffffff00883cea4: 6bfa0094  bl	#0xfffffff00887b850
0xfffffff00883cea8: 16130034  cbz	w22, #0xfffffff00883d108
0xfffffff00883ceac: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883ceb0: 081d3a91  add	x8, x8, #0xe87
0xfffffff00883ceb4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00883ceb8: a8168052  mov	w8, #0xb5
0xfffffff00883cebc: 294ffff0  adrp	x9, #0xfffffff007223000
0xfffffff00883cec0: 29d52e91  add	x9, x9, #0xbb5
0xfffffff00883cec4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00883cec8: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883cecc: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883ced0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883ced4: 680a8052  mov	w8, #0x53
0xfffffff00883ced8: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883cedc: 000c3991  add	x0, x0, #0xe43
0xfffffff00883cee0: 07feff17  b	#0xfffffff00883c6fc
0xfffffff00883cee4: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff00883cee8: 67baff97  bl	#0xfffffff00882b884
0xfffffff00883ceec: 1f080071  cmp	w0, #2
0xfffffff00883cef0: eb060054  b.lt	#0xfffffff00883cfcc
0xfffffff00883cef4: c0028052  mov	w0, #0x16
0xfffffff00883cef8: 2fd80194  bl	#0xfffffff0088b2fb4
0xfffffff00883cefc: f50300aa  mov	x21, x0
0xfffffff00883cf00: 688eff90  adrp	x8, #0xfffffff007a08000
0xfffffff00883cf04: 085142f9  ldr	x8, [x8, #0x4a0]
0xfffffff00883cf08: 160140f9  ldr	x22, [x8]
0xfffffff00883cf0c: 170040f9  ldr	x23, [x0]
0xfffffff00883cf10: 60e244a9  ldp	x0, x24, [x19, #0x48]
0xfffffff00883cf14: 5fbaff97  bl	#0xfffffff00882b890
0xfffffff00883cf18: 03441253  lsl	w3, w0, #0xe
0xfffffff00883cf1c: a80640f9  ldr	x8, [x21, #8]
0xfffffff00883cf20: 04f96f92  and	x4, x8, #0xfffffffffffeffff
0xfffffff00883cf24: 66620191  add	x6, x19, #0x58
0xfffffff00883cf28: e00318aa  mov	x0, x24
0xfffffff00883cf2c: e10316aa  mov	x1, x22
0xfffffff00883cf30: e20317aa  mov	x2, x23
0xfffffff00883cf34: 05008052  mov	w5, #0
0xfffffff00883cf38: 40680194  bl	#0xfffffff008897038
0xfffffff00883cf3c: 80040034  cbz	w0, #0xfffffff00883cfcc
0xfffffff00883cf40: 600a8052  mov	w0, #0x53
0xfffffff00883cf44: 81008052  mov	w1, #4
0xfffffff00883cf48: 22fa0094  bl	#0xfffffff00887b7d0
0xfffffff00883cf4c: c0bdff34  cbz	w0, #0xfffffff00883c704
0xfffffff00883cf50: 600a8052  mov	w0, #0x53
0xfffffff00883cf54: 31fa0094  bl	#0xfffffff00887b818
