; Candidate 2551
; ADRP+ADD at VM 0xfffffff0086afde4 (fileoff 0x16abde4): page=0x1ff34b000 add_imm=0xe90

0xfffffff0086afd64: 7750f317  b	#0xfffffff008383f40
0xfffffff0086afd68: 5f2403d5  bti	c
0xfffffff0086afd6c: 200020d4  brk	#1
0xfffffff0086afd70: 5f2403d5  bti	c
0xfffffff0086afd74: 200020d4  brk	#1
0xfffffff0086afd78: 5f2403d5  bti	c
0xfffffff0086afd7c: 40e100d0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086afd80: 00003f91  add	x0, x0, #0xfc0
0xfffffff0086afd84: c0035fd6  ret	
0xfffffff0086afd88: 7f2303d5  pacibsp	
0xfffffff0086afd8c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086afd90: fd030091  mov	x29, sp
0xfffffff0086afd94: e153ff90  adrp	x1, #0xfffffff00712b000
0xfffffff0086afd98: 21380c91  add	x1, x1, #0x30e
0xfffffff0086afd9c: a299ff90  adrp	x2, #0xfffffff0079e3000
0xfffffff0086afda0: 420047f9  ldr	x2, [x2, #0xe00]
0xfffffff0086afda4: 03118052  mov	w3, #0x88
0xfffffff0086afda8: 64cff097  bl	#0xfffffff0082e3b38
0xfffffff0086afdac: 109afff0  adrp	x16, #0xfffffff0079f2000
0xfffffff0086afdb0: 10822091  add	x16, x16, #0x820
0xfffffff0086afdb4: 10420091  add	x16, x16, #0x10
0xfffffff0086afdb8: f10300aa  mov	x17, x0
0xfffffff0086afdbc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086afdc0: 300ac1da  pacda	x16, x17
0xfffffff0086afdc4: 100000f9  str	x16, [x0]
0xfffffff0086afdc8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086afdcc: ff0f5fd6  retab	
0xfffffff0086afdd0: 5f2403d5  bti	c
0xfffffff0086afdd4: 000080d2  mov	x0, #0
0xfffffff0086afdd8: c0035fd6  ret	
0xfffffff0086afddc: 5f2403d5  bti	c
0xfffffff0086afde0: e10300aa  mov	x1, x0
0xfffffff0086afde4: 409afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086afde8: 00403a91  add	x0, x0, #0xe90
0xfffffff0086afdec: 13def017  b	#0xfffffff0082e7638
0xfffffff0086afdf0: 5f2403d5  bti	c
0xfffffff0086afdf4: e20301aa  mov	x2, x1
0xfffffff0086afdf8: e10300aa  mov	x1, x0
0xfffffff0086afdfc: 409afff0  adrp	x0, #0xfffffff0079fa000
0xfffffff0086afe00: 00403a91  add	x0, x0, #0xe90
0xfffffff0086afe04: 26def017  b	#0xfffffff0082e769c
0xfffffff0086afe08: 7f2303d5  pacibsp	
0xfffffff0086afe0c: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff0086afe10: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086afe14: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086afe18: fd830091  add	x29, sp, #0x20
0xfffffff0086afe1c: f50301aa  mov	x21, x1
0xfffffff0086afe20: f30300aa  mov	x19, x0
0xfffffff0086afe24: a899ff90  adrp	x8, #0xfffffff0079e3000
0xfffffff0086afe28: 084147f9  ldr	x8, [x8, #0xe80]
0xfffffff0086afe2c: 09010b91  add	x9, x8, #0x2c0
0xfffffff0086afe30: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0086afe34: f10309aa  mov	x17, x9
0xfffffff0086afe38: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0086afe3c: 11093fd7  blraa	x8, x17
0xfffffff0086afe40: f40300aa  mov	x20, x0
0xfffffff0086afe44: 20020034  cbz	w0, #0xfffffff0086afe88
0xfffffff0086afe48: e00315aa  mov	x0, x21
0xfffffff0086afe4c: e10313aa  mov	x1, x19
0xfffffff0086afe50: 1e53ff97  bl	#0xfffffff008684ac8
0xfffffff0086afe54: 700240f9  ldr	x16, [x19]
0xfffffff0086afe58: f10313aa  mov	x17, x19
0xfffffff0086afe5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086afe60: 301ac1da  autda	x16, x17
