; Candidate 4056
; ADRP+ADD at VM 0xfffffff00878dbc4 (fileoff 0x1789bc4): page=0x1fe9a4000 add_imm=0xd90

0xfffffff00878db44: 080140b9  ldr	w8, [x8]
0xfffffff00878db48: a9c352b8  ldur	w9, [x29, #-0xd4]
0xfffffff00878db4c: 0901090b  add	w9, w8, w9
0xfffffff00878db50: 2909c81a  udiv	w9, w9, w8
0xfffffff00878db54: eb8740b9  ldr	w11, [sp, #0x84]
0xfffffff00878db58: 5a030b0b  add	w26, w26, w11
0xfffffff00878db5c: 3f010a6b  cmp	w9, w10
0xfffffff00878db60: 82110054  b.hs	#0xfffffff00878dd90
0xfffffff00878db64: ea6f40b9  ldr	w10, [sp, #0x6c]
0xfffffff00878db68: 2829081b  madd	w8, w9, w8, w10
0xfffffff00878db6c: a8c312b8  stur	w8, [x29, #-0xd4]
0xfffffff00878db70: a84352b8  ldur	w8, [x29, #-0xdc]
0xfffffff00878db74: 48320034  cbz	w8, #0xfffffff00878e1bc
0xfffffff00878db78: ff8700b9  str	wzr, [sp, #0x84]
0xfffffff00878db7c: a98302d1  sub	x9, x29, #0xa0
0xfffffff00878db80: 285977b8  ldr	w8, [x9, w23, uxtw #2]
0xfffffff00878db84: 3f5937b8  str	wzr, [x9, w23, uxtw #2]
0xfffffff00878db88: 1f010071  cmp	w8, #0
0xfffffff00878db8c: 08098052  mov	w8, #0x48
0xfffffff00878db90: 09018052  mov	w9, #8
0xfffffff00878db94: 3501881a  csel	w21, w9, w8, eq
0xfffffff00878db98: 8d000014  b	#0xfffffff00878ddcc
0xfffffff00878db9c: a88353f8  ldur	x8, [x29, #-0xc8]
0xfffffff00878dba0: 150940f9  ldr	x21, [x8, #0x10]
0xfffffff00878dba4: a80353f8  ldur	x8, [x29, #-0xd0]
0xfffffff00878dba8: 0941388b  add	x9, x8, w24, uxtw
0xfffffff00878dbac: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00878dbb0: c90100b4  cbz	x9, #0xfffffff00878dbe8
0xfffffff00878dbb4: 29ca8052  mov	w9, #0x651
0xfffffff00878dbb8: 084effd0  adrp	x8, #0xfffffff00714f000
0xfffffff00878dbbc: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00878dbc0: e82700a9  stp	x8, x9, [sp]
0xfffffff00878dbc4: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878dbc8: 00403691  add	x0, x0, #0xd90
0xfffffff00878dbcc: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878dbd0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878dbd4: 02008052  mov	w2, #0
0xfffffff00878dbd8: c34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff00878dbdc: 63040091  add	x3, x3, #1
0xfffffff00878dbe0: 5495ee97  bl	#0xfffffff008333130
0xfffffff00878dbe4: a80353f8  ldur	x8, [x29, #-0xd0]
0xfffffff00878dbe8: 0903080b  add	w9, w24, w8
0xfffffff00878dbec: aa0209ab  adds	x10, x21, x9
0xfffffff00878dbf0: 02360054  b.hs	#0xfffffff00878e2b0
0xfffffff00878dbf4: eb03182a  mov	w11, w24
0xfffffff00878dbf8: 4a8d60d3  ubfx	x10, x10, #0x20, #4
0xfffffff00878dbfc: 2a2f0079  strh	w10, [x25, #0x16]
0xfffffff00878dc00: aa8353f8  ldur	x10, [x29, #-0xc8]
0xfffffff00878dc04: 550940f9  ldr	x21, [x10, #0x10]
0xfffffff00878dc08: 08010b8b  add	x8, x8, x11
0xfffffff00878dc0c: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00878dc10: e80100b4  cbz	x8, #0xfffffff00878dc4c
0xfffffff00878dc14: 49ca8052  mov	w9, #0x652
0xfffffff00878dc18: 084effd0  adrp	x8, #0xfffffff00714f000
0xfffffff00878dc1c: 08b90a91  add	x8, x8, #0x2ae
0xfffffff00878dc20: e82700a9  stp	x8, x9, [sp]
0xfffffff00878dc24: 204dff90  adrp	x0, #0xfffffff007131000
0xfffffff00878dc28: 00403691  add	x0, x0, #0xd90
0xfffffff00878dc2c: 8193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00878dc30: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00878dc34: 02008052  mov	w2, #0
0xfffffff00878dc38: c34dffb0  adrp	x3, #0xfffffff007146000
0xfffffff00878dc3c: 63d40091  add	x3, x3, #0x35
0xfffffff00878dc40: 3c95ee97  bl	#0xfffffff008333130
