; Candidate 8167
; ADRP+ADD at VM 0xfffffff008899264 (fileoff 0x1895264): page=0x1fe950000 add_imm=0xe80

0xfffffff0088991e4: 36050034  cbz	w22, #0xfffffff008899288
0xfffffff0088991e8: 686a78b8  ldr	w8, [x19, x24]
0xfffffff0088991ec: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088991f0: f35f03a9  stp	x19, x23, [sp, #0x30]
0xfffffff0088991f4: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff0088991f8: 08453c91  add	x8, x8, #0xf11
0xfffffff0088991fc: 691e8052  mov	w9, #0xf3
0xfffffff008899200: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008899204: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008899208: 085d3a91  add	x8, x8, #0xe97
0xfffffff00889920c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008899210: 880e8052  mov	w8, #0x74
0xfffffff008899214: a04cffd0  adrp	x0, #0xfffffff00722f000
0xfffffff008899218: 00683b91  add	x0, x0, #0xeda
0xfffffff00889921c: f52300a9  stp	x21, x8, [sp]
0xfffffff008899220: 9078d497  bl	#0xfffffff007db7460
0xfffffff008899224: 31000014  b	#0xfffffff0088992e8
0xfffffff008899228: e16b0094  bl	#0xfffffff0088b41ac
0xfffffff00889922c: f60300aa  mov	x22, x0
0xfffffff008899230: 80008052  mov	w0, #4
0xfffffff008899234: 8789ff97  bl	#0xfffffff00887b850
0xfffffff008899238: f5d303a9  stp	x21, x20, [sp, #0x38]
0xfffffff00889923c: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008899240: 08953a91  add	x8, x8, #0xea5
0xfffffff008899244: c91c8052  mov	w9, #0xe6
0xfffffff008899248: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00889924c: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008899250: 085d3a91  add	x8, x8, #0xe97
0xfffffff008899254: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008899258: 880e8052  mov	w8, #0x74
0xfffffff00889925c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008899260: f60300f9  str	x22, [sp]
0xfffffff008899264: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008899268: 00003a91  add	x0, x0, #0xe80
0xfffffff00889926c: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008899270: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008899274: 234effd0  adrp	x3, #0xfffffff00725f000
0xfffffff008899278: 63b83e91  add	x3, x3, #0xfae
0xfffffff00889927c: 02008052  mov	w2, #0
0xfffffff008899280: ac67ea97  bl	#0xfffffff008333130
0xfffffff008899284: 19000014  b	#0xfffffff0088992e8
0xfffffff008899288: c96b0094  bl	#0xfffffff0088b41ac
0xfffffff00889928c: f50300aa  mov	x21, x0
0xfffffff008899290: 80008052  mov	w0, #4
0xfffffff008899294: 6f89ff97  bl	#0xfffffff00887b850
0xfffffff008899298: 686a78b8  ldr	w8, [x19, x24]
0xfffffff00889929c: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088992a0: f35f03a9  stp	x19, x23, [sp, #0x30]
0xfffffff0088992a4: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff0088992a8: 08453c91  add	x8, x8, #0xf11
0xfffffff0088992ac: 691e8052  mov	w9, #0xf3
0xfffffff0088992b0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088992b4: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff0088992b8: 085d3a91  add	x8, x8, #0xe97
0xfffffff0088992bc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088992c0: 880e8052  mov	w8, #0x74
0xfffffff0088992c4: f52300a9  stp	x21, x8, [sp]
0xfffffff0088992c8: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088992cc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088992d0: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088992d4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088992d8: 234effd0  adrp	x3, #0xfffffff00725f000
0xfffffff0088992dc: 638c3f91  add	x3, x3, #0xfe3
0xfffffff0088992e0: 02008052  mov	w2, #0
