; Candidate 3497
; ADRP+ADD at VM 0xfffffff008742664 (fileoff 0x173e664): page=0x1fe9ef000 add_imm=0xd90

0xfffffff0087425e4: 1002118b  add	x16, x16, x17
0xfffffff0087425e8: 080240f9  ldr	x8, [x16]
0xfffffff0087425ec: e90310aa  mov	x9, x16
0xfffffff0087425f0: f10309aa  mov	x17, x9
0xfffffff0087425f4: 1174fff2  movk	x17, #0xfba0, lsl #48
0xfffffff0087425f8: 11093fd7  blraa	x8, x17
0xfffffff0087425fc: 400340f9  ldr	x0, [x26]
0xfffffff008742600: 81ea41b9  ldr	w1, [x20, #0x1e8]
0xfffffff008742604: 100040f9  ldr	x16, [x0]
0xfffffff008742608: f10300aa  mov	x17, x0
0xfffffff00874260c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008742610: 301ac1da  autda	x16, x17
0xfffffff008742614: 080e4ff8  ldr	x8, [x16, #0xf0]!
0xfffffff008742618: e90310aa  mov	x9, x16
0xfffffff00874261c: f10309aa  mov	x17, x9
0xfffffff008742620: d18de4f2  movk	x17, #0x246e, lsl #48
0xfffffff008742624: 11093fd7  blraa	x8, x17
0xfffffff008742628: c8dc0090  adrp	x8, #0xfffffff00a2da000
0xfffffff00874262c: 08d12891  add	x8, x8, #0xa34
0xfffffff008742630: 1f7935b8  str	wzr, [x8, x21, lsl #2]
0xfffffff008742634: 28008052  mov	w8, #1
0xfffffff008742638: 68030039  strb	w8, [x27]
0xfffffff00874263c: 3f8b0739  strb	wzr, [x25, #0x1e2]
0xfffffff008742640: d9dc0090  adrp	x25, #0xfffffff00a2da000
0xfffffff008742644: 39f32891  add	x25, x25, #0xa3c
0xfffffff008742648: 287b75b8  ldr	w8, [x25, x21, lsl #2]
0xfffffff00874264c: 1f950171  cmp	w8, #0x65
0xfffffff008742650: ab010054  b.lt	#0xfffffff008742684
0xfffffff008742654: f3a300a9  stp	x19, x8, [sp, #8]
0xfffffff008742658: a850ffb0  adrp	x8, #0xfffffff007157000
0xfffffff00874265c: 08213991  add	x8, x8, #0xe48
0xfffffff008742660: e80300f9  str	x8, [sp]
0xfffffff008742664: 604ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008742668: 00403691  add	x0, x0, #0xd90
0xfffffff00874266c: c195fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008742670: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008742674: e34fffb0  adrp	x3, #0xfffffff00713f000
0xfffffff008742678: 63200891  add	x3, x3, #0x208
0xfffffff00874267c: 02008052  mov	w2, #0
0xfffffff008742680: acc2ef97  bl	#0xfffffff008333130
0xfffffff008742684: 3f7b35b8  str	wzr, [x25, x21, lsl #2]
0xfffffff008742688: 80f258f9  ldr	x0, [x20, #0x31e0]
0xfffffff00874268c: 613e0012  and	w1, w19, #0xffff
0xfffffff008742690: 0ca60094  bl	#0xfffffff00876bec0
0xfffffff008742694: 1f040071  cmp	w0, #1
0xfffffff008742698: e8179f1a  cset	w8, eq
0xfffffff00874269c: 08030039  strb	w8, [x24]
0xfffffff0087426a0: 1f080071  cmp	w0, #2
0xfffffff0087426a4: e8179f1a  cset	w8, eq
0xfffffff0087426a8: e8020039  strb	w8, [x23]
0xfffffff0087426ac: 21010054  b.ne	#0xfffffff0087426d0
0xfffffff0087426b0: 88c641b9  ldr	w8, [x20, #0x1c4]
0xfffffff0087426b4: 0a000014  b	#0xfffffff0087426dc
0xfffffff0087426b8: c8dc0090  adrp	x8, #0xfffffff00a2da000
0xfffffff0087426bc: 08f12891  add	x8, x8, #0xa3c
0xfffffff0087426c0: 097975b8  ldr	w9, [x8, x21, lsl #2]
0xfffffff0087426c4: 29050011  add	w9, w9, #1
0xfffffff0087426c8: 097935b8  str	w9, [x8, x21, lsl #2]
0xfffffff0087426cc: 0d000014  b	#0xfffffff008742700
0xfffffff0087426d0: 1f040071  cmp	w0, #1
0xfffffff0087426d4: 01010054  b.ne	#0xfffffff0087426f4
0xfffffff0087426d8: 88ca41b9  ldr	w8, [x20, #0x1c8]
0xfffffff0087426dc: 890a158b  add	x9, x20, x21, lsl #2
0xfffffff0087426e0: 28b501b9  str	w8, [x9, #0x1b4]
