; Candidate 8402
; ADRP+ADD at VM 0xfffffff0088a8c0c (fileoff 0x18a4c0c): page=0x1fe941000 add_imm=0xe80

0xfffffff0088a8b8c: e1008052  mov	w1, #7
0xfffffff0088a8b90: 104bff97  bl	#0xfffffff00887b7d0
0xfffffff0088a8b94: c0040034  cbz	w0, #0xfffffff0088a8c2c
0xfffffff0088a8b98: c00f8052  mov	w0, #0x7e
0xfffffff0088a8b9c: 1f4bff97  bl	#0xfffffff00887b818
0xfffffff0088a8ba0: f60300aa  mov	x22, x0
0xfffffff0088a8ba4: 822d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8ba8: f50300aa  mov	x21, x0
0xfffffff0088a8bac: e0008052  mov	w0, #7
0xfffffff0088a8bb0: 284bff97  bl	#0xfffffff00887b850
0xfffffff0088a8bb4: 76010034  cbz	w22, #0xfffffff0088a8be0
0xfffffff0088a8bb8: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088a8bbc: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8bc0: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a8bc4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a8bc8: c80f8052  mov	w8, #0x7e
0xfffffff0088a8bcc: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a8bd0: 604bffb0  adrp	x0, #0xfffffff007215000
0xfffffff0088a8bd4: 00a81591  add	x0, x0, #0x56a
0xfffffff0088a8bd8: 223ad497  bl	#0xfffffff007db7460
0xfffffff0088a8bdc: 14000014  b	#0xfffffff0088a8c2c
0xfffffff0088a8be0: 732d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a8be4: f50300aa  mov	x21, x0
0xfffffff0088a8be8: e0008052  mov	w0, #7
0xfffffff0088a8bec: 194bff97  bl	#0xfffffff00887b850
0xfffffff0088a8bf0: e80314aa  mov	x8, x20
0xfffffff0088a8bf4: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088a8bf8: 484cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088a8bfc: 08813a91  add	x8, x8, #0xea0
0xfffffff0088a8c00: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a8c04: c80f8052  mov	w8, #0x7e
0xfffffff0088a8c08: f52300a9  stp	x21, x8, [sp]
0xfffffff0088a8c0c: 004affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a8c10: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a8c14: 018bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a8c18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a8c1c: c34dffd0  adrp	x3, #0xfffffff007262000
0xfffffff0088a8c20: 63f83b91  add	x3, x3, #0xefe
0xfffffff0088a8c24: 02008052  mov	w2, #0
0xfffffff0088a8c28: 4229ea97  bl	#0xfffffff008333130
0xfffffff0088a8c2c: e00314aa  mov	x0, x20
0xfffffff0088a8c30: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0088a8c34: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0088a8c38: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0088a8c3c: ff830291  add	sp, sp, #0xa0
0xfffffff0088a8c40: ff0f5fd6  retab	
0xfffffff0088a8c44: 9f2403d5  bti	j
0xfffffff0088a8c48: 681640b9  ldr	w8, [x19, #0x14]
0xfffffff0088a8c4c: 63ffff17  b	#0xfffffff0088a89d8
0xfffffff0088a8c50: 9f2403d5  bti	j
0xfffffff0088a8c54: 48008052  mov	w8, #2
0xfffffff0088a8c58: 60ffff17  b	#0xfffffff0088a89d8
0xfffffff0088a8c5c: 9f2403d5  bti	j
0xfffffff0088a8c60: 68008052  mov	w8, #3
0xfffffff0088a8c64: 5dffff17  b	#0xfffffff0088a89d8
0xfffffff0088a8c68: d0020000  udf	#0x2d0
0xfffffff0088a8c6c: 0c000000  udf	#0xc
0xfffffff0088a8c70: dc020000  udf	#0x2dc
0xfffffff0088a8c74: e8020000  udf	#0x2e8
0xfffffff0088a8c78: 0c000000  udf	#0xc
0xfffffff0088a8c7c: 0c000000  udf	#0xc
0xfffffff0088a8c80: 7f2303d5  pacibsp	
0xfffffff0088a8c84: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088a8c88: f65704a9  stp	x22, x21, [sp, #0x40]
