; Candidate 2254
; ADRP+ADD at VM 0xfffffff0085d76ac (fileoff 0x15d36ac): page=0x1feb24000 add_imm=0xe8a

0xfffffff0085d762c: 1659fff0  adrp	x22, #0xfffffff0070fa000
0xfffffff0085d7630: d60a3f91  add	x22, x22, #0xfc2
0xfffffff0085d7634: e00317aa  mov	x0, x23
0xfffffff0085d7638: e10316aa  mov	x1, x22
0xfffffff0085d763c: f10309aa  mov	x17, x9
0xfffffff0085d7640: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff0085d7644: 11093fd7  blraa	x8, x17
0xfffffff0085d7648: e10318aa  mov	x1, x24
0xfffffff0085d764c: aa31f497  bl	#0xfffffff0082e3cf4
0xfffffff0085d7650: e00d00b4  cbz	x0, #0xfffffff0085d780c
0xfffffff0085d7654: f80300aa  mov	x24, x0
0xfffffff0085d7658: 100040f9  ldr	x16, [x0]
0xfffffff0085d765c: f10300aa  mov	x17, x0
0xfffffff0085d7660: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085d7664: 301ac1da  autda	x16, x17
0xfffffff0085d7668: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff0085d766c: e90310aa  mov	x9, x16
0xfffffff0085d7670: f10309aa  mov	x17, x9
0xfffffff0085d7674: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff0085d7678: 11093fd7  blraa	x8, x17
0xfffffff0085d767c: f70300aa  mov	x23, x0
0xfffffff0085d7680: 100340f9  ldr	x16, [x24]
0xfffffff0085d7684: f10318aa  mov	x17, x24
0xfffffff0085d7688: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0085d768c: 301ac1da  autda	x16, x17
0xfffffff0085d7690: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff0085d7694: e90310aa  mov	x9, x16
0xfffffff0085d7698: e00318aa  mov	x0, x24
0xfffffff0085d769c: f10309aa  mov	x17, x9
0xfffffff0085d76a0: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff0085d76a4: 11093fd7  blraa	x8, x17
0xfffffff0085d76a8: f803002a  mov	w24, w0
0xfffffff0085d76ac: 2059ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff0085d76b0: 00283a91  add	x0, x0, #0xe8a
0xfffffff0085d76b4: e10317aa  mov	x1, x23
0xfffffff0085d76b8: e20318aa  mov	x2, x24
0xfffffff0085d76bc: f517de97  bl	#0xfffffff007d5d690
0xfffffff0085d76c0: 000f0034  cbz	w0, #0xfffffff0085d78a0
0xfffffff0085d76c4: 2059ff90  adrp	x0, #0xfffffff0070fb000
0xfffffff0085d76c8: 00c43b91  add	x0, x0, #0xef1
0xfffffff0085d76cc: e10317aa  mov	x1, x23
0xfffffff0085d76d0: e20318aa  mov	x2, x24
0xfffffff0085d76d4: ef17de97  bl	#0xfffffff007d5d690
0xfffffff0085d76d8: 60120034  cbz	w0, #0xfffffff0085d7924
0xfffffff0085d76dc: b4e24194  bl	#0xfffffff0096501ac
0xfffffff0085d76e0: e20300aa  mov	x2, x0
0xfffffff0085d76e4: 61ba40b9  ldr	w1, [x19, #0xb8]
0xfffffff0085d76e8: f60300f9  str	x22, [sp]
0xfffffff0085d76ec: 1459fff0  adrp	x20, #0xfffffff0070fa000
0xfffffff0085d76f0: 94923f91  add	x20, x20, #0xfe4
0xfffffff0085d76f4: 2759ff90  adrp	x7, #0xfffffff0070fb000
0xfffffff0085d76f8: e7e00091  add	x7, x7, #0x38
0xfffffff0085d76fc: 00008052  mov	w0, #0
0xfffffff0085d7700: e30313aa  mov	x3, x19
0xfffffff0085d7704: e40314aa  mov	x4, x20
0xfffffff0085d7708: 050080d2  mov	x5, #0
0xfffffff0085d770c: 060080d2  mov	x6, #0
0xfffffff0085d7710: abe24194  bl	#0xfffffff0096501bc
0xfffffff0085d7714: e0280037  tbnz	w0, #0, #0xfffffff0085d7c30
0xfffffff0085d7718: e00313aa  mov	x0, x19
0xfffffff0085d771c: cb44f697  bl	#0xfffffff008368a48
0xfffffff0085d7720: f50300aa  mov	x21, x0
0xfffffff0085d7724: 700240f9  ldr	x16, [x19]
0xfffffff0085d7728: f10313aa  mov	x17, x19
