; Candidate 6417
; ADRP+ADD at VM 0xfffffff00882a058 (fileoff 0x1826058): page=0x1fe9bf000 add_imm=0xe80

0xfffffff008829fd8: 0a000014  b	#0xfffffff00882a000
0xfffffff008829fdc: e07c8012  mov	w0, #-0x3e8
0xfffffff008829fe0: 33000014  b	#0xfffffff00882a0ac
0xfffffff008829fe4: 60030034  cbz	w0, #0xfffffff00882a050
0xfffffff008829fe8: e803154b  neg	w8, w21
0xfffffff008829fec: 28032837  tbnz	w8, #5, #0xfffffff00882a050
0xfffffff008829ff0: e8c30091  add	x8, sp, #0x30
0xfffffff008829ff4: e85f00a9  stp	x8, x23, [sp]
0xfffffff008829ff8: c04fff90  adrp	x0, #0xfffffff007221000
0xfffffff008829ffc: 00583791  add	x0, x0, #0xdd6
0xfffffff00882a000: 1835d697  bl	#0xfffffff007db7460
0xfffffff00882a004: 1d000014  b	#0xfffffff00882a078
0xfffffff00882a008: 69280294  bl	#0xfffffff0088b41ac
0xfffffff00882a00c: f90300aa  mov	x25, x0
0xfffffff00882a010: e00318aa  mov	x0, x24
0xfffffff00882a014: 0f460194  bl	#0xfffffff00887b850
0xfffffff00882a018: e8c30091  add	x8, sp, #0x30
0xfffffff00882a01c: e8df01a9  stp	x8, x23, [sp, #0x18]
0xfffffff00882a020: e80316aa  mov	x8, x22
0xfffffff00882a024: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882a028: f90300f9  str	x25, [sp]
0xfffffff00882a02c: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a030: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a034: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a038: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a03c: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882a040: 63000191  add	x3, x3, #0x40
0xfffffff00882a044: 02008052  mov	w2, #0
0xfffffff00882a048: 3a24ec97  bl	#0xfffffff008333130
0xfffffff00882a04c: 0b000014  b	#0xfffffff00882a078
0xfffffff00882a050: e8c30091  add	x8, sp, #0x30
0xfffffff00882a054: e85f00a9  stp	x8, x23, [sp]
0xfffffff00882a058: e04dfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882a05c: 00003a91  add	x0, x0, #0xe80
0xfffffff00882a060: e18effd0  adrp	x1, #0xfffffff007a08000
0xfffffff00882a064: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882a068: 0351ffd0  adrp	x3, #0xfffffff00724c000
0xfffffff00882a06c: 63980091  add	x3, x3, #0x26
0xfffffff00882a070: 02008052  mov	w2, #0
0xfffffff00882a074: 2f24ec97  bl	#0xfffffff008333130
0xfffffff00882a078: e00317aa  mov	x0, x23
0xfffffff00882a07c: e10316aa  mov	x1, x22
0xfffffff00882a080: e20315aa  mov	x2, x21
0xfffffff00882a084: e30314aa  mov	x3, x20
0xfffffff00882a088: e40313aa  mov	x4, x19
0xfffffff00882a08c: dcfeff97  bl	#0xfffffff008829bfc
0xfffffff00882a090: e0d20091  add	x0, x23, #0x34
0xfffffff00882a094: e10316aa  mov	x1, x22
0xfffffff00882a098: e20315aa  mov	x2, x21
0xfffffff00882a09c: e30314aa  mov	x3, x20
0xfffffff00882a0a0: e40313aa  mov	x4, x19
0xfffffff00882a0a4: d6feff97  bl	#0xfffffff008829bfc
0xfffffff00882a0a8: 00008052  mov	w0, #0
0xfffffff00882a0ac: e82f40f9  ldr	x8, [sp, #0x58]
0xfffffff00882a0b0: e98effd0  adrp	x9, #0xfffffff007a08000
0xfffffff00882a0b4: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882a0b8: 290140f9  ldr	x9, [x9]
0xfffffff00882a0bc: 3f0108eb  cmp	x9, x8
0xfffffff00882a0c0: 21010054  b.ne	#0xfffffff00882a0e4
0xfffffff00882a0c4: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff00882a0c8: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff00882a0cc: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff00882a0d0: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff00882a0d4: fa6747a9  ldp	x26, x25, [sp, #0x70]
