; Candidate 5676
; ADRP+ADD at VM 0xfffffff0087ff9bc (fileoff 0x17fb9bc): page=0x1fe9ea000 add_imm=0xe80

0xfffffff0087ff93c: a0030034  cbz	w0, #0xfffffff0087ff9b0
0xfffffff0087ff940: e803154b  neg	w8, w21
0xfffffff0087ff944: 68032837  tbnz	w8, #5, #0xfffffff0087ff9b0
0xfffffff0087ff948: 08b74739  ldrb	w8, [x24, #0x1ed]
0xfffffff0087ff94c: 09274039  ldrb	w9, [x24, #9]
0xfffffff0087ff950: e82700a9  stp	x8, x9, [sp]
0xfffffff0087ff954: c050ffb0  adrp	x0, #0xfffffff007218000
0xfffffff0087ff958: 00642491  add	x0, x0, #0x919
0xfffffff0087ff95c: c1ded697  bl	#0xfffffff007db7460
0xfffffff0087ff960: 1f000014  b	#0xfffffff0087ff9dc
0xfffffff0087ff964: 12d20294  bl	#0xfffffff0088b41ac
0xfffffff0087ff968: f60300aa  mov	x22, x0
0xfffffff0087ff96c: e00314aa  mov	x0, x20
0xfffffff0087ff970: b8ef0194  bl	#0xfffffff00887b850
0xfffffff0087ff974: 08b74739  ldrb	w8, [x24, #0x1ed]
0xfffffff0087ff978: 09274039  ldrb	w9, [x24, #9]
0xfffffff0087ff97c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ff980: e80313aa  mov	x8, x19
0xfffffff0087ff984: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ff988: f60300f9  str	x22, [sp]
0xfffffff0087ff98c: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff990: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff994: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff998: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff99c: 2352ff90  adrp	x3, #0xfffffff007243000
0xfffffff0087ff9a0: 63780691  add	x3, x3, #0x19e
0xfffffff0087ff9a4: 02008052  mov	w2, #0
0xfffffff0087ff9a8: e2cdec97  bl	#0xfffffff008333130
0xfffffff0087ff9ac: 0c000014  b	#0xfffffff0087ff9dc
0xfffffff0087ff9b0: 08b74739  ldrb	w8, [x24, #0x1ed]
0xfffffff0087ff9b4: 09274039  ldrb	w9, [x24, #9]
0xfffffff0087ff9b8: e82700a9  stp	x8, x9, [sp]
0xfffffff0087ff9bc: 404fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ff9c0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ff9c4: 4190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ff9c8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ff9cc: 2352ff90  adrp	x3, #0xfffffff007243000
0xfffffff0087ff9d0: 63bc0591  add	x3, x3, #0x16f
0xfffffff0087ff9d4: 02008052  mov	w2, #0
0xfffffff0087ff9d8: d6cdec97  bl	#0xfffffff008333130
0xfffffff0087ff9dc: e00313aa  mov	x0, x19
0xfffffff0087ff9e0: e10314aa  mov	x1, x20
0xfffffff0087ff9e4: 7bef0194  bl	#0xfffffff00887b7d0
0xfffffff0087ff9e8: 20080034  cbz	w0, #0xfffffff0087ffaec
0xfffffff0087ff9ec: e00313aa  mov	x0, x19
0xfffffff0087ff9f0: 8aef0194  bl	#0xfffffff00887b818
0xfffffff0087ff9f4: 7502f837  tbnz	w21, #0x1f, #0xfffffff0087ffa40
0xfffffff0087ff9f8: b7021b12  and	w23, w21, #0x20
0xfffffff0087ff9fc: 1a000052  eor	w26, w0, #1
0xfffffff0087ffa00: ebd10294  bl	#0xfffffff0088b41ac
0xfffffff0087ffa04: f60300aa  mov	x22, x0
0xfffffff0087ffa08: e00314aa  mov	x0, x20
0xfffffff0087ffa0c: 91ef0194  bl	#0xfffffff00887b850
0xfffffff0087ffa10: 4817572a  orr	w8, w26, w23, lsr #5
0xfffffff0087ffa14: c8020037  tbnz	w8, #0, #0xfffffff0087ffa6c
0xfffffff0087ffa18: 288f46b9  ldr	w8, [x25, #0x68c]
0xfffffff0087ffa1c: 08150553  ubfx	w8, w8, #5, #1
0xfffffff0087ffa20: 09ab5839  ldrb	w9, [x24, #0x62a]
0xfffffff0087ffa24: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087ffa28: e80313aa  mov	x8, x19
0xfffffff0087ffa2c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087ffa30: f60300f9  str	x22, [sp]
0xfffffff0087ffa34: c050ffb0  adrp	x0, #0xfffffff007218000
0xfffffff0087ffa38: 00cc2691  add	x0, x0, #0x9b3
