; Candidate 12102
; ADRP+ADD at VM 0xfffffff008ff7c80 (fileoff 0x1ff3c80): page=0x1fe444000 add_imm=0xcf2

0xfffffff008ff7c00: 21a02591  add	x1, x1, #0x968
0xfffffff008ff7c04: e00313aa  mov	x0, x19
0xfffffff008ff7c08: 02008052  mov	w2, #0
0xfffffff008ff7c0c: 3bedff97  bl	#0xfffffff008ff30f8
0xfffffff008ff7c10: 1f040031  cmn	w0, #1
0xfffffff008ff7c14: 60020054  b.eq	#0xfffffff008ff7c60
0xfffffff008ff7c18: 2122ff90  adrp	x1, #0xfffffff00743b000
0xfffffff008ff7c1c: 21043391  add	x1, x1, #0xcc1
0xfffffff008ff7c20: e2730191  add	x2, sp, #0x5c
0xfffffff008ff7c24: e00313aa  mov	x0, x19
0xfffffff008ff7c28: e5e9ff97  bl	#0xfffffff008ff23bc
0xfffffff008ff7c2c: e0000036  tbz	w0, #0, #0xfffffff008ff7c48
0xfffffff008ff7c30: e85f40b9  ldr	w8, [sp, #0x5c]
0xfffffff008ff7c34: 1f010071  cmp	w8, #0
0xfffffff008ff7c38: e8079f1a  cset	w8, ne
0xfffffff008ff7c3c: 28370139  strb	w8, [x25, #0x4d]
0xfffffff008ff7c40: 88000035  cbnz	w8, #0xfffffff008ff7c50
0xfffffff008ff7c44: 07000014  b	#0xfffffff008ff7c60
0xfffffff008ff7c48: 28374139  ldrb	w8, [x25, #0x4d]
0xfffffff008ff7c4c: a8000034  cbz	w8, #0xfffffff008ff7c60
0xfffffff008ff7c50: e00313aa  mov	x0, x19
0xfffffff008ff7c54: e10313aa  mov	x1, x19
0xfffffff008ff7c58: 02028052  mov	w2, #0x10
0xfffffff008ff7c5c: 4b040094  bl	#0xfffffff008ff8d88
0xfffffff008ff7c60: 2122ff90  adrp	x1, #0xfffffff00743b000
0xfffffff008ff7c64: 215c3391  add	x1, x1, #0xcd7
0xfffffff008ff7c68: e2730191  add	x2, sp, #0x5c
0xfffffff008ff7c6c: e00313aa  mov	x0, x19
0xfffffff008ff7c70: d3e9ff97  bl	#0xfffffff008ff23bc
0xfffffff008ff7c74: 00040034  cbz	w0, #0xfffffff008ff7cf4
0xfffffff008ff7c78: e85f40b9  ldr	w8, [sp, #0x5c]
0xfffffff008ff7c7c: c8030034  cbz	w8, #0xfffffff008ff7cf4
0xfffffff008ff7c80: 2022ff90  adrp	x0, #0xfffffff00743b000
0xfffffff008ff7c84: 00c83391  add	x0, x0, #0xcf2
0xfffffff008ff7c88: 010080d2  mov	x1, #0
0xfffffff008ff7c8c: 0149ce97  bl	#0xfffffff00838a090
0xfffffff008ff7c90: 802f00b4  cbz	x0, #0xfffffff008ff8280
0xfffffff008ff7c94: f50300aa  mov	x21, x0
0xfffffff008ff7c98: e859fff0  adrp	x8, #0xfffffff007b36000
0xfffffff008ff7c9c: 08d144f9  ldr	x8, [x8, #0x9a0]
0xfffffff008ff7ca0: 000140f9  ldr	x0, [x8]
0xfffffff008ff7ca4: 100000b0  adrp	x16, #0xfffffff008ff8000
0xfffffff008ff7ca8: 10f23c91  add	x16, x16, #0xf3c
0xfffffff008ff7cac: d13b8cd2  mov	x17, #0x61de
0xfffffff008ff7cb0: 3002c1da  pacia	x16, x17
0xfffffff008ff7cb4: e20310aa  mov	x2, x16
0xfffffff008ff7cb8: e10315aa  mov	x1, x21
0xfffffff008ff7cbc: e30313aa  mov	x3, x19
0xfffffff008ff7cc0: 040080d2  mov	x4, #0
0xfffffff008ff7cc4: 05008052  mov	w5, #0
0xfffffff008ff7cc8: a347ce97  bl	#0xfffffff008389b54
0xfffffff008ff7ccc: b00240f9  ldr	x16, [x21]
0xfffffff008ff7cd0: f10315aa  mov	x17, x21
0xfffffff008ff7cd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008ff7cd8: 301ac1da  autda	x16, x17
0xfffffff008ff7cdc: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008ff7ce0: e90310aa  mov	x9, x16
0xfffffff008ff7ce4: e00315aa  mov	x0, x21
0xfffffff008ff7ce8: f10309aa  mov	x17, x9
0xfffffff008ff7cec: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008ff7cf0: 11093fd7  blraa	x8, x17
0xfffffff008ff7cf4: 2122ff90  adrp	x1, #0xfffffff00743b000
0xfffffff008ff7cf8: 21203591  add	x1, x1, #0xd48
0xfffffff008ff7cfc: e2730191  add	x2, sp, #0x5c
