; Candidate 12348
; ADRP+ADD at VM 0xfffffff00908cb98 (fileoff 0x2088b98): page=0x1fe3d1000 add_imm=0xdfe

0xfffffff00908cb18: 687e4093  sxtw	x8, w19
0xfffffff00908cb1c: c92e8052  mov	w9, #0x176
0xfffffff00908cb20: 8a1effb0  adrp	x10, #0xfffffff00745d000
0xfffffff00908cb24: 4aa12f91  add	x10, x10, #0xbe8
0xfffffff00908cb28: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00908cb2c: 691effb0  adrp	x9, #0xfffffff007459000
0xfffffff00908cb30: 29b92d91  add	x9, x9, #0xb6e
0xfffffff00908cb34: 6b1effd0  adrp	x11, #0xfffffff00745a000
0xfffffff00908cb38: 6b290291  add	x11, x11, #0x8a
0xfffffff00908cb3c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00908cb40: eb0300f9  str	x11, [sp]
0xfffffff00908cb44: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cb48: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908cb4c: 3529cb97  bl	#0xfffffff008357020
0xfffffff00908cb50: c8088052  mov	w8, #0x46
0xfffffff00908cb54: cbffff17  b	#0xfffffff00908ca80
0xfffffff00908cb58: 7f2303d5  pacibsp	
0xfffffff00908cb5c: ff4301d1  sub	sp, sp, #0x50
0xfffffff00908cb60: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00908cb64: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00908cb68: fd030191  add	x29, sp, #0x40
0xfffffff00908cb6c: f30300aa  mov	x19, x0
0xfffffff00908cb70: 349400b0  adrp	x20, #0xfffffff00a311000
0xfffffff00908cb74: 94a20391  add	x20, x20, #0xe8
0xfffffff00908cb78: 88024039  ldrb	w8, [x20]
0xfffffff00908cb7c: 1f790071  cmp	w8, #0x1e
0xfffffff00908cb80: 28010054  b.hi	#0xfffffff00908cba4
0xfffffff00908cb84: 881effb0  adrp	x8, #0xfffffff00745d000
0xfffffff00908cb88: 086d3891  add	x8, x8, #0xe1b
0xfffffff00908cb8c: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cb90: 29792f91  add	x9, x9, #0xbde
0xfffffff00908cb94: e92300a9  stp	x9, x8, [sp]
0xfffffff00908cb98: 801effb0  adrp	x0, #0xfffffff00745d000
0xfffffff00908cb9c: 00f83791  add	x0, x0, #0xdfe
0xfffffff00908cba0: 2029cb97  bl	#0xfffffff008357020
0xfffffff00908cba4: e00313aa  mov	x0, x19
0xfffffff00908cba8: 45fcff97  bl	#0xfffffff00908bcbc
0xfffffff00908cbac: 137c4093  sxtw	x19, w0
0xfffffff00908cbb0: 60020035  cbnz	w0, #0xfffffff00908cbfc
0xfffffff00908cbb4: 48018052  mov	w8, #0xa
0xfffffff00908cbb8: 89024039  ldrb	w9, [x20]
0xfffffff00908cbbc: 1f01096b  cmp	w8, w9
0xfffffff00908cbc0: 43010054  b.lo	#0xfffffff00908cbe8
0xfffffff00908cbc4: 881effb0  adrp	x8, #0xfffffff00745d000
0xfffffff00908cbc8: 086d3891  add	x8, x8, #0xe1b
0xfffffff00908cbcc: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cbd0: 29792f91  add	x9, x9, #0xbde
0xfffffff00908cbd4: e8cf00a9  stp	x8, x19, [sp, #8]
0xfffffff00908cbd8: e90300f9  str	x9, [sp]
0xfffffff00908cbdc: 601effb0  adrp	x0, #0xfffffff007459000
0xfffffff00908cbe0: 00903891  add	x0, x0, #0xe24
0xfffffff00908cbe4: 0f29cb97  bl	#0xfffffff008357020
0xfffffff00908cbe8: e00313aa  mov	x0, x19
0xfffffff00908cbec: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00908cbf0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00908cbf4: ff430191  add	sp, sp, #0x50
0xfffffff00908cbf8: ff0f5fd6  retab	
0xfffffff00908cbfc: 28308052  mov	w8, #0x181
0xfffffff00908cc00: 891effb0  adrp	x9, #0xfffffff00745d000
0xfffffff00908cc04: 29a12f91  add	x9, x9, #0xbe8
0xfffffff00908cc08: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908cc0c: 681effb0  adrp	x8, #0xfffffff007459000
0xfffffff00908cc10: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908cc14: 6a1effd0  adrp	x10, #0xfffffff00745a000
