; Candidate 4250
; ADRP+ADD at VM 0xfffffff008799e60 (fileoff 0x1795e60): page=0x1ff26c000 add_imm=0xda8

0xfffffff008799de0: fd830091  add	x29, sp, #0x20
0xfffffff008799de4: f30300aa  mov	x19, x0
0xfffffff008799de8: 14f6ee97  bl	#0xfffffff008357638
0xfffffff008799dec: 600a00f9  str	x0, [x19, #0x10]
0xfffffff008799df0: 600000b4  cbz	x0, #0xfffffff008799dfc
0xfffffff008799df4: 00008052  mov	w0, #0
0xfffffff008799df8: 0d000014  b	#0xfffffff008799e2c
0xfffffff008799dfc: a84dffb0  adrp	x8, #0xfffffff00714e000
0xfffffff008799e00: 08e93f91  add	x8, x8, #0xffa
0xfffffff008799e04: e80300f9  str	x8, [sp]
0xfffffff008799e08: c04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008799e0c: 00403691  add	x0, x0, #0xd90
0xfffffff008799e10: 2193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008799e14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008799e18: 834dff90  adrp	x3, #0xfffffff007149000
0xfffffff008799e1c: 63d00491  add	x3, x3, #0x134
0xfffffff008799e20: 02008052  mov	w2, #0
0xfffffff008799e24: c364ee97  bl	#0xfffffff008333130
0xfffffff008799e28: 20008052  mov	w0, #1
0xfffffff008799e2c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008799e30: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008799e34: ffc30091  add	sp, sp, #0x30
0xfffffff008799e38: ff0f5fd6  retab	
0xfffffff008799e3c: 7f2303d5  pacibsp	
0xfffffff008799e40: ff4301d1  sub	sp, sp, #0x50
0xfffffff008799e44: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008799e48: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008799e4c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008799e50: fd030191  add	x29, sp, #0x40
0xfffffff008799e54: 010400b4  cbz	x1, #0xfffffff008799ed4
0xfffffff008799e58: f50301aa  mov	x21, x1
0xfffffff008799e5c: f30300aa  mov	x19, x0
0xfffffff008799e60: 6093ff90  adrp	x0, #0xfffffff007a05000
0xfffffff008799e64: 00a03691  add	x0, x0, #0xda8
0xfffffff008799e68: a3f1ee97  bl	#0xfffffff0083564f4
0xfffffff008799e6c: c00400b4  cbz	x0, #0xfffffff008799f04
0xfffffff008799e70: f40300aa  mov	x20, x0
0xfffffff008799e74: a82640a9  ldp	x8, x9, [x21]
0xfffffff008799e78: 082400a9  stp	x8, x9, [x0]
0xfffffff008799e7c: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff008799e80: 081000b9  str	w8, [x0, #0x10]
0xfffffff008799e84: 1f0c00f9  str	xzr, [x0, #0x18]
0xfffffff008799e88: a82640a9  ldp	x8, x9, [x21]
0xfffffff008799e8c: aa1240b9  ldr	w10, [x21, #0x10]
0xfffffff008799e90: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff008799e94: 094efff0  adrp	x9, #0xfffffff00715c000
0xfffffff008799e98: 29a10f91  add	x9, x9, #0x3e8
0xfffffff008799e9c: e92300a9  stp	x9, x8, [sp]
0xfffffff008799ea0: c04cff90  adrp	x0, #0xfffffff007131000
0xfffffff008799ea4: 00403691  add	x0, x0, #0xd90
0xfffffff008799ea8: 2193ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008799eac: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008799eb0: 834dff90  adrp	x3, #0xfffffff007149000
0xfffffff008799eb4: 63c00691  add	x3, x3, #0x1b0
0xfffffff008799eb8: 02008052  mov	w2, #0
0xfffffff008799ebc: 9d64ee97  bl	#0xfffffff008333130
0xfffffff008799ec0: e00313aa  mov	x0, x19
0xfffffff008799ec4: e10314aa  mov	x1, x20
0xfffffff008799ec8: 20000094  bl	#0xfffffff008799f48
0xfffffff008799ecc: 00008052  mov	w0, #0
0xfffffff008799ed0: 19000014  b	#0xfffffff008799f34
0xfffffff008799ed4: 084efff0  adrp	x8, #0xfffffff00715c000
0xfffffff008799ed8: 08a10f91  add	x8, x8, #0x3e8
0xfffffff008799edc: e80300f9  str	x8, [sp]
