; Candidate 12696
; ADRP+ADD at VM 0xfffffff009120594 (fileoff 0x211c594): page=0x1fe358000 add_imm=0xe26

0xfffffff009120514: d71aff90  adrp	x23, #0xfffffff007478000
0xfffffff009120518: f7223891  add	x23, x23, #0xe08
0xfffffff00912051c: e00317aa  mov	x0, x23
0xfffffff009120520: dd1ac897  bl	#0xfffffff008327094
0xfffffff009120524: f60300aa  mov	x22, x0
0xfffffff009120528: b00240f9  ldr	x16, [x21]
0xfffffff00912052c: f10315aa  mov	x17, x21
0xfffffff009120530: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009120534: 301ac1da  autda	x16, x17
0xfffffff009120538: 088e4cf8  ldr	x8, [x16, #0xc8]!
0xfffffff00912053c: e90310aa  mov	x9, x16
0xfffffff009120540: e00315aa  mov	x0, x21
0xfffffff009120544: e10317aa  mov	x1, x23
0xfffffff009120548: e20316aa  mov	x2, x22
0xfffffff00912054c: f10309aa  mov	x17, x9
0xfffffff009120550: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff009120554: 11093fd7  blraa	x8, x17
0xfffffff009120558: 560200b4  cbz	x22, #0xfffffff0091205a0
0xfffffff00912055c: d00240f9  ldr	x16, [x22]
0xfffffff009120560: f10316aa  mov	x17, x22
0xfffffff009120564: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009120568: 301ac1da  autda	x16, x17
0xfffffff00912056c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009120570: e90310aa  mov	x9, x16
0xfffffff009120574: e00316aa  mov	x0, x22
0xfffffff009120578: f10309aa  mov	x17, x9
0xfffffff00912057c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009120580: 11093fd7  blraa	x8, x17
0xfffffff009120584: 07000014  b	#0xfffffff0091205a0
0xfffffff009120588: c81aff90  adrp	x8, #0xfffffff007478000
0xfffffff00912058c: 08253a91  add	x8, x8, #0xe89
0xfffffff009120590: e80300f9  str	x8, [sp]
0xfffffff009120594: c01aff90  adrp	x0, #0xfffffff007478000
0xfffffff009120598: 00983891  add	x0, x0, #0xe26
0xfffffff00912059c: a1dac897  bl	#0xfffffff008357020
0xfffffff0091205a0: 900240f9  ldr	x16, [x20]
0xfffffff0091205a4: f10314aa  mov	x17, x20
0xfffffff0091205a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091205ac: 301ac1da  autda	x16, x17
0xfffffff0091205b0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0091205b4: e90310aa  mov	x9, x16
0xfffffff0091205b8: e00314aa  mov	x0, x20
0xfffffff0091205bc: f10309aa  mov	x17, x9
0xfffffff0091205c0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0091205c4: 11093fd7  blraa	x8, x17
0xfffffff0091205c8: 700240f9  ldr	x16, [x19]
0xfffffff0091205cc: f10313aa  mov	x17, x19
0xfffffff0091205d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091205d4: 301ac1da  autda	x16, x17
0xfffffff0091205d8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0091205dc: e10310aa  mov	x1, x16
0xfffffff0091205e0: f00308aa  mov	x16, x8
0xfffffff0091205e4: e00313aa  mov	x0, x19
0xfffffff0091205e8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0091205ec: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0091205f0: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0091205f4: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0091205f8: ff430191  add	sp, sp, #0x50
0xfffffff0091205fc: ff2303d5  autibsp	
0xfffffff009120600: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009120604: 5100f0b6  tbz	x17, #0x3e, #0xfffffff00912060c
0xfffffff009120608: 208e38d4  brk	#0xc471
0xfffffff00912060c: f10301aa  mov	x17, x1
0xfffffff009120610: f150e7f2  movk	x17, #0x3a87, lsl #48
