; Candidate 1732
; ADRP+ADD at VM 0xfffffff0084fa70c (fileoff 0x14f670c): page=0x1febe7000 add_imm=0xe02

0xfffffff0084fa68c: 01b78152  mov	w1, #0xdb8
0xfffffff0084fa690: eab3f797  bl	#0xfffffff0082e7638
0xfffffff0084fa694: f30300aa  mov	x19, x0
0xfffffff0084fa698: d4ee00f0  adrp	x20, #0xfffffff00a2d5000
0xfffffff0084fa69c: 94020991  add	x20, x20, #0x240
0xfffffff0084fa6a0: e10314aa  mov	x1, x20
0xfffffff0084fa6a4: 32b4f797  bl	#0xfffffff0082e776c
0xfffffff0084fa6a8: f0a4ff90  adrp	x16, #0xfffffff007996000
0xfffffff0084fa6ac: 10023f91  add	x16, x16, #0xfc0
0xfffffff0084fa6b0: 10420091  add	x16, x16, #0x10
0xfffffff0084fa6b4: f10300aa  mov	x17, x0
0xfffffff0084fa6b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0084fa6bc: 300ac1da  pacda	x16, x17
0xfffffff0084fa6c0: 100000f9  str	x16, [x0]
0xfffffff0084fa6c4: e00314aa  mov	x0, x20
0xfffffff0084fa6c8: 9baaf797  bl	#0xfffffff0082e5134
0xfffffff0084fa6cc: e00313aa  mov	x0, x19
0xfffffff0084fa6d0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0084fa6d4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0084fa6d8: ff0f5fd6  retab	
0xfffffff0084fa6dc: 5f2403d5  bti	c
0xfffffff0084fa6e0: 05a8f717  b	#0xfffffff0082e46f4
0xfffffff0084fa6e4: 5f2403d5  bti	c
0xfffffff0084fa6e8: 03a8f717  b	#0xfffffff0082e46f4
0xfffffff0084fa6ec: 7f2303d5  pacibsp	
0xfffffff0084fa6f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0084fa6f4: fd030091  mov	x29, sp
0xfffffff0084fa6f8: 205ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084fa6fc: 00603791  add	x0, x0, #0xdd8
0xfffffff0084fa700: cebaf897  bl	#0xfffffff008329238
0xfffffff0084fa704: c8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084fa708: 000901f9  str	x0, [x8, #0x210]
0xfffffff0084fa70c: 205ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084fa710: 00083891  add	x0, x0, #0xe02
0xfffffff0084fa714: c9baf897  bl	#0xfffffff008329238
0xfffffff0084fa718: c8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084fa71c: 000d01f9  str	x0, [x8, #0x218]
0xfffffff0084fa720: 205ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084fa724: 00883891  add	x0, x0, #0xe22
0xfffffff0084fa728: c4baf897  bl	#0xfffffff008329238
0xfffffff0084fa72c: c8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084fa730: 001101f9  str	x0, [x8, #0x220]
0xfffffff0084fa734: 205ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084fa738: 00e43891  add	x0, x0, #0xe39
0xfffffff0084fa73c: bfbaf897  bl	#0xfffffff008329238
0xfffffff0084fa740: c8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084fa744: 001501f9  str	x0, [x8, #0x228]
0xfffffff0084fa748: 205ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084fa74c: 004c3991  add	x0, x0, #0xe53
0xfffffff0084fa750: babaf897  bl	#0xfffffff008329238
0xfffffff0084fa754: c8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084fa758: 001901f9  str	x0, [x8, #0x230]
0xfffffff0084fa75c: 205ffff0  adrp	x0, #0xfffffff0070e1000
0xfffffff0084fa760: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0084fa764: b5baf897  bl	#0xfffffff008329238
0xfffffff0084fa768: c8ee00f0  adrp	x8, #0xfffffff00a2d5000
0xfffffff0084fa76c: 001d01f9  str	x0, [x8, #0x238]
0xfffffff0084fa770: e0ee0090  adrp	x0, #0xfffffff00a2d6000
0xfffffff0084fa774: 00001891  add	x0, x0, #0x600
0xfffffff0084fa778: 015fff90  adrp	x1, #0xfffffff0070da000
0xfffffff0084fa77c: 21600b91  add	x1, x1, #0x2d8
0xfffffff0084fa780: c2a4fff0  adrp	x2, #0xfffffff007995000
0xfffffff0084fa784: 423c45f9  ldr	x2, [x2, #0xa78]
0xfffffff0084fa788: 032e8052  mov	w3, #0x170
