; Candidate 10616
; ADRP+ADD at VM 0xfffffff008ddfa3c (fileoff 0x1ddba3c): page=0x1fe5e5000 add_imm=0xd21

0xfffffff008ddf9bc: 4af13a91  add	x10, x10, #0xebc
0xfffffff008ddf9c0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008ddf9c4: ea0300f9  str	x10, [sp]
0xfffffff008ddf9c8: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddf9cc: 00543891  add	x0, x0, #0xe15
0xfffffff008ddf9d0: 94ddd597  bl	#0xfffffff008357020
0xfffffff008ddf9d4: d5088052  mov	w21, #0x46
0xfffffff008ddf9d8: b6ffff17  b	#0xfffffff008ddf8b0
0xfffffff008ddf9dc: 7f2303d5  pacibsp	
0xfffffff008ddf9e0: ff4302d1  sub	sp, sp, #0x90
0xfffffff008ddf9e4: fc6f03a9  stp	x28, x27, [sp, #0x30]
0xfffffff008ddf9e8: fa6704a9  stp	x26, x25, [sp, #0x40]
0xfffffff008ddf9ec: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008ddf9f0: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008ddf9f4: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008ddf9f8: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008ddf9fc: fd030291  add	x29, sp, #0x80
0xfffffff008ddfa00: f30304aa  mov	x19, x4
0xfffffff008ddfa04: f80303aa  mov	x24, x3
0xfffffff008ddfa08: f90302aa  mov	x25, x2
0xfffffff008ddfa0c: f60301aa  mov	x22, x1
0xfffffff008ddfa10: f50300aa  mov	x21, x0
0xfffffff008ddfa14: 17a90090  adrp	x23, #0xfffffff00a2ff000
0xfffffff008ddfa18: f7422c91  add	x23, x23, #0xb10
0xfffffff008ddfa1c: e8024039  ldrb	w8, [x23]
0xfffffff008ddfa20: 1c2fffd0  adrp	x28, #0xfffffff0073c1000
0xfffffff008ddfa24: 9c331c91  add	x28, x28, #0x70c
0xfffffff008ddfa28: 1b2fffd0  adrp	x27, #0xfffffff0073c1000
0xfffffff008ddfa2c: 7b9f0c91  add	x27, x27, #0x327
0xfffffff008ddfa30: 1f290071  cmp	w8, #0xa
0xfffffff008ddfa34: a8000054  b.hi	#0xfffffff008ddfa48
0xfffffff008ddfa38: fb7300a9  stp	x27, x28, [sp]
0xfffffff008ddfa3c: 202fffb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008ddfa40: 00843491  add	x0, x0, #0xd21
0xfffffff008ddfa44: 77ddd597  bl	#0xfffffff008357020
0xfffffff008ddfa48: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff008ddfa4c: 790000b5  cbnz	x25, #0xfffffff008ddfa58
0xfffffff008ddfa50: 7f0a0071  cmp	w19, #2
0xfffffff008ddfa54: 210a0054  b.ne	#0xfffffff008ddfb98
0xfffffff008ddfa58: 380b00b4  cbz	x24, #0xfffffff008ddfbbc
0xfffffff008ddfa5c: e3a30091  add	x3, sp, #0x28
0xfffffff008ddfa60: e00319aa  mov	x0, x25
0xfffffff008ddfa64: e10318aa  mov	x1, x24
0xfffffff008ddfa68: e20313aa  mov	x2, x19
0xfffffff008ddfa6c: 522d0094  bl	#0xfffffff008deafb4
0xfffffff008ddfa70: 600c0035  cbnz	w0, #0xfffffff008ddfbfc
0xfffffff008ddfa74: fa1740f9  ldr	x26, [sp, #0x28]
0xfffffff008ddfa78: e0031aaa  mov	x0, x26
0xfffffff008ddfa7c: 1c1c0094  bl	#0xfffffff008de6aec
0xfffffff008ddfa80: f40300aa  mov	x20, x0
0xfffffff008ddfa84: 002fffd0  adrp	x0, #0xfffffff0073c1000
0xfffffff008ddfa88: 00c00a91  add	x0, x0, #0x2b0
0xfffffff008ddfa8c: 172fffd0  adrp	x23, #0xfffffff0073c1000
0xfffffff008ddfa90: f74a0d91  add	x23, x23, #0x352
0xfffffff008ddfa94: 052fffd0  adrp	x5, #0xfffffff0073c1000
0xfffffff008ddfa98: a5301c91  add	x5, x5, #0x70c
0xfffffff008ddfa9c: e10314aa  mov	x1, x20
0xfffffff008ddfaa0: e2031aaa  mov	x2, x26
0xfffffff008ddfaa4: e30317aa  mov	x3, x23
0xfffffff008ddfaa8: 641f8052  mov	w4, #0xfb
0xfffffff008ddfaac: 5e1c0094  bl	#0xfffffff008de6c24
0xfffffff008ddfab0: b40c00b4  cbz	x20, #0xfffffff008ddfc44
0xfffffff008ddfab4: e4a30091  add	x4, sp, #0x28
0xfffffff008ddfab8: e00319aa  mov	x0, x25
