; Candidate 10916
; ADRP+ADD at VM 0xfffffff008decb60 (fileoff 0x1de8b60): page=0x1fe5d8000 add_imm=0xe15

0xfffffff008decae0: 880200f9  str	x8, [x20]
0xfffffff008decae4: e00313aa  mov	x0, x19
0xfffffff008decae8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008decaec: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008decaf0: ff430191  add	sp, sp, #0x50
0xfffffff008decaf4: ff0f5fd6  retab	
0xfffffff008decaf8: c82f8152  mov	w8, #0x97e
0xfffffff008decafc: a92effd0  adrp	x9, #0xfffffff0073c2000
0xfffffff008decb00: 29e92e91  add	x9, x9, #0xbba
0xfffffff008decb04: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008decb08: c82eff90  adrp	x8, #0xfffffff0073c4000
0xfffffff008decb0c: 08493991  add	x8, x8, #0xe52
0xfffffff008decb10: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decb14: 4a713091  add	x10, x10, #0xc1c
0xfffffff008decb18: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008decb1c: ea0300f9  str	x10, [sp]
0xfffffff008decb20: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008decb24: 00543891  add	x0, x0, #0xe15
0xfffffff008decb28: 3ea9d597  bl	#0xfffffff008357020
0xfffffff008decb2c: 93008012  mov	w19, #-5
0xfffffff008decb30: edffff17  b	#0xfffffff008decae4
0xfffffff008decb34: 687e4093  sxtw	x8, w19
0xfffffff008decb38: 29308152  mov	w9, #0x981
0xfffffff008decb3c: aa2effd0  adrp	x10, #0xfffffff0073c2000
0xfffffff008decb40: 4ae92e91  add	x10, x10, #0xbba
0xfffffff008decb44: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008decb48: c92eff90  adrp	x9, #0xfffffff0073c4000
0xfffffff008decb4c: 29493991  add	x9, x9, #0xe52
0xfffffff008decb50: cb2eff90  adrp	x11, #0xfffffff0073c4000
0xfffffff008decb54: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008decb58: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008decb5c: eb0300f9  str	x11, [sp]
0xfffffff008decb60: c02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008decb64: 00543891  add	x0, x0, #0xe15
0xfffffff008decb68: 2ea9d597  bl	#0xfffffff008357020
0xfffffff008decb6c: deffff17  b	#0xfffffff008decae4
0xfffffff008decb70: 7f2303d5  pacibsp	
0xfffffff008decb74: ff4302d1  sub	sp, sp, #0x90
0xfffffff008decb78: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff008decb7c: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff008decb80: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff008decb84: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff008decb88: fd030291  add	x29, sp, #0x80
0xfffffff008decb8c: a1c31cb8  stur	w1, [x29, #-0x34]
0xfffffff008decb90: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff008decb94: e2df0039  strb	w2, [sp, #0x37]
0xfffffff008decb98: 400500b4  cbz	x0, #0xfffffff008decc40
0xfffffff008decb9c: 41060034  cbz	w1, #0xfffffff008decc64
0xfffffff008decba0: f40305aa  mov	x20, x5
0xfffffff008decba4: 250700b4  cbz	x5, #0xfffffff008decc88
0xfffffff008decba8: f30306aa  mov	x19, x6
0xfffffff008decbac: 060800b4  cbz	x6, #0xfffffff008deccac
0xfffffff008decbb0: f60304aa  mov	x22, x4
0xfffffff008decbb4: f70303aa  mov	x23, x3
0xfffffff008decbb8: f80300aa  mov	x24, x0
0xfffffff008decbbc: e2030191  add	x2, sp, #0x40
0xfffffff008decbc0: e00303aa  mov	x0, x3
0xfffffff008decbc4: e10304aa  mov	x1, x4
0xfffffff008decbc8: b8ffff97  bl	#0xfffffff008decaa8
0xfffffff008decbcc: 20080035  cbnz	w0, #0xfffffff008deccd0
0xfffffff008decbd0: 680240f9  ldr	x8, [x19]
0xfffffff008decbd4: e92340f9  ldr	x9, [sp, #0x40]
0xfffffff008decbd8: 1f0109eb  cmp	x8, x9
0xfffffff008decbdc: a3090054  b.lo	#0xfffffff008decd10
