; Candidate 14574
; ADRP+ADD at VM 0xfffffff00985d254 (fileoff 0x2859254): page=0x1fe3ff000 add_imm=0xdd0

0xfffffff00985d1d4: b193faf2  movk	x17, #0xd49d, lsl #48
0xfffffff00985d1d8: 300ac1da  pacda	x16, x17
0xfffffff00985d1dc: 104800f9  str	x16, [x0, #0x90]
0xfffffff00985d1e0: 08600891  add	x8, x0, #0x218
0xfffffff00985d1e4: f01fff90  adrp	x16, #0xfffffff007c59000
0xfffffff00985d1e8: 10021191  add	x16, x16, #0x440
0xfffffff00985d1ec: 10e22e91  add	x16, x16, #0xbb8
0xfffffff00985d1f0: f10308aa  mov	x17, x8
0xfffffff00985d1f4: 314fecf2  movk	x17, #0x6279, lsl #48
0xfffffff00985d1f8: 300ac1da  pacda	x16, x17
0xfffffff00985d1fc: 100c01f9  str	x16, [x0, #0x218]
0xfffffff00985d200: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00985d204: ff0f5fd6  retab	
0xfffffff00985d208: 5f2403d5  bti	c
0xfffffff00985d20c: 16dafe17  b	#0xfffffff009813a64
0xfffffff00985d210: 5f2403d5  bti	c
0xfffffff00985d214: 14dafe17  b	#0xfffffff009813a64
0xfffffff00985d218: 5f2403d5  bti	c
0xfffffff00985d21c: 002002d1  sub	x0, x0, #0x88
0xfffffff00985d220: 11dafe17  b	#0xfffffff009813a64
0xfffffff00985d224: 5f2403d5  bti	c
0xfffffff00985d228: 004002d1  sub	x0, x0, #0x90
0xfffffff00985d22c: 0edafe17  b	#0xfffffff009813a64
0xfffffff00985d230: 5f2403d5  bti	c
0xfffffff00985d234: 006008d1  sub	x0, x0, #0x218
0xfffffff00985d238: 0bdafe17  b	#0xfffffff009813a64
0xfffffff00985d23c: 7f2303d5  pacibsp	
0xfffffff00985d240: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985d244: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985d248: fd430091  add	x29, sp, #0x10
0xfffffff00985d24c: f30300aa  mov	x19, x0
0xfffffff00985d250: 05dafe97  bl	#0xfffffff009813a64
0xfffffff00985d254: e01ffff0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985d258: 00403791  add	x0, x0, #0xdd0
0xfffffff00985d25c: e10313aa  mov	x1, x19
0xfffffff00985d260: 02a38052  mov	w2, #0x518
0xfffffff00985d264: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985d268: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985d26c: ff2303d5  autibsp	
0xfffffff00985d270: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00985d274: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00985d27c
0xfffffff00985d278: 208e38d4  brk	#0xc471
0xfffffff00985d27c: 0829aa17  b	#0xfffffff0082e769c
0xfffffff00985d280: 5f2403d5  bti	c
0xfffffff00985d284: e20301aa  mov	x2, x1
0xfffffff00985d288: e10300aa  mov	x1, x0
0xfffffff00985d28c: e01ffff0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985d290: 00403791  add	x0, x0, #0xdd0
0xfffffff00985d294: 0229aa17  b	#0xfffffff0082e769c
0xfffffff00985d298: 7f2303d5  pacibsp	
0xfffffff00985d29c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00985d2a0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00985d2a4: fd430091  add	x29, sp, #0x10
0xfffffff00985d2a8: 132002d1  sub	x19, x0, #0x88
0xfffffff00985d2ac: e00313aa  mov	x0, x19
0xfffffff00985d2b0: edd9fe97  bl	#0xfffffff009813a64
0xfffffff00985d2b4: e01ffff0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985d2b8: 00403791  add	x0, x0, #0xdd0
0xfffffff00985d2bc: e10313aa  mov	x1, x19
0xfffffff00985d2c0: 02a38052  mov	w2, #0x518
0xfffffff00985d2c4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985d2c8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985d2cc: ff2303d5  autibsp	
0xfffffff00985d2d0: d0071eca  eor	x16, x30, x30, lsl #1
