; Candidate 7728
; ADRP+ADD at VM 0xfffffff00887b758 (fileoff 0x1877758): page=0x1fe96e000 add_imm=0xe80

0xfffffff00887b6d8: 007d8012  mov	w0, #-0x3e9
0xfffffff00887b6dc: 38000014  b	#0xfffffff00887b7bc
0xfffffff00887b6e0: f40301aa  mov	x20, x1
0xfffffff00887b6e4: f30300aa  mov	x19, x0
0xfffffff00887b6e8: e803002a  mov	w8, w0
0xfffffff00887b6ec: e90301aa  mov	x9, x1
0xfffffff00887b6f0: 81000035  cbnz	w1, #0xfffffff00887b700
0xfffffff00887b6f4: e9d200f0  adrp	x9, #0xfffffff00a2da000
0xfffffff00887b6f8: 29e13891  add	x9, x9, #0xe38
0xfffffff00887b6fc: 29696838  ldrb	w9, [x9, x8]
0xfffffff00887b700: ead200f0  adrp	x10, #0xfffffff00a2da000
0xfffffff00887b704: 4ae13b91  add	x10, x10, #0xef8
0xfffffff00887b708: 49692838  strb	w9, [x10, x8]
0xfffffff00887b70c: 48014139  ldrb	w8, [x10, #0x40]
0xfffffff00887b710: 080d0012  and	w8, w8, #0xf
0xfffffff00887b714: 1f1d0071  cmp	w8, #7
0xfffffff00887b718: 03050054  b.lo	#0xfffffff00887b7b8
0xfffffff00887b71c: e8d200f0  adrp	x8, #0xfffffff00a2da000
0xfffffff00887b720: 15e17c39  ldrb	w21, [x8, #0xf38]
0xfffffff00887b724: a2e20094  bl	#0xfffffff0088b41ac
0xfffffff00887b728: d5022037  tbnz	w21, #4, #0xfffffff00887b780
0xfffffff00887b72c: a0e20094  bl	#0xfffffff0088b41ac
0xfffffff00887b730: c80c8052  mov	w8, #0x66
0xfffffff00887b734: 894dff90  adrp	x9, #0xfffffff00722b000
0xfffffff00887b738: 29e53c91  add	x9, x9, #0xf39
0xfffffff00887b73c: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff00887b740: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00887b744: 884dffb0  adrp	x8, #0xfffffff00722c000
0xfffffff00887b748: 0abd0291  add	x10, x8, #0xaf
0xfffffff00887b74c: 08088052  mov	w8, #0x40
0xfffffff00887b750: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff00887b754: e00300f9  str	x0, [sp]
0xfffffff00887b758: 604bffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887b75c: 00003a91  add	x0, x0, #0xe80
0xfffffff00887b760: 618cffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00887b764: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887b768: e34efff0  adrp	x3, #0xfffffff00725a000
0xfffffff00887b76c: 63902f91  add	x3, x3, #0xbe4
0xfffffff00887b770: 02008052  mov	w2, #0
0xfffffff00887b774: 6fdeea97  bl	#0xfffffff008333130
0xfffffff00887b778: 00008052  mov	w0, #0
0xfffffff00887b77c: 10000014  b	#0xfffffff00887b7bc
0xfffffff00887b780: f3d302a9  stp	x19, x20, [sp, #0x28]
0xfffffff00887b784: ca0c8052  mov	w10, #0x66
0xfffffff00887b788: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887b78c: 08e53c91  add	x8, x8, #0xf39
0xfffffff00887b790: 894dffb0  adrp	x9, #0xfffffff00722c000
0xfffffff00887b794: 2bbd0291  add	x11, x9, #0xaf
0xfffffff00887b798: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00887b79c: 09088052  mov	w9, #0x40
0xfffffff00887b7a0: 884dff90  adrp	x8, #0xfffffff00722b000
0xfffffff00887b7a4: 08693c91  add	x8, x8, #0xf1a
0xfffffff00887b7a8: e9af00a9  stp	x9, x11, [sp, #8]
0xfffffff00887b7ac: e00300f9  str	x0, [sp]
0xfffffff00887b7b0: e00308aa  mov	x0, x8
0xfffffff00887b7b4: 2befd497  bl	#0xfffffff007db7460
0xfffffff00887b7b8: 00008052  mov	w0, #0
0xfffffff00887b7bc: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00887b7c0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00887b7c4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00887b7c8: ffc30191  add	sp, sp, #0x70
0xfffffff00887b7cc: ff0f5fd6  retab	
0xfffffff00887b7d0: 5f2403d5  bti	c
0xfffffff00887b7d4: 3f000071  cmp	w1, #0
