; Candidate 2780
; ADRP+ADD at VM 0xfffffff0086e7c54 (fileoff 0x16e3c54): page=0x1fea4a000 add_imm=0xd90

0xfffffff0086e7bd4: 29011f32  orr	w9, w9, #2
0xfffffff0086e7bd8: 3f0d0071  cmp	w9, #3
0xfffffff0086e7bdc: c1240054  b.ne	#0xfffffff0086e8074
0xfffffff0086e7be0: 1fb10078  sturh	wzr, [x8, #0xb]
0xfffffff0086e7be4: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e7be8: c8080034  cbz	w8, #0xfffffff0086e7d00
0xfffffff0086e7bec: 752a40b9  ldr	w21, [x19, #0x28]
0xfffffff0086e7bf0: 61000014  b	#0xfffffff0086e7d74
0xfffffff0086e7bf4: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e7bf8: 68000034  cbz	w8, #0xfffffff0086e7c04
0xfffffff0086e7bfc: 752a40b9  ldr	w21, [x19, #0x28]
0xfffffff0086e7c00: 1e000014  b	#0xfffffff0086e7c78
0xfffffff0086e7c04: 15008052  mov	w21, #0
0xfffffff0086e7c08: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e7c0c: 89008052  mov	w9, #4
0xfffffff0086e7c10: 6b2a41a9  ldp	x11, x10, [x19, #0x10]
0xfffffff0086e7c14: b55e1853  lsl	w21, w21, #8
0xfffffff0086e7c18: 7f010aeb  cmp	x11, x10
0xfffffff0086e7c1c: 02010054  b.hs	#0xfffffff0086e7c3c
0xfffffff0086e7c20: 08210011  add	w8, w8, #8
0xfffffff0086e7c24: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e7c28: 6c050091  add	x12, x11, #1
0xfffffff0086e7c2c: 6c0a00f9  str	x12, [x19, #0x10]
0xfffffff0086e7c30: 6b014039  ldrb	w11, [x11]
0xfffffff0086e7c34: b5020b2a  orr	w21, w21, w11
0xfffffff0086e7c38: eb030caa  mov	x11, x12
0xfffffff0086e7c3c: 29050071  subs	w9, w9, #1
0xfffffff0086e7c40: a1feff54  b.ne	#0xfffffff0086e7c14
0xfffffff0086e7c44: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e7c48: 3f01146a  tst	w9, w20
0xfffffff0086e7c4c: 60010054  b.eq	#0xfffffff0086e7c78
0xfffffff0086e7c50: f52300a9  stp	x21, x8, [sp]
0xfffffff0086e7c54: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7c58: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7c5c: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7c60: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7c64: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7c68: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e7c6c: 02008052  mov	w2, #0
0xfffffff0086e7c70: 302df197  bl	#0xfffffff008333130
0xfffffff0086e7c74: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff0086e7c78: b67e1f53  lsr	w22, w21, #0x1f
0xfffffff0086e7c7c: a97a1f53  lsl	w9, w21, #1
0xfffffff0086e7c80: 08050051  sub	w8, w8, #1
0xfffffff0086e7c84: 69220529  stp	w9, w8, [x19, #0x28]
0xfffffff0086e7c88: 69ce5eb9  ldr	w9, [x19, #0x1ecc]
0xfffffff0086e7c8c: 3f01146a  tst	w9, w20
0xfffffff0086e7c90: c0010054  b.eq	#0xfffffff0086e7cc8
0xfffffff0086e7c94: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e7c98: 4853ffb0  adrp	x8, #0xfffffff007150000
0xfffffff0086e7c9c: 08ad0d91  add	x8, x8, #0x36b
0xfffffff0086e7ca0: 29008052  mov	w9, #1
0xfffffff0086e7ca4: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e7ca8: 4052ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086e7cac: 00403691  add	x0, x0, #0xd90
0xfffffff0086e7cb0: a198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e7cb4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e7cb8: 6352ff90  adrp	x3, #0xfffffff007133000
0xfffffff0086e7cbc: 63d82d91  add	x3, x3, #0xb76
0xfffffff0086e7cc0: 02008052  mov	w2, #0
0xfffffff0086e7cc4: 1b2df197  bl	#0xfffffff008333130
0xfffffff0086e7cc8: 682a40f9  ldr	x8, [x19, #0x50]
0xfffffff0086e7ccc: 16290039  strb	w22, [x8, #0xa]
0xfffffff0086e7cd0: 09214139  ldrb	w9, [x8, #0x48]
