; Candidate 5006
; ADRP+ADD at VM 0xfffffff0087d1804 (fileoff 0x17cd804): page=0x1fea18000 add_imm=0xe80

0xfffffff0087d1784: 21182291  add	x1, x1, #0x886
0xfffffff0087d1788: e00315aa  mov	x0, x21
0xfffffff0087d178c: f10309aa  mov	x17, x9
0xfffffff0087d1790: 71eafff2  movk	x17, #0xff53, lsl #48
0xfffffff0087d1794: 11093fd7  blraa	x8, x17
0xfffffff0087d1798: a0835df8  ldur	x0, [x29, #-0x28]
0xfffffff0087d179c: 100040f9  ldr	x16, [x0]
0xfffffff0087d17a0: f10300aa  mov	x17, x0
0xfffffff0087d17a4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0087d17a8: 301ac1da  autda	x16, x17
0xfffffff0087d17ac: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0087d17b0: e90310aa  mov	x9, x16
0xfffffff0087d17b4: f10309aa  mov	x17, x9
0xfffffff0087d17b8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0087d17bc: 11093fd7  blraa	x8, x17
0xfffffff0087d17c0: 19000014  b	#0xfffffff0087d1824
0xfffffff0087d17c4: 7a8a0394  bl	#0xfffffff0088b41ac
0xfffffff0087d17c8: f50300aa  mov	x21, x0
0xfffffff0087d17cc: 80008052  mov	w0, #4
0xfffffff0087d17d0: 20a80294  bl	#0xfffffff00887b850
0xfffffff0087d17d4: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d17d8: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087d17dc: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff0087d17e0: 88698052  mov	w8, #0x34c
0xfffffff0087d17e4: 0952ff90  adrp	x9, #0xfffffff007211000
0xfffffff0087d17e8: 29ed2191  add	x9, x9, #0x87b
0xfffffff0087d17ec: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087d17f0: e851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087d17f4: 08712591  add	x8, x8, #0x95c
0xfffffff0087d17f8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087d17fc: 080a8052  mov	w8, #0x50
0xfffffff0087d1800: f52300a9  stp	x21, x8, [sp]
0xfffffff0087d1804: c050ff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d1808: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d180c: a191fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d1810: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d1814: 4353ffd0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d1818: 63300d91  add	x3, x3, #0x34c
0xfffffff0087d181c: 02008052  mov	w2, #0
0xfffffff0087d1820: 4486ed97  bl	#0xfffffff008333130
0xfffffff0087d1824: e00314aa  mov	x0, x20
0xfffffff0087d1828: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0087d182c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0087d1830: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0087d1834: ff030291  add	sp, sp, #0x80
0xfffffff0087d1838: ff0f5fd6  retab	
0xfffffff0087d183c: 7f2303d5  pacibsp	
0xfffffff0087d1840: ff0302d1  sub	sp, sp, #0x80
0xfffffff0087d1844: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff0087d1848: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff0087d184c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff0087d1850: fdc30191  add	x29, sp, #0x70
0xfffffff0087d1854: f40301aa  mov	x20, x1
0xfffffff0087d1858: f30300aa  mov	x19, x0
0xfffffff0087d185c: bfc31db8  stur	wzr, [x29, #-0x24]
0xfffffff0087d1860: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff0087d1864: 9a68d797  bl	#0xfffffff007dabacc
0xfffffff0087d1868: 000a8052  mov	w0, #0x50
0xfffffff0087d186c: e1008052  mov	w1, #7
0xfffffff0087d1870: d8a70294  bl	#0xfffffff00887b7d0
0xfffffff0087d1874: a0050034  cbz	w0, #0xfffffff0087d1928
0xfffffff0087d1878: 000a8052  mov	w0, #0x50
0xfffffff0087d187c: e7a70294  bl	#0xfffffff00887b818
0xfffffff0087d1880: f60300aa  mov	x22, x0
