; Candidate 12576
; ADRP+ADD at VM 0xfffffff0090bf670 (fileoff 0x20bb670): page=0x1fe39a000 add_imm=0xe24

0xfffffff0090bf5f0: e5c30091  add	x5, sp, #0x30
0xfffffff0090bf5f4: e6a30091  add	x6, sp, #0x28
0xfffffff0090bf5f8: e00317aa  mov	x0, x23
0xfffffff0090bf5fc: 01068052  mov	w1, #0x30
0xfffffff0090bf600: 02008052  mov	w2, #0
0xfffffff0090bf604: c4008252  mov	w4, #0x1006
0xfffffff0090bf608: 519081d2  mov	x17, #0xc82
0xfffffff0090bf60c: d10a3fd7  blraa	x22, x17
0xfffffff0090bf610: 400a0035  cbnz	w0, #0xfffffff0090bf758
0xfffffff0090bf614: e81740f9  ldr	x8, [sp, #0x28]
0xfffffff0090bf618: 1f5d00f1  cmp	x8, #0x17
0xfffffff0090bf61c: e90b0054  b.ls	#0xfffffff0090bf798
0xfffffff0090bf620: e8c34039  ldrb	w8, [sp, #0x30]
0xfffffff0090bf624: fa031caa  mov	x26, x28
0xfffffff0090bf628: fb0315aa  mov	x27, x21
0xfffffff0090bf62c: 880d0034  cbz	w8, #0xfffffff0090bf7dc
0xfffffff0090bf630: 16008052  mov	w22, #0
0xfffffff0090bf634: e84740b9  ldr	w8, [sp, #0x44]
0xfffffff0090bf638: e043c33c  ldur	q0, [sp, #0x34]
0xfffffff0090bf63c: 6002803d  str	q0, [x19]
0xfffffff0090bf640: 681200b9  str	w8, [x19, #0x10]
0xfffffff0090bf644: 930200f9  str	x19, [x20]
0xfffffff0090bf648: 48018052  mov	w8, #0xa
0xfffffff0090bf64c: 95920090  adrp	x21, #0xfffffff00a30f000
0xfffffff0090bf650: b5420c91  add	x21, x21, #0x310
0xfffffff0090bf654: a9024039  ldrb	w9, [x21]
0xfffffff0090bf658: 1f01096b  cmp	w8, w9
0xfffffff0090bf65c: 03010054  b.lo	#0xfffffff0090bf67c
0xfffffff0090bf660: e80316aa  mov	x8, x22
0xfffffff0090bf664: 087d4093  sxtw	x8, w8
0xfffffff0090bf668: fb6b00a9  stp	x27, x26, [sp]
0xfffffff0090bf66c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bf670: c01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bf674: 00903891  add	x0, x0, #0xe24
0xfffffff0090bf678: 6a5eca97  bl	#0xfffffff008357020
0xfffffff0090bf67c: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff0090bf680: 4954ffd0  adrp	x9, #0xfffffff007b49000
0xfffffff0090bf684: 29a541f9  ldr	x9, [x9, #0x348]
0xfffffff0090bf688: 290140f9  ldr	x9, [x9]
0xfffffff0090bf68c: 3f0108eb  cmp	x9, x8
0xfffffff0090bf690: 610e0054  b.ne	#0xfffffff0090bf85c
0xfffffff0090bf694: e00316aa  mov	x0, x22
0xfffffff0090bf698: ff074091  add	sp, sp, #1, lsl #12
0xfffffff0090bf69c: ffc30591  add	sp, sp, #0x170
0xfffffff0090bf6a0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0090bf6a4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0090bf6a8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0090bf6ac: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0090bf6b0: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0090bf6b4: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0090bf6b8: ff0f5fd6  retab	
0xfffffff0090bf6bc: 48b48052  mov	w8, #0x5a2
0xfffffff0090bf6c0: 491dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bf6c4: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bf6c8: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bf6cc: c81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bf6d0: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bf6d4: 4a1dffb0  adrp	x10, #0xfffffff007468000
0xfffffff0090bf6d8: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090bf6dc: 09000014  b	#0xfffffff0090bf700
0xfffffff0090bf6e0: 68b48052  mov	w8, #0x5a3
0xfffffff0090bf6e4: 491dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bf6e8: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bf6ec: e81300f9  str	x8, [sp, #0x20]
