; Candidate 606
; ADRP+ADD at VM 0xfffffff007fb9f1c (fileoff 0xfb5f1c): page=0x224a000 add_imm=0xe90

0xfffffff007fb9e9c: 08c13691  add	x8, x8, #0xdb0
0xfffffff007fb9ea0: e91b40f9  ldr	x9, [sp, #0x30]
0xfffffff007fb9ea4: 090100f9  str	x9, [x8]
0xfffffff007fb9ea8: e92f40b9  ldr	w9, [sp, #0x2c]
0xfffffff007fb9eac: 090900b9  str	w9, [x8, #8]
0xfffffff007fb9eb0: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9eb4: 1fe10539  strb	wzr, [x8, #0x178]
0xfffffff007fb9eb8: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9ebc: 1fe50539  strb	wzr, [x8, #0x179]
0xfffffff007fb9ec0: 481201d0  adrp	x8, #0xfffffff00a203000
0xfffffff007fb9ec4: 08013791  add	x8, x8, #0xdc0
0xfffffff007fb9ec8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007fb9ecc: 000100ad  stp	q0, q0, [x8]
0xfffffff007fb9ed0: 000101ad  stp	q0, q0, [x8, #0x20]
0xfffffff007fb9ed4: 000102ad  stp	q0, q0, [x8, #0x40]
0xfffffff007fb9ed8: 000103ad  stp	q0, q0, [x8, #0x60]
0xfffffff007fb9edc: 000104ad  stp	q0, q0, [x8, #0x80]
0xfffffff007fb9ee0: 000105ad  stp	q0, q0, [x8, #0xa0]
0xfffffff007fb9ee4: 0031803d  str	q0, [x8, #0xc0]
0xfffffff007fb9ee8: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9eec: 1fe90539  strb	wzr, [x8, #0x17a]
0xfffffff007fb9ef0: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9ef4: 08ed0591  add	x8, x8, #0x17b
0xfffffff007fb9ef8: 1f7d00a9  stp	xzr, xzr, [x8]
0xfffffff007fb9efc: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9f00: 1f8d01b9  str	wzr, [x8, #0x18c]
0xfffffff007fb9f04: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9f08: 1f9101b9  str	wzr, [x8, #0x190]
0xfffffff007fb9f0c: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9f10: 1f9501b9  str	wzr, [x8, #0x194]
0xfffffff007fb9f14: 9f020071  cmp	w20, #0
0xfffffff007fb9f18: f4079f1a  cset	w20, ne
0xfffffff007fb9f1c: 401201d0  adrp	x0, #0xfffffff00a203000
0xfffffff007fb9f20: 00403a91  add	x0, x0, #0xe90
0xfffffff007fb9f24: 8ae50894  bl	#0xfffffff0081f354c
0xfffffff007fb9f28: 681a44b9  ldr	w8, [x19, #0x418]
0xfffffff007fb9f2c: e20308aa  mov	x2, x8
0xfffffff007fb9f30: dffea288  casl	w2, wzr, [x22]
0xfffffff007fb9f34: 5f00086b  cmp	w2, w8
0xfffffff007fb9f38: 61080054  b.ne	#0xfffffff007fba044
0xfffffff007fb9f3c: 281401d0  adrp	x8, #0xfffffff00a23f000
0xfffffff007fb9f40: 085941b9  ldr	w8, [x8, #0x158]
0xfffffff007fb9f44: 1f010071  cmp	w8, #0
0xfffffff007fb9f48: e8d79f1a  cset	w8, gt
0xfffffff007fb9f4c: 8802080a  and	w8, w20, w8
0xfffffff007fb9f50: 1f050071  cmp	w8, #1
0xfffffff007fb9f54: 81020054  b.ne	#0xfffffff007fb9fa4
0xfffffff007fb9f58: ffd304f8  stur	xzr, [sp, #0x4d]
0xfffffff007fb9f5c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff007fb9f60: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff007fb9f64: 201401d0  adrp	x0, #0xfffffff00a23f000
0xfffffff007fb9f68: 00200591  add	x0, x0, #0x148
0xfffffff007fb9f6c: f3c30091  add	x19, sp, #0x30
0xfffffff007fb9f70: e1c30091  add	x1, sp, #0x30
0xfffffff007fb9f74: 33e40d94  bl	#0xfffffff008333040
0xfffffff007fb9f78: 6885ffb0  adrp	x8, #0xfffffff007066000
0xfffffff007fb9f7c: 08151391  add	x8, x8, #0x4c5
0xfffffff007fb9f80: e84f00a9  stp	x8, x19, [sp]
0xfffffff007fb9f84: 8082fff0  adrp	x0, #0xfffffff00700c000
0xfffffff007fb9f88: 00000091  add	x0, x0, #0
0xfffffff007fb9f8c: 011301b0  adrp	x1, #0xfffffff00a21a000
0xfffffff007fb9f90: 21502f91  add	x1, x1, #0xbd4
0xfffffff007fb9f94: a387ffb0  adrp	x3, #0xfffffff0070ae000
0xfffffff007fb9f98: 63c40691  add	x3, x3, #0x1b1
