; Candidate 4109
; ADRP+ADD at VM 0xfffffff008792424 (fileoff 0x178e424): page=0x1fe99f000 add_imm=0xd90

0xfffffff0087923a4: 80090034  cbz	w0, #0xfffffff0087924d4
0xfffffff0087923a8: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff0087923ac: e86300a9  stp	x8, x24, [sp]
0xfffffff0087923b0: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087923b4: 00403691  add	x0, x0, #0xd90
0xfffffff0087923b8: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087923bc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087923c0: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff0087923c4: 639c2b91  add	x3, x3, #0xae7
0xfffffff0087923c8: 02008052  mov	w2, #0
0xfffffff0087923cc: 5983ee97  bl	#0xfffffff008333130
0xfffffff0087923d0: 0c000014  b	#0xfffffff008792400
0xfffffff0087923d4: 98578052  mov	w24, #0x2bc
0xfffffff0087923d8: 1800bc72  movk	w24, #0xe000, lsl #16
0xfffffff0087923dc: fa0300f9  str	x26, [sp]
0xfffffff0087923e0: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087923e4: 00403691  add	x0, x0, #0xd90
0xfffffff0087923e8: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087923ec: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087923f0: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff0087923f4: 63cc2891  add	x3, x3, #0xa33
0xfffffff0087923f8: 02008052  mov	w2, #0
0xfffffff0087923fc: 4d83ee97  bl	#0xfffffff008333130
0xfffffff008792400: 48008052  mov	w8, #2
0xfffffff008792404: 684601b9  str	w8, [x19, #0x144]
0xfffffff008792408: 685e70b9  ldr	w8, [x19, #0x305c]
0xfffffff00879240c: 1f050071  cmp	w8, #1
0xfffffff008792410: c1010054  b.ne	#0xfffffff008792448
0xfffffff008792414: e80318aa  mov	x8, x24
0xfffffff008792418: 494effb0  adrp	x9, #0xfffffff00715b000
0xfffffff00879241c: 298d0491  add	x9, x9, #0x123
0xfffffff008792420: e92300a9  stp	x9, x8, [sp]
0xfffffff008792424: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792428: 00403691  add	x0, x0, #0xd90
0xfffffff00879242c: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008792430: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792434: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792438: 631c2d91  add	x3, x3, #0xb47
0xfffffff00879243c: 02008052  mov	w2, #0
0xfffffff008792440: 3c83ee97  bl	#0xfffffff008333130
0xfffffff008792444: 0f000014  b	#0xfffffff008792480
0xfffffff008792448: 6abe41f9  ldr	x10, [x19, #0x378]
0xfffffff00879244c: e80318aa  mov	x8, x24
0xfffffff008792450: 494effb0  adrp	x9, #0xfffffff00715b000
0xfffffff008792454: 298d0491  add	x9, x9, #0x123
0xfffffff008792458: e8ab00a9  stp	x8, x10, [sp, #8]
0xfffffff00879245c: e90300f9  str	x9, [sp]
0xfffffff008792460: e04cfff0  adrp	x0, #0xfffffff007131000
0xfffffff008792464: 00403691  add	x0, x0, #0xd90
0xfffffff008792468: 4193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00879246c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008792470: a34dff90  adrp	x3, #0xfffffff007146000
0xfffffff008792474: 63802d91  add	x3, x3, #0xb60
0xfffffff008792478: 02008052  mov	w2, #0
0xfffffff00879247c: 2d83ee97  bl	#0xfffffff008333130
0xfffffff008792480: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff008792484: 047f4093  sxtw	x4, w24
0xfffffff008792488: 80228052  mov	w0, #0x114
0xfffffff00879248c: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008792490: 020080d2  mov	x2, #0
0xfffffff008792494: 030080d2  mov	x3, #0
0xfffffff008792498: 050080d2  mov	x5, #0
0xfffffff00879249c: 9aaee797  bl	#0xfffffff00817df04
0xfffffff0087924a0: e00318aa  mov	x0, x24
