; Candidate 5482
; ADRP+ADD at VM 0xfffffff0087f3b20 (fileoff 0x17efb20): page=0x1fe9f6000 add_imm=0xe80

0xfffffff0087f3aa0: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0087f3aa4: a0033cad  stp	q0, q0, [x29, #-0x80]
0xfffffff0087f3aa8: a17a7cf8  ldr	x1, [x21, x28, lsl #3]
0xfffffff0087f3aac: 210100b4  cbz	x1, #0xfffffff0087f3ad0
0xfffffff0087f3ab0: a30302d1  sub	x3, x29, #0x80
0xfffffff0087f3ab4: a08357f8  ldur	x0, [x29, #-0x88]
0xfffffff0087f3ab8: e20318aa  mov	x2, x24
0xfffffff0087f3abc: 2bfdff97  bl	#0xfffffff0087f2f68
0xfffffff0087f3ac0: e0a70035  cbnz	w0, #0xfffffff0087f4fbc
0xfffffff0087f3ac4: a92378a9  ldp	x9, x8, [x29, #-0x80]
0xfffffff0087f3ac8: 890200f9  str	x9, [x20]
0xfffffff0087f3acc: 03000014  b	#0xfffffff0087f3ad8
0xfffffff0087f3ad0: 080080d2  mov	x8, #0
0xfffffff0087f3ad4: 9f0200f9  str	xzr, [x20]
0xfffffff0087f3ad8: 17008052  mov	w23, #0
0xfffffff0087f3adc: 880600f9  str	x8, [x20, #8]
0xfffffff0087f3ae0: 9c070091  add	x28, x28, #1
0xfffffff0087f3ae4: 94420091  add	x20, x20, #0x10
0xfffffff0087f3ae8: 9f2300f1  cmp	x28, #8
0xfffffff0087f3aec: a1fdff54  b.ne	#0xfffffff0087f3aa0
0xfffffff0087f3af0: 15010014  b	#0xfffffff0087f3f44
0xfffffff0087f3af4: ae010394  bl	#0xfffffff0088b41ac
0xfffffff0087f3af8: f70300aa  mov	x23, x0
0xfffffff0087f3afc: e0008052  mov	w0, #7
0xfffffff0087f3b00: 541f0294  bl	#0xfffffff00887b850
0xfffffff0087f3b04: f36703a9  stp	x19, x25, [sp, #0x30]
0xfffffff0087f3b08: f66f02a9  stp	x22, x27, [sp, #0x20]
0xfffffff0087f3b0c: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3b10: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3b14: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f3b18: e80e8052  mov	w8, #0x77
0xfffffff0087f3b1c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087f3b20: a04fffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f3b24: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f3b28: a190ffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f3b2c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f3b30: 6352ffb0  adrp	x3, #0xfffffff007240000
0xfffffff0087f3b34: 635c0c91  add	x3, x3, #0x317
0xfffffff0087f3b38: 02008052  mov	w2, #0
0xfffffff0087f3b3c: 7dfdec97  bl	#0xfffffff008333130
0xfffffff0087f3b40: 36c4ffb5  cbnz	x22, #0xfffffff0087f33c4
0xfffffff0087f3b44: e00e8052  mov	w0, #0x77
0xfffffff0087f3b48: 81008052  mov	w1, #4
0xfffffff0087f3b4c: 211f0294  bl	#0xfffffff00887b7d0
0xfffffff0087f3b50: 600b0034  cbz	w0, #0xfffffff0087f3cbc
0xfffffff0087f3b54: e00e8052  mov	w0, #0x77
0xfffffff0087f3b58: 301f0294  bl	#0xfffffff00887b818
0xfffffff0087f3b5c: f80300aa  mov	x24, x0
0xfffffff0087f3b60: 93010394  bl	#0xfffffff0088b41ac
0xfffffff0087f3b64: f70300aa  mov	x23, x0
0xfffffff0087f3b68: 80008052  mov	w0, #4
0xfffffff0087f3b6c: 391f0294  bl	#0xfffffff00887b850
0xfffffff0087f3b70: 98070034  cbz	w24, #0xfffffff0087f3c60
0xfffffff0087f3b74: f36704a9  stp	x19, x25, [sp, #0x40]
0xfffffff0087f3b78: f66f03a9  stp	x22, x27, [sp, #0x30]
0xfffffff0087f3b7c: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3b80: 08f52091  add	x8, x8, #0x83d
0xfffffff0087f3b84: 49248052  mov	w9, #0x122
0xfffffff0087f3b88: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0087f3b8c: 0851ffd0  adrp	x8, #0xfffffff007215000
0xfffffff0087f3b90: 08b12091  add	x8, x8, #0x82c
0xfffffff0087f3b94: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f3b98: e80e8052  mov	w8, #0x77
0xfffffff0087f3b9c: 0051ffd0  adrp	x0, #0xfffffff007215000
