; Candidate 10405
; ADRP+ADD at VM 0xfffffff008d2bd38 (fileoff 0x1d27d38): page=0x1fe651000 add_imm=0xd81

0xfffffff008d2bcb8: 81feff54  b.ne	#0xfffffff008d2bc88
0xfffffff008d2bcbc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008d2bcc0: ff0f5fd6  retab	
0xfffffff008d2bcc4: 8032ff90  adrp	x0, #0xfffffff00737b000
0xfffffff008d2bcc8: 00ac2191  add	x0, x0, #0x86b
0xfffffff008d2bccc: aa000094  bl	#0xfffffff008d2bf74
0xfffffff008d2bcd0: 8032ff90  adrp	x0, #0xfffffff00737b000
0xfffffff008d2bcd4: 00682391  add	x0, x0, #0x8da
0xfffffff008d2bcd8: a7000094  bl	#0xfffffff008d2bf74
0xfffffff008d2bcdc: 8032ff90  adrp	x0, #0xfffffff00737b000
0xfffffff008d2bce0: 00681d91  add	x0, x0, #0x75a
0xfffffff008d2bce4: a4000094  bl	#0xfffffff008d2bf74
0xfffffff008d2bce8: 58000000  udf	#0x58
0xfffffff008d2bcec: 0c000000  udf	#0xc
0xfffffff008d2bcf0: 3c000000  udf	#0x3c
0xfffffff008d2bcf4: 4c000000  udf	#0x4c
0xfffffff008d2bcf8: 5f2403d5  bti	c
0xfffffff008d2bcfc: 3f100071  cmp	w1, #4
0xfffffff008d2bd00: c2010054  b.hs	#0xfffffff008d2bd38
0xfffffff008d2bd04: 080080d2  mov	x8, #0
0xfffffff008d2bd08: e903012a  mov	w9, w1
0xfffffff008d2bd0c: 0a3840f9  ldr	x10, [x0, #0x70]
0xfffffff008d2bd10: 4919098b  add	x9, x10, x9, lsl #6
0xfffffff008d2bd14: 0a208252  mov	w10, #0x1100
0xfffffff008d2bd18: 29010a8b  add	x9, x9, x10
0xfffffff008d2bd1c: 4a6868b8  ldr	w10, [x2, x8]
0xfffffff008d2bd20: 4a09c05a  rev	w10, w10
0xfffffff008d2bd24: 2a6928b8  str	w10, [x9, x8]
0xfffffff008d2bd28: 08110091  add	x8, x8, #4
0xfffffff008d2bd2c: 1f0101f1  cmp	x8, #0x40
0xfffffff008d2bd30: 61ffff54  b.ne	#0xfffffff008d2bd1c
0xfffffff008d2bd34: c0035fd6  ret	
0xfffffff008d2bd38: 8032ffb0  adrp	x0, #0xfffffff00737c000
0xfffffff008d2bd3c: 00043691  add	x0, x0, #0xd81
0xfffffff008d2bd40: af110014  b	#0xfffffff008d303fc
0xfffffff008d2bd44: 5f2403d5  bti	c
0xfffffff008d2bd48: 430600b4  cbz	x3, #0xfffffff008d2be10
0xfffffff008d2bd4c: 69a058a9  ldp	x9, x8, [x3, #0x188]
0xfffffff008d2bd50: 9f2403d5  bti	j
0xfffffff008d2bd54: 0b0080d2  mov	x11, #0
0xfffffff008d2bd58: 0a3840f9  ldr	x10, [x0, #0x70]
0xfffffff008d2bd5c: 0c208252  mov	w12, #0x1100
0xfffffff008d2bd60: 4c010c8b  add	x12, x10, x12
0xfffffff008d2bd64: 2d696bb8  ldr	w13, [x9, x11]
0xfffffff008d2bd68: ad09c05a  rev	w13, w13
0xfffffff008d2bd6c: 8d692bb8  str	w13, [x12, x11]
0xfffffff008d2bd70: 6b110091  add	x11, x11, #4
0xfffffff008d2bd74: 7f0101f1  cmp	x11, #0x40
0xfffffff008d2bd78: 61ffff54  b.ne	#0xfffffff008d2bd64
0xfffffff008d2bd7c: 090080d2  mov	x9, #0
0xfffffff008d2bd80: 0b288252  mov	w11, #0x1140
0xfffffff008d2bd84: 4b010b8b  add	x11, x10, x11
0xfffffff008d2bd88: 0c6969b8  ldr	w12, [x8, x9]
0xfffffff008d2bd8c: 8c09c05a  rev	w12, w12
0xfffffff008d2bd90: 6c6929b8  str	w12, [x11, x9]
0xfffffff008d2bd94: 29110091  add	x9, x9, #4
0xfffffff008d2bd98: 3f0101f1  cmp	x9, #0x40
0xfffffff008d2bd9c: 61ffff54  b.ne	#0xfffffff008d2bd88
0xfffffff008d2bda0: 080080d2  mov	x8, #0
0xfffffff008d2bda4: 09308252  mov	w9, #0x1180
0xfffffff008d2bda8: 4901098b  add	x9, x10, x9
0xfffffff008d2bdac: cb32ff90  adrp	x11, #0xfffffff007383000
0xfffffff008d2bdb0: 6b513491  add	x11, x11, #0xd14
0xfffffff008d2bdb4: 6c6968b8  ldr	w12, [x11, x8]
