; Candidate 8942
; ADRP+ADD at VM 0xfffffff0088fa93c (fileoff 0x18f693c): page=0x1fe974000 add_imm=0xe56

0xfffffff0088fa8bc: 08a20791  add	x8, x16, #0x1e8
0xfffffff0088fa8c0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0088fa8c4: f52f40b9  ldr	w21, [sp, #0x2c]
0xfffffff0088fa8c8: e00313aa  mov	x0, x19
0xfffffff0088fa8cc: 010080d2  mov	x1, #0
0xfffffff0088fa8d0: f10308aa  mov	x17, x8
0xfffffff0088fa8d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0088fa8d8: 31093fd7  blraa	x9, x17
0xfffffff0088fa8dc: a84bffd0  adrp	x8, #0xfffffff007270000
0xfffffff0088fa8e0: 08b10d91  add	x8, x8, #0x36c
0xfffffff0088fa8e4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088fa8e8: f45700a9  stp	x20, x21, [sp]
0xfffffff0088fa8ec: a04bffd0  adrp	x0, #0xfffffff007270000
0xfffffff0088fa8f0: 00e80d91  add	x0, x0, #0x37a
0xfffffff0088fa8f4: cb71e997  bl	#0xfffffff008357020
0xfffffff0088fa8f8: a4ffff17  b	#0xfffffff0088fa788
0xfffffff0088fa8fc: 548dd197  bl	#0xfffffff007d5de4c
0xfffffff0088fa900: 5f2403d5  bti	c
0xfffffff0088fa904: 7ca7e717  b	#0xfffffff0082e46f4
0xfffffff0088fa908: 7f2303d5  pacibsp	
0xfffffff0088fa90c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088fa910: fd030091  mov	x29, sp
0xfffffff0088fa914: a04bff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088fa918: 001c3891  add	x0, x0, #0xe07
0xfffffff0088fa91c: 47bae897  bl	#0xfffffff008329238
0xfffffff0088fa920: 08cf00b0  adrp	x8, #0xfffffff00a2db000
0xfffffff0088fa924: 00a906f9  str	x0, [x8, #0xd50]
0xfffffff0088fa928: a04bff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088fa92c: 00cc3891  add	x0, x0, #0xe33
0xfffffff0088fa930: 42bae897  bl	#0xfffffff008329238
0xfffffff0088fa934: 08cf00b0  adrp	x8, #0xfffffff00a2db000
0xfffffff0088fa938: 00ad06f9  str	x0, [x8, #0xd58]
0xfffffff0088fa93c: a04bff90  adrp	x0, #0xfffffff00726e000
0xfffffff0088fa940: 00583991  add	x0, x0, #0xe56
0xfffffff0088fa944: 3dbae897  bl	#0xfffffff008329238
0xfffffff0088fa948: 08cf00b0  adrp	x8, #0xfffffff00a2db000
0xfffffff0088fa94c: 00b106f9  str	x0, [x8, #0xd60]
0xfffffff0088fa950: 00cf00b0  adrp	x0, #0xfffffff00a2db000
0xfffffff0088fa954: 00003291  add	x0, x0, #0xc80
0xfffffff0088fa958: a14bffb0  adrp	x1, #0xfffffff00726f000
0xfffffff0088fa95c: 21bc1491  add	x1, x1, #0x52f
0xfffffff0088fa960: 02cf00b0  adrp	x2, #0xfffffff00a2db000
0xfffffff0088fa964: 42203091  add	x2, x2, #0xc08
0xfffffff0088fa968: 035f8052  mov	w3, #0x2f8
0xfffffff0088fa96c: 73a4e797  bl	#0xfffffff0082e3b38
0xfffffff0088fa970: 1089ff90  adrp	x16, #0xfffffff007a1a000
0xfffffff0088fa974: 10e20691  add	x16, x16, #0x1b8
0xfffffff0088fa978: 10420091  add	x16, x16, #0x10
0xfffffff0088fa97c: f10300aa  mov	x17, x0
0xfffffff0088fa980: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088fa984: 300ac1da  pacda	x16, x17
0xfffffff0088fa988: 100000f9  str	x16, [x0]
0xfffffff0088fa98c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088fa990: ff0f5fd6  retab	
0xfffffff0088fa994: 5f2403d5  bti	c
0xfffffff0088fa998: 00cf00b0  adrp	x0, #0xfffffff00a2db000
0xfffffff0088fa99c: 00003291  add	x0, x0, #0xc80
0xfffffff0088fa9a0: 55a7e717  b	#0xfffffff0082e46f4
0xfffffff0088fa9a4: 7f2303d5  pacibsp	
0xfffffff0088fa9a8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088fa9ac: fd030091  mov	x29, sp
0xfffffff0088fa9b0: a14bffd0  adrp	x1, #0xfffffff007270000
0xfffffff0088fa9b4: 219c1191  add	x1, x1, #0x467
0xfffffff0088fa9b8: e288ffb0  adrp	x2, #0xfffffff007a17000
