; Candidate 13980
; ADRP+ADD at VM 0xfffffff009695640 (fileoff 0x2691640): page=0xcf5000 add_imm=0xd00

0xfffffff0096955c0: 55ffff17  b	#0xfffffff009695314
0xfffffff0096955c4: 5f2403d5  bti	c
0xfffffff0096955c8: 086c40f9  ldr	x8, [x0, #0xd8]
0xfffffff0096955cc: 49588052  mov	w9, #0x2c2
0xfffffff0096955d0: 0900bc72  movk	w9, #0xe000, lsl #16
0xfffffff0096955d4: 2a5d0011  add	w10, w9, #0x17
0xfffffff0096955d8: 1f0100f1  cmp	x8, #0
0xfffffff0096955dc: 4001891a  csel	w0, w10, w9, eq
0xfffffff0096955e0: c0035fd6  ret	
0xfffffff0096955e4: 5f2403d5  bti	c
0xfffffff0096955e8: 433cb117  b	#0xfffffff0082e46f4
0xfffffff0096955ec: 7f2303d5  pacibsp	
0xfffffff0096955f0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096955f4: fd030091  mov	x29, sp
0xfffffff0096955f8: a06700b0  adrp	x0, #0xfffffff00a38a000
0xfffffff0096955fc: 00003491  add	x0, x0, #0xd00
0xfffffff009695600: a1f7fef0  adrp	x1, #0xfffffff00758c000
0xfffffff009695604: 21d00091  add	x1, x1, #0x34
0xfffffff009695608: 022cffb0  adrp	x2, #0xfffffff007c16000
0xfffffff00969560c: 425442f9  ldr	x2, [x2, #0x4a8]
0xfffffff009695610: 031d8052  mov	w3, #0xe8
0xfffffff009695614: 4939b197  bl	#0xfffffff0082e3b38
0xfffffff009695618: 102cffd0  adrp	x16, #0xfffffff007c17000
0xfffffff00969561c: 10a21391  add	x16, x16, #0x4e8
0xfffffff009695620: 10420091  add	x16, x16, #0x10
0xfffffff009695624: f10300aa  mov	x17, x0
0xfffffff009695628: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00969562c: 300ac1da  pacda	x16, x17
0xfffffff009695630: 100000f9  str	x16, [x0]
0xfffffff009695634: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009695638: ff0f5fd6  retab	
0xfffffff00969563c: 5f2403d5  bti	c
0xfffffff009695640: a06700b0  adrp	x0, #0xfffffff00a38a000
0xfffffff009695644: 00003491  add	x0, x0, #0xd00
0xfffffff009695648: 2b3cb117  b	#0xfffffff0082e46f4
0xfffffff00969564c: 7f2303d5  pacibsp	
0xfffffff009695650: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009695654: fd030091  mov	x29, sp
0xfffffff009695658: a1f7fef0  adrp	x1, #0xfffffff00758c000
0xfffffff00969565c: 21680691  add	x1, x1, #0x19a
0xfffffff009695660: 022cffb0  adrp	x2, #0xfffffff007c16000
0xfffffff009695664: 428442f9  ldr	x2, [x2, #0x508]
0xfffffff009695668: 03a88052  mov	w3, #0x540
0xfffffff00969566c: 3339b197  bl	#0xfffffff0082e3b38
0xfffffff009695670: 102cffd0  adrp	x16, #0xfffffff007c17000
0xfffffff009695674: 10822b91  add	x16, x16, #0xae0
0xfffffff009695678: 10420091  add	x16, x16, #0x10
0xfffffff00969567c: f10300aa  mov	x17, x0
0xfffffff009695680: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009695684: 300ac1da  pacda	x16, x17
0xfffffff009695688: 100000f9  str	x16, [x0]
0xfffffff00969568c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009695690: ff0f5fd6  retab	
0xfffffff009695694: 5f2403d5  bti	c
0xfffffff009695698: 173cb117  b	#0xfffffff0082e46f4
0xfffffff00969569c: 7f2303d5  pacibsp	
0xfffffff0096956a0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0096956a4: fd030091  mov	x29, sp
0xfffffff0096956a8: 10bab397  bl	#0xfffffff008383ee8
0xfffffff0096956ac: 102cffd0  adrp	x16, #0xfffffff007c17000
0xfffffff0096956b0: 10021691  add	x16, x16, #0x580
0xfffffff0096956b4: 10420091  add	x16, x16, #0x10
0xfffffff0096956b8: f10300aa  mov	x17, x0
0xfffffff0096956bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
