; Candidate 8169
; ADRP+ADD at VM 0xfffffff0088994d8 (fileoff 0x18954d8): page=0x1fe950000 add_imm=0xe80

0xfffffff008899458: 60020034  cbz	w0, #0xfffffff0088994a4
0xfffffff00889945c: 400b8052  mov	w0, #0x5a
0xfffffff008899460: ee88ff97  bl	#0xfffffff00887b818
0xfffffff008899464: f50300aa  mov	x21, x0
0xfffffff008899468: 516b0094  bl	#0xfffffff0088b41ac
0xfffffff00889946c: f40300aa  mov	x20, x0
0xfffffff008899470: 80008052  mov	w0, #4
0xfffffff008899474: f788ff97  bl	#0xfffffff00887b850
0xfffffff008899478: b5010034  cbz	w21, #0xfffffff0088994ac
0xfffffff00889947c: 880b8052  mov	w8, #0x5c
0xfffffff008899480: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008899484: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff008899488: 08b13d91  add	x8, x8, #0xf6c
0xfffffff00889948c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008899490: 480b8052  mov	w8, #0x5a
0xfffffff008899494: f42300a9  stp	x20, x8, [sp]
0xfffffff008899498: a04cffd0  adrp	x0, #0xfffffff00722f000
0xfffffff00889949c: 00083d91  add	x0, x0, #0xf42
0xfffffff0088994a0: f077d497  bl	#0xfffffff007db7460
0xfffffff0088994a4: 000080d2  mov	x0, #0
0xfffffff0088994a8: 15000014  b	#0xfffffff0088994fc
0xfffffff0088994ac: 406b0094  bl	#0xfffffff0088b41ac
0xfffffff0088994b0: f40300aa  mov	x20, x0
0xfffffff0088994b4: 80008052  mov	w0, #4
0xfffffff0088994b8: e688ff97  bl	#0xfffffff00887b850
0xfffffff0088994bc: 880b8052  mov	w8, #0x5c
0xfffffff0088994c0: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088994c4: a84cffd0  adrp	x8, #0xfffffff00722f000
0xfffffff0088994c8: 08b13d91  add	x8, x8, #0xf6c
0xfffffff0088994cc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088994d0: 480b8052  mov	w8, #0x5a
0xfffffff0088994d4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088994d8: 804aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088994dc: 00003a91  add	x0, x0, #0xe80
0xfffffff0088994e0: 618bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088994e4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088994e8: 234efff0  adrp	x3, #0xfffffff007260000
0xfffffff0088994ec: 63640091  add	x3, x3, #0x19
0xfffffff0088994f0: 02008052  mov	w2, #0
0xfffffff0088994f4: 0f67ea97  bl	#0xfffffff008333130
0xfffffff0088994f8: 000080d2  mov	x0, #0
0xfffffff0088994fc: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008899500: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008899504: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008899508: ff830191  add	sp, sp, #0x60
0xfffffff00889950c: ff0f5fd6  retab	
0xfffffff008899510: 5f2403d5  bti	c
0xfffffff008899514: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008899518: 0000803d  str	q0, [x0]
0xfffffff00889951c: 0080813c  stur	q0, [x0, #0x18]
0xfffffff008899520: c0035fd6  ret	
0xfffffff008899524: 5f2403d5  bti	c
0xfffffff008899528: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff00889952c: 0000803d  str	q0, [x0]
0xfffffff008899530: 0080813c  stur	q0, [x0, #0x18]
0xfffffff008899534: c0035fd6  ret	
0xfffffff008899538: 5f2403d5  bti	c
0xfffffff00889953c: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008899540: 0000803d  str	q0, [x0]
0xfffffff008899544: 1f1000b9  str	wzr, [x0, #0x10]
0xfffffff008899548: 0080813c  stur	q0, [x0, #0x18]
0xfffffff00889954c: c0035fd6  ret	
0xfffffff008899550: 5f2403d5  bti	c
0xfffffff008899554: 00e4006f  movi	v0.2d, #0000000000000000
