; Candidate 10042
; ADRP+ADD at VM 0xfffffff008c85be4 (fileoff 0x1c81be4): page=0x1fe6c8000 add_imm=0xdba

0xfffffff008c85b64: 113581d2  mov	x17, #0x9a8
0xfffffff008c85b68: 1002118b  add	x16, x16, x17
0xfffffff008c85b6c: 080240f9  ldr	x8, [x16]
0xfffffff008c85b70: e90310aa  mov	x9, x16
0xfffffff008c85b74: e00313aa  mov	x0, x19
0xfffffff008c85b78: f10309aa  mov	x17, x9
0xfffffff008c85b7c: d17ff9f2  movk	x17, #0xcbfe, lsl #48
0xfffffff008c85b80: 11093fd7  blraa	x8, x17
0xfffffff008c85b84: 614e6479  ldrh	w1, [x19, #0x1226]
0xfffffff008c85b88: a1010034  cbz	w1, #0xfffffff008c85bbc
0xfffffff008c85b8c: 700240f9  ldr	x16, [x19]
0xfffffff008c85b90: f10313aa  mov	x17, x19
0xfffffff008c85b94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c85b98: 301ac1da  autda	x16, x17
0xfffffff008c85b9c: 113681d2  mov	x17, #0x9b0
0xfffffff008c85ba0: 1002118b  add	x16, x16, x17
0xfffffff008c85ba4: 080240f9  ldr	x8, [x16]
0xfffffff008c85ba8: e90310aa  mov	x9, x16
0xfffffff008c85bac: e00313aa  mov	x0, x19
0xfffffff008c85bb0: f10309aa  mov	x17, x9
0xfffffff008c85bb4: 71b1fef2  movk	x17, #0xf58b, lsl #48
0xfffffff008c85bb8: 11093fd7  blraa	x8, x17
0xfffffff008c85bbc: a82a4439  ldrb	w8, [x21, #0x10a]
0xfffffff008c85bc0: a80c0035  cbnz	w8, #0xfffffff008c85d54
0xfffffff008c85bc4: 685e48f9  ldr	x8, [x19, #0x10b8]
0xfffffff008c85bc8: 680c00b5  cbnz	x8, #0xfffffff008c85d54
0xfffffff008c85bcc: 40008052  mov	w0, #2
0xfffffff008c85bd0: 0d492a94  bl	#0xfffffff009718004
0xfffffff008c85bd4: 605e08f9  str	x0, [x19, #0x10b8]
0xfffffff008c85bd8: 68c648f9  ldr	x8, [x19, #0x1188]
0xfffffff008c85bdc: c80b00b4  cbz	x8, #0xfffffff008c85d54
0xfffffff008c85be0: a00b00b4  cbz	x0, #0xfffffff008c85d54
0xfffffff008c85be4: 4036ff90  adrp	x0, #0xfffffff00734d000
0xfffffff008c85be8: 00e83691  add	x0, x0, #0xdba
0xfffffff008c85bec: 0d45db97  bl	#0xfffffff008357020
0xfffffff008c85bf0: 605e48f9  ldr	x0, [x19, #0x10b8]
0xfffffff008c85bf4: 61c648f9  ldr	x1, [x19, #0x1188]
0xfffffff008c85bf8: 100040f9  ldr	x16, [x0]
0xfffffff008c85bfc: f10300aa  mov	x17, x0
0xfffffff008c85c00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c85c04: 301ac1da  autda	x16, x17
0xfffffff008c85c08: 116c80d2  mov	x17, #0x360
0xfffffff008c85c0c: 1002118b  add	x16, x16, x17
0xfffffff008c85c10: 080240f9  ldr	x8, [x16]
0xfffffff008c85c14: e90310aa  mov	x9, x16
0xfffffff008c85c18: f10309aa  mov	x17, x9
0xfffffff008c85c1c: 317df3f2  movk	x17, #0x9be9, lsl #48
0xfffffff008c85c20: 11093fd7  blraa	x8, x17
0xfffffff008c85c24: 605e48f9  ldr	x0, [x19, #0x10b8]
0xfffffff008c85c28: 61c648f9  ldr	x1, [x19, #0x1188]
0xfffffff008c85c2c: 100040f9  ldr	x16, [x0]
0xfffffff008c85c30: f10300aa  mov	x17, x0
0xfffffff008c85c34: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008c85c38: 301ac1da  autda	x16, x17
0xfffffff008c85c3c: f10310aa  mov	x17, x16
0xfffffff008c85c40: f147c1da  xpacd	x17
0xfffffff008c85c44: 1f0211eb  cmp	x16, x17
0xfffffff008c85c48: 40000054  b.eq	#0xfffffff008c85c50
0xfffffff008c85c4c: 408e38d4  brk	#0xc472
0xfffffff008c85c50: 08c20a91  add	x8, x16, #0x2b0
0xfffffff008c85c54: 095a41f9  ldr	x9, [x16, #0x2b0]
0xfffffff008c85c58: f10308aa  mov	x17, x8
0xfffffff008c85c5c: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff008c85c60: 31093fd7  blraa	x9, x17
