; Candidate 14137
; ADRP+ADD at VM 0xfffffff00972070c (fileoff 0x271c70c): page=0x1fde73000 add_imm=0xdce

0xfffffff00972068c: 60f240f9  ldr	x0, [x19, #0x1e0]
0xfffffff009720690: 100040f9  ldr	x16, [x0]
0xfffffff009720694: f10300aa  mov	x17, x0
0xfffffff009720698: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00972069c: 301ac1da  autda	x16, x17
0xfffffff0097206a0: f10310aa  mov	x17, x16
0xfffffff0097206a4: f147c1da  xpacd	x17
0xfffffff0097206a8: 1f0211eb  cmp	x16, x17
0xfffffff0097206ac: 40000054  b.eq	#0xfffffff0097206b4
0xfffffff0097206b0: 408e38d4  brk	#0xc472
0xfffffff0097206b4: 08e20d91  add	x8, x16, #0x378
0xfffffff0097206b8: 09be41f9  ldr	x9, [x16, #0x378]
0xfffffff0097206bc: f10308aa  mov	x17, x8
0xfffffff0097206c0: d171ecf2  movk	x17, #0x638e, lsl #48
0xfffffff0097206c4: 31093fd7  blraa	x9, x17
0xfffffff0097206c8: 61fa40f9  ldr	x1, [x19, #0x1f0]
0xfffffff0097206cc: 100040f9  ldr	x16, [x0]
0xfffffff0097206d0: f10300aa  mov	x17, x0
0xfffffff0097206d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097206d8: 301ac1da  autda	x16, x17
0xfffffff0097206dc: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff0097206e0: e90310aa  mov	x9, x16
0xfffffff0097206e4: f10309aa  mov	x17, x9
0xfffffff0097206e8: b14af4f2  movk	x17, #0xa255, lsl #48
0xfffffff0097206ec: 11093fd7  blraa	x8, x17
0xfffffff0097206f0: e1000014  b	#0xfffffff009720a74
0xfffffff0097206f4: 60f3feb0  adrp	x0, #0xfffffff00758d000
0xfffffff0097206f8: 007c1f91  add	x0, x0, #0x7df
0xfffffff0097206fc: 68f3fe90  adrp	x8, #0xfffffff00758c000
0xfffffff009720700: 081d0291  add	x8, x8, #0x87
0xfffffff009720704: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff009720708: f40300f9  str	x20, [sp]
0xfffffff00972070c: 80f3fef0  adrp	x0, #0xfffffff007593000
0xfffffff009720710: 00383791  add	x0, x0, #0xdce
0xfffffff009720714: 09000014  b	#0xfffffff009720738
0xfffffff009720718: 60f3feb0  adrp	x0, #0xfffffff00758d000
0xfffffff00972071c: 007c1f91  add	x0, x0, #0x7df
0xfffffff009720720: 68f3fe90  adrp	x8, #0xfffffff00758c000
0xfffffff009720724: 081d0291  add	x8, x8, #0x87
0xfffffff009720728: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00972072c: f40300f9  str	x20, [sp]
0xfffffff009720730: 80f3fef0  adrp	x0, #0xfffffff007593000
0xfffffff009720734: 00c43791  add	x0, x0, #0xdf1
0xfffffff009720738: 3adab097  bl	#0xfffffff008357020
0xfffffff00972073c: ce000014  b	#0xfffffff009720a74
0xfffffff009720740: e00f40f9  ldr	x0, [sp, #0x18]
0xfffffff009720744: 8e1a9b97  bl	#0xfffffff007de717c
0xfffffff009720748: 700240f9  ldr	x16, [x19]
0xfffffff00972074c: f10313aa  mov	x17, x19
0xfffffff009720750: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009720754: 301ac1da  autda	x16, x17
0xfffffff009720758: 119080d2  mov	x17, #0x480
0xfffffff00972075c: 1002118b  add	x16, x16, x17
0xfffffff009720760: 080240f9  ldr	x8, [x16]
0xfffffff009720764: e90310aa  mov	x9, x16
0xfffffff009720768: e00313aa  mov	x0, x19
0xfffffff00972076c: f10309aa  mov	x17, x9
0xfffffff009720770: d11bfdf2  movk	x17, #0xe8de, lsl #48
0xfffffff009720774: 11093fd7  blraa	x8, x17
0xfffffff009720778: 900240f9  ldr	x16, [x20]
0xfffffff00972077c: f10314aa  mov	x17, x20
0xfffffff009720780: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009720784: 301ac1da  autda	x16, x17
0xfffffff009720788: f10310aa  mov	x17, x16
