; Candidate 15394
; ADRP+ADD at VM 0xfffffff009b5aa5c (fileoff 0x2b56a5c): page=0x1fdace000 add_imm=0xed0

0xfffffff009b5a9dc: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b5a9e0: e00314aa  mov	x0, x20
0xfffffff009b5a9e4: 010080d2  mov	x1, #0
0xfffffff009b5a9e8: f10308aa  mov	x17, x8
0xfffffff009b5a9ec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b5a9f0: 31093fd7  blraa	x9, x17
0xfffffff009b5a9f4: f70300aa  mov	x23, x0
0xfffffff009b5a9f8: 900240f9  ldr	x16, [x20]
0xfffffff009b5a9fc: f10314aa  mov	x17, x20
0xfffffff009b5aa00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b5aa04: 301ac1da  autda	x16, x17
0xfffffff009b5aa08: f10310aa  mov	x17, x16
0xfffffff009b5aa0c: f147c1da  xpacd	x17
0xfffffff009b5aa10: 1f0211eb  cmp	x16, x17
0xfffffff009b5aa14: 40000054  b.eq	#0xfffffff009b5aa1c
0xfffffff009b5aa18: 408e38d4  brk	#0xc472
0xfffffff009b5aa1c: 08620891  add	x8, x16, #0x218
0xfffffff009b5aa20: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b5aa24: e00314aa  mov	x0, x20
0xfffffff009b5aa28: 010080d2  mov	x1, #0
0xfffffff009b5aa2c: f10308aa  mov	x17, x8
0xfffffff009b5aa30: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b5aa34: 31093fd7  blraa	x9, x17
0xfffffff009b5aa38: 888e41f9  ldr	x8, [x20, #0x318]
0xfffffff009b5aa3c: 08697bb8  ldr	w8, [x8, x27]
0xfffffff009b5aa40: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff009b5aa44: 88d6feb0  adrp	x8, #0xfffffff00762b000
0xfffffff009b5aa48: 08751591  add	x8, x8, #0x55d
0xfffffff009b5aa4c: 69d6fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b5aa50: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b5aa54: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b5aa58: f70300a9  stp	x23, x0, [sp]
0xfffffff009b5aa5c: 60d6fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b5aa60: 00403b91  add	x0, x0, #0xed0
0xfffffff009b5aa64: 83d6fef0  adrp	x3, #0xfffffff00762d000
0xfffffff009b5aa68: 63040b91  add	x3, x3, #0x2c1
0xfffffff009b5aa6c: e10316aa  mov	x1, x22
0xfffffff009b5aa70: 02028052  mov	w2, #0x10
0xfffffff009b5aa74: af619f97  bl	#0xfffffff008333130
0xfffffff009b5aa78: 888e41f9  ldr	x8, [x20, #0x318]
0xfffffff009b5aa7c: 09697ab8  ldr	w9, [x8, x26]
0xfffffff009b5aa80: 09693ab8  str	w9, [x8, x26]
0xfffffff009b5aa84: 150600b4  cbz	x21, #0xfffffff009b5ab44
0xfffffff009b5aa88: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff009b5aa8c: 1f050071  cmp	w8, #1
0xfffffff009b5aa90: 80010054  b.eq	#0xfffffff009b5aac0
0xfffffff009b5aa94: a81a40f9  ldr	x8, [x21, #0x30]
0xfffffff009b5aa98: 480100b4  cbz	x8, #0xfffffff009b5aac0
0xfffffff009b5aa9c: e1e30091  add	x1, sp, #0x38
0xfffffff009b5aaa0: e2f30091  add	x2, sp, #0x3c
0xfffffff009b5aaa4: e00315aa  mov	x0, x21
0xfffffff009b5aaa8: 7b9dff97  bl	#0xfffffff009b42094
0xfffffff009b5aaac: e83b40b9  ldr	w8, [sp, #0x38]
0xfffffff009b5aab0: a91a40f9  ldr	x9, [x21, #0x30]
0xfffffff009b5aab4: 2a2540f9  ldr	x10, [x9, #0x48]
0xfffffff009b5aab8: 4801088b  add	x8, x10, x8
0xfffffff009b5aabc: 282500f9  str	x8, [x9, #0x48]
0xfffffff009b5aac0: a81240b9  ldr	w8, [x21, #0x10]
0xfffffff009b5aac4: 1f050071  cmp	w8, #1
0xfffffff009b5aac8: e1030054  b.ne	#0xfffffff009b5ab44
0xfffffff009b5aacc: 28c30891  add	x8, x25, #0x230
0xfffffff009b5aad0: a9aa5329  ldp	w9, w10, [x21, #0x9c]
0xfffffff009b5aad4: 5f01096b  cmp	w10, w9
0xfffffff009b5aad8: 40010054  b.eq	#0xfffffff009b5ab00
