; Candidate 15307
; ADRP+ADD at VM 0xfffffff009b4cd90 (fileoff 0x2b48d90): page=0x1fdadc000 add_imm=0xed0

0xfffffff009b4cd10: 40000054  b.eq	#0xfffffff009b4cd18
0xfffffff009b4cd14: 408e38d4  brk	#0xc472
0xfffffff009b4cd18: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4cd1c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4cd20: e00313aa  mov	x0, x19
0xfffffff009b4cd24: 010080d2  mov	x1, #0
0xfffffff009b4cd28: f10308aa  mov	x17, x8
0xfffffff009b4cd2c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4cd30: 31093fd7  blraa	x9, x17
0xfffffff009b4cd34: f60300aa  mov	x22, x0
0xfffffff009b4cd38: 700240f9  ldr	x16, [x19]
0xfffffff009b4cd3c: f10313aa  mov	x17, x19
0xfffffff009b4cd40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4cd44: 301ac1da  autda	x16, x17
0xfffffff009b4cd48: f10310aa  mov	x17, x16
0xfffffff009b4cd4c: f147c1da  xpacd	x17
0xfffffff009b4cd50: 1f0211eb  cmp	x16, x17
0xfffffff009b4cd54: 40000054  b.eq	#0xfffffff009b4cd5c
0xfffffff009b4cd58: 408e38d4  brk	#0xc472
0xfffffff009b4cd5c: 08620891  add	x8, x16, #0x218
0xfffffff009b4cd60: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4cd64: e00313aa  mov	x0, x19
0xfffffff009b4cd68: 010080d2  mov	x1, #0
0xfffffff009b4cd6c: f10308aa  mov	x17, x8
0xfffffff009b4cd70: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4cd74: 31093fd7  blraa	x9, x17
0xfffffff009b4cd78: e8d6fed0  adrp	x8, #0xfffffff00762a000
0xfffffff009b4cd7c: 08ad0b91  add	x8, x8, #0x2eb
0xfffffff009b4cd80: e9d6feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b4cd84: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4cd88: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4cd8c: f60300a9  stp	x22, x0, [sp]
0xfffffff009b4cd90: e0d6fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b4cd94: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4cd98: 03d7fe90  adrp	x3, #0xfffffff00762c000
0xfffffff009b4cd9c: 63e80391  add	x3, x3, #0xfa
0xfffffff009b4cda0: e10315aa  mov	x1, x21
0xfffffff009b4cda4: e20314aa  mov	x2, x20
0xfffffff009b4cda8: e2989f97  bl	#0xfffffff008333130
0xfffffff009b4cdac: 00008012  mov	w0, #-1
0xfffffff009b4cdb0: a5000014  b	#0xfffffff009b4d044
0xfffffff009b4cdb4: 88027d92  and	x8, x20, #8
0xfffffff009b4cdb8: 08fd42d3  lsr	x8, x8, #2
0xfffffff009b4cdbc: 14011f52  eor	w20, w8, #2
0xfffffff009b4cdc0: 700240f9  ldr	x16, [x19]
0xfffffff009b4cdc4: f10313aa  mov	x17, x19
0xfffffff009b4cdc8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4cdcc: 301ac1da  autda	x16, x17
0xfffffff009b4cdd0: 113d80d2  mov	x17, #0x1e8
0xfffffff009b4cdd4: 1002118b  add	x16, x16, x17
0xfffffff009b4cdd8: 080240f9  ldr	x8, [x16]
0xfffffff009b4cddc: e90310aa  mov	x9, x16
0xfffffff009b4cde0: e00313aa  mov	x0, x19
0xfffffff009b4cde4: 010080d2  mov	x1, #0
0xfffffff009b4cde8: f10309aa  mov	x17, x9
0xfffffff009b4cdec: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4cdf0: 11093fd7  blraa	x8, x17
0xfffffff009b4cdf4: 700240f9  ldr	x16, [x19]
0xfffffff009b4cdf8: f10313aa  mov	x17, x19
0xfffffff009b4cdfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4ce00: 301ac1da  autda	x16, x17
0xfffffff009b4ce04: 114380d2  mov	x17, #0x218
0xfffffff009b4ce08: 1002118b  add	x16, x16, x17
0xfffffff009b4ce0c: 080240f9  ldr	x8, [x16]
