; Candidate 1884
; ADRP+ADD at VM 0xfffffff008539f14 (fileoff 0x1535f14): page=0x1feba8000 add_imm=0xe02

0xfffffff008539e94: 01268052  mov	w1, #0x130
0xfffffff008539e98: e8b5f697  bl	#0xfffffff0082e7638
0xfffffff008539e9c: f30300aa  mov	x19, x0
0xfffffff008539ea0: f4ec0090  adrp	x20, #0xfffffff00a2d5000
0xfffffff008539ea4: 94022b91  add	x20, x20, #0xac0
0xfffffff008539ea8: e10314aa  mov	x1, x20
0xfffffff008539eac: ddb34c94  bl	#0xfffffff009866e20
0xfffffff008539eb0: 10a3fff0  adrp	x16, #0xfffffff00799c000
0xfffffff008539eb4: 10a21991  add	x16, x16, #0x668
0xfffffff008539eb8: 10420091  add	x16, x16, #0x10
0xfffffff008539ebc: f10300aa  mov	x17, x0
0xfffffff008539ec0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008539ec4: 300ac1da  pacda	x16, x17
0xfffffff008539ec8: 100000f9  str	x16, [x0]
0xfffffff008539ecc: e00314aa  mov	x0, x20
0xfffffff008539ed0: 99acf697  bl	#0xfffffff0082e5134
0xfffffff008539ed4: e00313aa  mov	x0, x19
0xfffffff008539ed8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008539edc: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008539ee0: ff0f5fd6  retab	
0xfffffff008539ee4: 5f2403d5  bti	c
0xfffffff008539ee8: 03aaf617  b	#0xfffffff0082e46f4
0xfffffff008539eec: 5f2403d5  bti	c
0xfffffff008539ef0: 01aaf617  b	#0xfffffff0082e46f4
0xfffffff008539ef4: 7f2303d5  pacibsp	
0xfffffff008539ef8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008539efc: fd030091  mov	x29, sp
0xfffffff008539f00: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008539f04: 00603791  add	x0, x0, #0xdd8
0xfffffff008539f08: ccbcf797  bl	#0xfffffff008329238
0xfffffff008539f0c: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008539f10: 004905f9  str	x0, [x8, #0xa90]
0xfffffff008539f14: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008539f18: 00083891  add	x0, x0, #0xe02
0xfffffff008539f1c: c7bcf797  bl	#0xfffffff008329238
0xfffffff008539f20: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008539f24: 004d05f9  str	x0, [x8, #0xa98]
0xfffffff008539f28: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008539f2c: 00883891  add	x0, x0, #0xe22
0xfffffff008539f30: c2bcf797  bl	#0xfffffff008329238
0xfffffff008539f34: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008539f38: 005105f9  str	x0, [x8, #0xaa0]
0xfffffff008539f3c: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008539f40: 00e43891  add	x0, x0, #0xe39
0xfffffff008539f44: bdbcf797  bl	#0xfffffff008329238
0xfffffff008539f48: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008539f4c: 005505f9  str	x0, [x8, #0xaa8]
0xfffffff008539f50: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008539f54: 004c3991  add	x0, x0, #0xe53
0xfffffff008539f58: b8bcf797  bl	#0xfffffff008329238
0xfffffff008539f5c: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008539f60: 005905f9  str	x0, [x8, #0xab0]
0xfffffff008539f64: 405dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008539f68: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008539f6c: b3bcf797  bl	#0xfffffff008329238
0xfffffff008539f70: e8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008539f74: 005d05f9  str	x0, [x8, #0xab8]
0xfffffff008539f78: e0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff008539f7c: 00002b91  add	x0, x0, #0xac0
0xfffffff008539f80: 215dffb0  adrp	x1, #0xfffffff0070de000
0xfffffff008539f84: 21701c91  add	x1, x1, #0x71c
0xfffffff008539f88: e2ec00b0  adrp	x2, #0xfffffff00a2d6000
0xfffffff008539f8c: 42202391  add	x2, x2, #0x8c8
0xfffffff008539f90: 03268052  mov	w3, #0x130
