; Candidate 8439
; ADRP+ADD at VM 0xfffffff0088aabdc (fileoff 0x18a6bdc): page=0x1fe93f000 add_imm=0xe80

0xfffffff0088aab5c: 2f43ff97  bl	#0xfffffff00887b818
0xfffffff0088aab60: fa0300aa  mov	x26, x0
0xfffffff0088aab64: 92250094  bl	#0xfffffff0088b41ac
0xfffffff0088aab68: f90300aa  mov	x25, x0
0xfffffff0088aab6c: e0008052  mov	w0, #7
0xfffffff0088aab70: 3843ff97  bl	#0xfffffff00887b850
0xfffffff0088aab74: ba010034  cbz	w26, #0xfffffff0088aaba8
0xfffffff0088aab78: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0088aab7c: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088aab80: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088aab84: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aab88: 08850b91  add	x8, x8, #0x2e1
0xfffffff0088aab8c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aab90: c80f8052  mov	w8, #0x7e
0xfffffff0088aab94: 404cffb0  adrp	x0, #0xfffffff007233000
0xfffffff0088aab98: 00281091  add	x0, x0, #0x40a
0xfffffff0088aab9c: f92300a9  stp	x25, x8, [sp]
0xfffffff0088aaba0: 3032d497  bl	#0xfffffff007db7460
0xfffffff0088aaba4: 16000014  b	#0xfffffff0088aabfc
0xfffffff0088aaba8: 81250094  bl	#0xfffffff0088b41ac
0xfffffff0088aabac: f90300aa  mov	x25, x0
0xfffffff0088aabb0: e0008052  mov	w0, #7
0xfffffff0088aabb4: 2743ff97  bl	#0xfffffff00887b850
0xfffffff0088aabb8: e80318aa  mov	x8, x24
0xfffffff0088aabbc: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff0088aabc0: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088aabc4: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088aabc8: 484cffb0  adrp	x8, #0xfffffff007233000
0xfffffff0088aabcc: 08850b91  add	x8, x8, #0x2e1
0xfffffff0088aabd0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088aabd4: c80f8052  mov	w8, #0x7e
0xfffffff0088aabd8: f92300a9  stp	x25, x8, [sp]
0xfffffff0088aabdc: e049fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088aabe0: 00003a91  add	x0, x0, #0xe80
0xfffffff0088aabe4: e18affd0  adrp	x1, #0xfffffff007a08000
0xfffffff0088aabe8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088aabec: c34dffb0  adrp	x3, #0xfffffff007263000
0xfffffff0088aabf0: 63181591  add	x3, x3, #0x546
0xfffffff0088aabf4: 02008052  mov	w2, #0
0xfffffff0088aabf8: 4e21ea97  bl	#0xfffffff008333130
0xfffffff0088aabfc: e00318aa  mov	x0, x24
0xfffffff0088aac00: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0088aac04: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0088aac08: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0088aac0c: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0088aac10: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0088aac14: ffc30291  add	sp, sp, #0xb0
0xfffffff0088aac18: ff0f5fd6  retab	
0xfffffff0088aac1c: 54080034  cbz	w20, #0xfffffff0088aad24
0xfffffff0088aac20: e81e40b9  ldr	w8, [x23, #0x1c]
0xfffffff0088aac24: 41000014  b	#0xfffffff0088aad28
0xfffffff0088aac28: 18008052  mov	w24, #0
0xfffffff0088aac2c: c7ffff17  b	#0xfffffff0088aab48
0xfffffff0088aac30: e4420291  add	x4, x23, #0x90
0xfffffff0088aac34: e00313aa  mov	x0, x19
0xfffffff0088aac38: e10315aa  mov	x1, x21
0xfffffff0088aac3c: e20316aa  mov	x2, x22
0xfffffff0088aac40: e30319aa  mov	x3, x25
0xfffffff0088aac44: 97faff97  bl	#0xfffffff0088a96a0
0xfffffff0088aac48: f80300aa  mov	x24, x0
0xfffffff0088aac4c: e0f7ff34  cbz	w0, #0xfffffff0088aab48
0xfffffff0088aac50: c00f8052  mov	w0, #0x7e
0xfffffff0088aac54: 81008052  mov	w1, #4
0xfffffff0088aac58: de42ff97  bl	#0xfffffff00887b7d0
