; Candidate 16017
; ADRP+ADD at VM 0xfffffff009dff580 (fileoff 0x2dfb580): page=0x1fd8a1000 add_imm=0xd05

0xfffffff009dff500: f30301aa  mov	x19, x1
0xfffffff009dff504: f50300aa  mov	x21, x0
0xfffffff009dff508: 003840f9  ldr	x0, [x0, #0x70]
0xfffffff009dff50c: 085c40f9  ldr	x8, [x0, #0xb8]
0xfffffff009dff510: 880000b5  cbnz	x8, #0xfffffff009dff520
0xfffffff009dff514: d4c4fef0  adrp	x20, #0xfffffff00769a000
0xfffffff009dff518: 94c22d91  add	x20, x20, #0xb70
0xfffffff009dff51c: 0d000014  b	#0xfffffff009dff550
0xfffffff009dff520: 100140f9  ldr	x16, [x8]
0xfffffff009dff524: f10308aa  mov	x17, x8
0xfffffff009dff528: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dff52c: 301ac1da  autda	x16, x17
0xfffffff009dff530: 098e4af8  ldr	x9, [x16, #0xa8]!
0xfffffff009dff534: ea0310aa  mov	x10, x16
0xfffffff009dff538: e00308aa  mov	x0, x8
0xfffffff009dff53c: f1030aaa  mov	x17, x10
0xfffffff009dff540: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dff544: 31093fd7  blraa	x9, x17
0xfffffff009dff548: f40300aa  mov	x20, x0
0xfffffff009dff54c: a03a40f9  ldr	x0, [x21, #0x70]
0xfffffff009dff550: e82d00f0  adrp	x8, #0xfffffff00a3be000
0xfffffff009dff554: 08611691  add	x8, x8, #0x598
0xfffffff009dff558: 140100f9  str	x20, [x8]
0xfffffff009dff55c: 1a65ff97  bl	#0xfffffff009dd89c4
0xfffffff009dff560: 08c5feb0  adrp	x8, #0xfffffff0076a0000
0xfffffff009dff564: 082d3191  add	x8, x8, #0xc4b
0xfffffff009dff568: 292e8052  mov	w9, #0x171
0xfffffff009dff56c: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff009dff570: 08c5feb0  adrp	x8, #0xfffffff0076a0000
0xfffffff009dff574: 089d3591  add	x8, x8, #0xd67
0xfffffff009dff578: f30301a9  stp	x19, x0, [sp, #0x10]
0xfffffff009dff57c: f42300a9  stp	x20, x8, [sp]
0xfffffff009dff580: 00c5feb0  adrp	x0, #0xfffffff0076a0000
0xfffffff009dff584: 00143491  add	x0, x0, #0xd05
0xfffffff009dff588: e1539a97  bl	#0xfffffff00849450c
0xfffffff009dff58c: 7f2303d5  pacibsp	
0xfffffff009dff590: ff4301d1  sub	sp, sp, #0x50
0xfffffff009dff594: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009dff598: fd030191  add	x29, sp, #0x40
0xfffffff009dff59c: 004040f9  ldr	x0, [x0, #0x80]
0xfffffff009dff5a0: 800000b5  cbnz	x0, #0xfffffff009dff5b0
0xfffffff009dff5a4: c0c4fef0  adrp	x0, #0xfffffff00769a000
0xfffffff009dff5a8: 00c02d91  add	x0, x0, #0xb70
0xfffffff009dff5ac: 0a000014  b	#0xfffffff009dff5d4
0xfffffff009dff5b0: 100040f9  ldr	x16, [x0]
0xfffffff009dff5b4: f10300aa  mov	x17, x0
0xfffffff009dff5b8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dff5bc: 301ac1da  autda	x16, x17
0xfffffff009dff5c0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009dff5c4: e90310aa  mov	x9, x16
0xfffffff009dff5c8: f10309aa  mov	x17, x9
0xfffffff009dff5cc: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009dff5d0: 11093fd7  blraa	x8, x17
0xfffffff009dff5d4: e82d00f0  adrp	x8, #0xfffffff00a3be000
0xfffffff009dff5d8: 08611691  add	x8, x8, #0x598
0xfffffff009dff5dc: 000100f9  str	x0, [x8]
0xfffffff009dff5e0: c8378052  mov	w8, #0x1be
0xfffffff009dff5e4: 09c5feb0  adrp	x9, #0xfffffff0076a0000
0xfffffff009dff5e8: 292d3191  add	x9, x9, #0xc4b
0xfffffff009dff5ec: 0ac5feb0  adrp	x10, #0xfffffff0076a0000
0xfffffff009dff5f0: 4a893891  add	x10, x10, #0xe22
0xfffffff009dff5f4: e9a302a9  stp	x9, x8, [sp, #0x28]
0xfffffff009dff5f8: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009dff5fc: 09c5feb0  adrp	x9, #0xfffffff0076a0000
