; Candidate 2732
; ADRP+ADD at VM 0xfffffff0086e59dc (fileoff 0x16e19dc): page=0x1fea4c000 add_imm=0xd90

0xfffffff0086e595c: 00610039  strb	w0, [x8, #0x18]
0xfffffff0086e5960: 0a0240b9  ldr	w10, [x16]
0xfffffff0086e5964: 290240b9  ldr	w9, [x17]
0xfffffff0086e5968: 5f050071  cmp	w10, #1
0xfffffff0086e596c: e8040054  b.hi	#0xfffffff0086e5a08
0xfffffff0086e5970: 08008052  mov	w8, #0
0xfffffff0086e5974: 14008052  mov	w20, #0
0xfffffff0086e5978: 7f2e00b9  str	wzr, [x19, #0x2c]
0xfffffff0086e597c: 8b008052  mov	w11, #4
0xfffffff0086e5980: 6d3241a9  ldp	x13, x12, [x19, #0x10]
0xfffffff0086e5984: 945e1853  lsl	w20, w20, #8
0xfffffff0086e5988: bf010ceb  cmp	x13, x12
0xfffffff0086e598c: 02010054  b.hs	#0xfffffff0086e59ac
0xfffffff0086e5990: 08210011  add	w8, w8, #8
0xfffffff0086e5994: 682e00b9  str	w8, [x19, #0x2c]
0xfffffff0086e5998: ae050091  add	x14, x13, #1
0xfffffff0086e599c: 6e0a00f9  str	x14, [x19, #0x10]
0xfffffff0086e59a0: ad014039  ldrb	w13, [x13]
0xfffffff0086e59a4: 94020d2a  orr	w20, w20, w13
0xfffffff0086e59a8: ed030eaa  mov	x13, x14
0xfffffff0086e59ac: 6b050071  subs	w11, w11, #1
0xfffffff0086e59b0: a1feff54  b.ne	#0xfffffff0086e5984
0xfffffff0086e59b4: 4b008052  mov	w11, #2
0xfffffff0086e59b8: 75010a4b  sub	w21, w11, w10
0xfffffff0086e59bc: ea030a4b  neg	w10, w10
0xfffffff0086e59c0: 2925ca1a  lsr	w9, w9, w10
0xfffffff0086e59c4: 3621d51a  lsl	w22, w9, w21
0xfffffff0086e59c8: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e59cc: 290140b9  ldr	w9, [x9]
0xfffffff0086e59d0: 3f011a6a  tst	w9, w26
0xfffffff0086e59d4: 20020054  b.eq	#0xfffffff0086e5a18
0xfffffff0086e59d8: f42300a9  stp	x20, x8, [sp]
0xfffffff0086e59dc: 6052ff90  adrp	x0, #0xfffffff007131000
0xfffffff0086e59e0: 00403691  add	x0, x0, #0xd90
0xfffffff0086e59e4: c198ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0086e59e8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086e59ec: 6352ffd0  adrp	x3, #0xfffffff007133000
0xfffffff0086e59f0: 63ac3091  add	x3, x3, #0xc2b
0xfffffff0086e59f4: 02008052  mov	w2, #0
0xfffffff0086e59f8: ce35f197  bl	#0xfffffff008333130
0xfffffff0086e59fc: f1c342a9  ldp	x17, x16, [sp, #0x28]
0xfffffff0086e5a00: 080240b9  ldr	w8, [x16]
0xfffffff0086e5a04: 05000014  b	#0xfffffff0086e5a18
0xfffffff0086e5a08: 16008052  mov	w22, #0
0xfffffff0086e5a0c: 55008052  mov	w21, #2
0xfffffff0086e5a10: e8030aaa  mov	x8, x10
0xfffffff0086e5a14: f40309aa  mov	x20, x9
0xfffffff0086e5a18: e903154b  neg	w9, w21
0xfffffff0086e5a1c: 8926c91a  lsr	w9, w20, w9
0xfffffff0086e5a20: 3601162a  orr	w22, w9, w22
0xfffffff0086e5a24: 8922d51a  lsl	w9, w20, w21
0xfffffff0086e5a28: 290200b9  str	w9, [x17]
0xfffffff0086e5a2c: 0801154b  sub	w8, w8, w21
0xfffffff0086e5a30: 080200b9  str	w8, [x16]
0xfffffff0086e5a34: e91f40f9  ldr	x9, [sp, #0x38]
0xfffffff0086e5a38: 290140b9  ldr	w9, [x9]
0xfffffff0086e5a3c: 3f011a6a  tst	w9, w26
0xfffffff0086e5a40: e0010054  b.eq	#0xfffffff0086e5a7c
0xfffffff0086e5a44: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff0086e5a48: 4853fff0  adrp	x8, #0xfffffff007150000
0xfffffff0086e5a4c: 08b50a91  add	x8, x8, #0x2ad
0xfffffff0086e5a50: 49008052  mov	w9, #2
0xfffffff0086e5a54: e92300a9  stp	x9, x8, [sp]
0xfffffff0086e5a58: 6052ff90  adrp	x0, #0xfffffff007131000
