; Candidate 3070
; ADRP+ADD at VM 0xfffffff008710280 (fileoff 0x170c280): page=0x1fea21000 add_imm=0xd90

0xfffffff008710200: 4e008052  mov	w14, #2
0xfffffff008710204: 63010014  b	#0xfffffff008710790
0xfffffff008710208: 20338052  mov	w0, #0x199
0xfffffff00871020c: e4faff17  b	#0xfffffff00870ed9c
0xfffffff008710210: f46340f9  ldr	x20, [sp, #0xc0]
0xfffffff008710214: 687e50f9  ldr	x8, [x19, #0x20f8]
0xfffffff008710218: 6a824cb9  ldr	w10, [x19, #0xc80]
0xfffffff00871021c: 0b0f8052  mov	w11, #0x78
0xfffffff008710220: 48210b9b  madd	x8, x10, x11, x8
0xfffffff008710224: 082d40b9  ldr	w8, [x8, #0x2c]
0xfffffff008710228: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00871022c: f00300f9  str	x16, [sp]
0xfffffff008710230: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710234: 00403691  add	x0, x0, #0xd90
0xfffffff008710238: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871023c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008710240: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710244: 63c42091  add	x3, x3, #0x831
0xfffffff008710248: 02008052  mov	w2, #0
0xfffffff00871024c: b98bf097  bl	#0xfffffff008333130
0xfffffff008710250: bcfaff17  b	#0xfffffff00870ed40
0xfffffff008710254: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710258: 00403691  add	x0, x0, #0xd90
0xfffffff00871025c: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008710260: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008710264: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710268: 63541091  add	x3, x3, #0x415
0xfffffff00871026c: 02008052  mov	w2, #0
0xfffffff008710270: b08bf097  bl	#0xfffffff008333130
0xfffffff008710274: a8278052  mov	w8, #0x13d
0xfffffff008710278: 43010014  b	#0xfffffff008710784
0xfffffff00871027c: e80300f9  str	x8, [sp]
0xfffffff008710280: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff008710284: 00403691  add	x0, x0, #0xd90
0xfffffff008710288: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871028c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008710290: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff008710294: 63f41591  add	x3, x3, #0x57d
0xfffffff008710298: 02008052  mov	w2, #0
0xfffffff00871029c: a58bf097  bl	#0xfffffff008333130
0xfffffff0087102a0: 38010014  b	#0xfffffff008710780
0xfffffff0087102a4: f50300aa  mov	x21, x0
0xfffffff0087102a8: 0852ffb0  adrp	x8, #0xfffffff007151000
0xfffffff0087102ac: 08491591  add	x8, x8, #0x552
0xfffffff0087102b0: e85700a9  stp	x8, x21, [sp]
0xfffffff0087102b4: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087102b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087102bc: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087102c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087102c4: 2351fff0  adrp	x3, #0xfffffff007137000
0xfffffff0087102c8: 639c2b91  add	x3, x3, #0xae7
0xfffffff0087102cc: 02008052  mov	w2, #0
0xfffffff0087102d0: 988bf097  bl	#0xfffffff008333130
0xfffffff0087102d4: bf6a0671  cmp	w21, #0x19a
0xfffffff0087102d8: 28268052  mov	w8, #0x131
0xfffffff0087102dc: a802881a  csel	w8, w21, w8, eq
0xfffffff0087102e0: 29010014  b	#0xfffffff008710784
0xfffffff0087102e4: 2852ff90  adrp	x8, #0xfffffff007154000
0xfffffff0087102e8: 08693491  add	x8, x8, #0xd1a
0xfffffff0087102ec: e80300f9  str	x8, [sp]
0xfffffff0087102f0: 0051ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0087102f4: 00403691  add	x0, x0, #0xd90
0xfffffff0087102f8: 6197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087102fc: 21dc41f9  ldr	x1, [x1, #0x3b8]
