; Candidate 6361
; ADRP+ADD at VM 0xfffffff008826f88 (fileoff 0x1822f88): page=0x1fe9c3000 add_imm=0xe80

0xfffffff008826f08: 37020034  cbz	w23, #0xfffffff008826f4c
0xfffffff008826f0c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008826f10: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008826f14: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008826f18: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff008826f1c: 09291f91  add	x9, x8, #0x7ca
0xfffffff008826f20: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff008826f24: 08653291  add	x8, x8, #0xc99
0xfffffff008826f28: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008826f2c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008826f30: e80a8052  mov	w8, #0x57
0xfffffff008826f34: 604fff90  adrp	x0, #0xfffffff007212000
0xfffffff008826f38: 000c2191  add	x0, x0, #0x843
0xfffffff008826f3c: f62300a9  stp	x22, x8, [sp]
0xfffffff008826f40: 4841d697  bl	#0xfffffff007db7460
0xfffffff008826f44: 540300b5  cbnz	x20, #0xfffffff008826fac
0xfffffff008826f48: 6a000014  b	#0xfffffff0088270f0
0xfffffff008826f4c: 98340294  bl	#0xfffffff0088b41ac
0xfffffff008826f50: f60300aa  mov	x22, x0
0xfffffff008826f54: e0008052  mov	w0, #7
0xfffffff008826f58: 3e520194  bl	#0xfffffff00887b850
0xfffffff008826f5c: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008826f60: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008826f64: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008826f68: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff008826f6c: 09291f91  add	x9, x8, #0x7ca
0xfffffff008826f70: c84ffff0  adrp	x8, #0xfffffff007221000
0xfffffff008826f74: 08653291  add	x8, x8, #0xc99
0xfffffff008826f78: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008826f7c: e80a8052  mov	w8, #0x57
0xfffffff008826f80: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008826f84: f60300f9  str	x22, [sp]
0xfffffff008826f88: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008826f8c: 00003a91  add	x0, x0, #0xe80
0xfffffff008826f90: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008826f94: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008826f98: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff008826f9c: 63281991  add	x3, x3, #0x64a
0xfffffff008826fa0: 02008052  mov	w2, #0
0xfffffff008826fa4: 6330ec97  bl	#0xfffffff008333130
0xfffffff008826fa8: 540a00b4  cbz	x20, #0xfffffff0088270f0
0xfffffff008826fac: 350a00b4  cbz	x21, #0xfffffff0088270f0
0xfffffff008826fb0: bf0200f9  str	xzr, [x21]
0xfffffff008826fb4: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008826fb8: a80d00b4  cbz	x8, #0xfffffff00882716c
0xfffffff008826fbc: 601240f9  ldr	x0, [x19, #0x20]
0xfffffff008826fc0: c312d697  bl	#0xfffffff007dabacc
0xfffffff008826fc4: 683e46b9  ldr	w8, [x19, #0x63c]
0xfffffff008826fc8: 1f050071  cmp	w8, #1
0xfffffff008826fcc: c1100054  b.ne	#0xfffffff0088271e4
0xfffffff008826fd0: a14301d1  sub	x1, x29, #0x50
0xfffffff008826fd4: e00313aa  mov	x0, x19
0xfffffff008826fd8: b5010094  bl	#0xfffffff0088276ac
0xfffffff008826fdc: f60300aa  mov	x22, x0
0xfffffff008826fe0: a8035bf8  ldur	x8, [x29, #-0x50]
0xfffffff008826fe4: 882a00b4  cbz	x8, #0xfffffff008827534
0xfffffff008826fe8: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff008826fec: bfff3ba9  stp	xzr, xzr, [x29, #-0x48]
0xfffffff008826ff0: 29008052  mov	w9, #1
0xfffffff008826ff4: a9431ab8  stur	w9, [x29, #-0x5c]
0xfffffff008826ff8: 000940f9  ldr	x0, [x8, #0x10]
0xfffffff008826ffc: 100040f9  ldr	x16, [x0]
0xfffffff008827000: f10300aa  mov	x17, x0
0xfffffff008827004: 31b4f9f2  movk	x17, #0xcda1, lsl #48
