; Candidate 10968
; ADRP+ADD at VM 0xfffffff008def984 (fileoff 0x1deb984): page=0x1fe5d5000 add_imm=0xe15

0xfffffff008def904: 3002108b  add	x16, x17, x16
0xfffffff008def908: 00021fd6  br	x16
0xfffffff008def90c: 9f2403d5  bti	j
0xfffffff008def910: e00313aa  mov	x0, x19
0xfffffff008def914: 01118052  mov	w1, #0x88
0xfffffff008def918: 6ddcff97  bl	#0xfffffff008de6acc
0xfffffff008def91c: a02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008def920: 00a82991  add	x0, x0, #0xa6a
0xfffffff008def924: a32eff90  adrp	x3, #0xfffffff0073c3000
0xfffffff008def928: 63e43591  add	x3, x3, #0xd79
0xfffffff008def92c: a52effb0  adrp	x5, #0xfffffff0073c4000
0xfffffff008def930: a5f43291  add	x5, x5, #0xcbd
0xfffffff008def934: e10313aa  mov	x1, x19
0xfffffff008def938: 02118052  mov	w2, #0x88
0xfffffff008def93c: e44a8052  mov	w4, #0x257
0xfffffff008def940: e2dcff97  bl	#0xfffffff008de6cc8
0xfffffff008def944: 0068fff0  adrp	x0, #0xfffffff007af2000
0xfffffff008def948: 00c03d91  add	x0, x0, #0xf70
0xfffffff008def94c: e10313aa  mov	x1, x19
0xfffffff008def950: 02118052  mov	w2, #0x88
0xfffffff008def954: 33010014  b	#0xfffffff008defe20
0xfffffff008def958: 9f2403d5  bti	j
0xfffffff008def95c: 684d8052  mov	w8, #0x26b
0xfffffff008def960: a92eff90  adrp	x9, #0xfffffff0073c3000
0xfffffff008def964: 29e53591  add	x9, x9, #0xd79
0xfffffff008def968: e81300f9  str	x8, [sp, #0x20]
0xfffffff008def96c: a82effb0  adrp	x8, #0xfffffff0073c4000
0xfffffff008def970: 08493991  add	x8, x8, #0xe52
0xfffffff008def974: 8a2effd0  adrp	x10, #0xfffffff0073c1000
0xfffffff008def978: 4ab12391  add	x10, x10, #0x8ec
0xfffffff008def97c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008def980: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008def984: a02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008def988: 00543891  add	x0, x0, #0xe15
0xfffffff008def98c: a59dd597  bl	#0xfffffff008357020
0xfffffff008def990: 53008012  mov	w19, #-3
0xfffffff008def994: c8088052  mov	w8, #0x46
0xfffffff008def998: 25010014  b	#0xfffffff008defe2c
0xfffffff008def99c: 9f2403d5  bti	j
0xfffffff008def9a0: e00313aa  mov	x0, x19
0xfffffff008def9a4: 81028052  mov	w1, #0x14
0xfffffff008def9a8: 49dcff97  bl	#0xfffffff008de6acc
0xfffffff008def9ac: a02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008def9b0: 00d81491  add	x0, x0, #0x536
0xfffffff008def9b4: a32eff90  adrp	x3, #0xfffffff0073c3000
0xfffffff008def9b8: 63e43591  add	x3, x3, #0xd79
0xfffffff008def9bc: a52effb0  adrp	x5, #0xfffffff0073c4000
0xfffffff008def9c0: a5f43291  add	x5, x5, #0xcbd
0xfffffff008def9c4: e10313aa  mov	x1, x19
0xfffffff008def9c8: 82028052  mov	w2, #0x14
0xfffffff008def9cc: 84438052  mov	w4, #0x21c
0xfffffff008def9d0: bedcff97  bl	#0xfffffff008de6cc8
0xfffffff008def9d4: 0068fff0  adrp	x0, #0xfffffff007af2000
0xfffffff008def9d8: 00802d91  add	x0, x0, #0xb60
0xfffffff008def9dc: 0f010014  b	#0xfffffff008defe18
0xfffffff008def9e0: 9f2403d5  bti	j
0xfffffff008def9e4: e00313aa  mov	x0, x19
0xfffffff008def9e8: 81028052  mov	w1, #0x14
0xfffffff008def9ec: 38dcff97  bl	#0xfffffff008de6acc
0xfffffff008def9f0: a02effb0  adrp	x0, #0xfffffff0073c4000
0xfffffff008def9f4: 008c1691  add	x0, x0, #0x5a3
0xfffffff008def9f8: a32eff90  adrp	x3, #0xfffffff0073c3000
0xfffffff008def9fc: 63e43591  add	x3, x3, #0xd79
0xfffffff008defa00: a52effb0  adrp	x5, #0xfffffff0073c4000
