; Candidate 3310
; ADRP+ADD at VM 0xfffffff00872ccfc (fileoff 0x1728cfc): page=0x1fea05000 add_imm=0xd90

0xfffffff00872cc7c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00872cc80: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00872cc84: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff00872cc88: ff030291  add	sp, sp, #0x80
0xfffffff00872cc8c: ff0f5fd6  retab	
0xfffffff00872cc90: 7f2303d5  pacibsp	
0xfffffff00872cc94: ff8301d1  sub	sp, sp, #0x60
0xfffffff00872cc98: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00872cc9c: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00872cca0: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00872cca4: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00872cca8: fd430191  add	x29, sp, #0x50
0xfffffff00872ccac: f30300aa  mov	x19, x0
0xfffffff00872ccb0: ff1f00b9  str	wzr, [sp, #0x1c]
0xfffffff00872ccb4: 081040f9  ldr	x8, [x0, #0x20]
0xfffffff00872ccb8: c80100b4  cbz	x8, #0xfffffff00872ccf0
0xfffffff00872ccbc: f50301aa  mov	x21, x1
0xfffffff00872ccc0: 68324139  ldrb	w8, [x19, #0x4c]
0xfffffff00872ccc4: 48050034  cbz	w8, #0xfffffff00872cd6c
0xfffffff00872ccc8: 684a40b9  ldr	w8, [x19, #0x48]
0xfffffff00872cccc: 1f050031  cmn	w8, #1
0xfffffff00872ccd0: e0020054  b.eq	#0xfffffff00872cd2c
0xfffffff00872ccd4: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00872ccd8: a00200b4  cbz	x0, #0xfffffff00872cd2c
0xfffffff00872ccdc: ea26fe97  bl	#0xfffffff0086b6884
0xfffffff00872cce0: 602240f9  ldr	x0, [x19, #0x40]
0xfffffff00872cce4: 2327fe97  bl	#0xfffffff0086b6970
0xfffffff00872cce8: f40300aa  mov	x20, x0
0xfffffff00872ccec: 11000014  b	#0xfffffff00872cd30
0xfffffff00872ccf0: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872ccf4: 08c12c91  add	x8, x8, #0xb30
0xfffffff00872ccf8: e80300f9  str	x8, [sp]
0xfffffff00872ccfc: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872cd00: 00403691  add	x0, x0, #0xd90
0xfffffff00872cd04: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872cd08: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872cd0c: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872cd10: 63c82d91  add	x3, x3, #0xb72
0xfffffff00872cd14: 02008052  mov	w2, #0
0xfffffff00872cd18: 0619f097  bl	#0xfffffff008333130
0xfffffff00872cd1c: 14008052  mov	w20, #0
0xfffffff00872cd20: 08008012  mov	w8, #-1
0xfffffff00872cd24: 684a00b9  str	w8, [x19, #0x48]
0xfffffff00872cd28: 4c000014  b	#0xfffffff00872ce58
0xfffffff00872cd2c: 14008052  mov	w20, #0
0xfffffff00872cd30: 9f02156b  cmp	w20, w21
0xfffffff00872cd34: 22090054  b.hs	#0xfffffff00872ce58
0xfffffff00872cd38: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff00872cd3c: 2851ff90  adrp	x8, #0xfffffff007150000
0xfffffff00872cd40: 08c12c91  add	x8, x8, #0xb30
0xfffffff00872cd44: e80300f9  str	x8, [sp]
0xfffffff00872cd48: 2050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00872cd4c: 00403691  add	x0, x0, #0xd90
0xfffffff00872cd50: 8196ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00872cd54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872cd58: 6350ffd0  adrp	x3, #0xfffffff00713a000
0xfffffff00872cd5c: 631c3391  add	x3, x3, #0xcc7
0xfffffff00872cd60: 02008052  mov	w2, #0
0xfffffff00872cd64: f318f097  bl	#0xfffffff008333130
0xfffffff00872cd68: 3c000014  b	#0xfffffff00872ce58
0xfffffff00872cd6c: a0008052  mov	w0, #5
0xfffffff00872cd70: e10315aa  mov	x1, x21
0xfffffff00872cd74: f527fe97  bl	#0xfffffff0086b6d48
0xfffffff00872cd78: 400500b4  cbz	x0, #0xfffffff00872ce20
