; Candidate 16751
; ADRP+ADD at VM 0xfffffff009f45014 (fileoff 0x2f41014): page=0x1fd91d000 add_imm=0xd4a

0xfffffff009f44f94: e98f00b9  str	w9, [sp, #0x8c]
0xfffffff009f44f98: fcc8fed0  adrp	x28, #0xfffffff007862000
0xfffffff009f44f9c: 9c373691  add	x28, x28, #0xd8d
0xfffffff009f44fa0: e90317aa  mov	x9, x23
0xfffffff009f44fa4: eaa707a9  stp	x10, x9, [sp, #0x78]
0xfffffff009f44fa8: e95700f9  str	x9, [sp, #0xa8]
0xfffffff009f44fac: e93700f9  str	x9, [sp, #0x68]
0xfffffff009f44fb0: fa4b00f9  str	x26, [sp, #0x90]
0xfffffff009f44fb4: c8000037  tbnz	w8, #0, #0xfffffff009f44fcc
0xfffffff009f44fb8: e00313aa  mov	x0, x19
0xfffffff009f44fbc: 01008052  mov	w1, #0
0xfffffff009f44fc0: e20316aa  mov	x2, x22
0xfffffff009f44fc4: 60dcff97  bl	#0xfffffff009f3c144
0xfffffff009f44fc8: e0faff35  cbnz	w0, #0xfffffff009f44f24
0xfffffff009f44fcc: a80358b8  ldur	w8, [x29, #-0x80]
0xfffffff009f44fd0: 68000034  cbz	w8, #0xfffffff009f44fdc
0xfffffff009f44fd4: b98359f8  ldur	x25, [x29, #-0x68]
0xfffffff009f44fd8: 04000014  b	#0xfffffff009f44fe8
0xfffffff009f44fdc: 28008052  mov	w8, #1
0xfffffff009f44fe0: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff009f44fe4: 39008052  mov	w25, #1
0xfffffff009f44fe8: a88358f8  ldur	x8, [x29, #-0x78]
0xfffffff009f44fec: 1f0116eb  cmp	x8, x22
0xfffffff009f44ff0: 69030054  b.ls	#0xfffffff009f4505c
0xfffffff009f44ff4: 896640f9  ldr	x9, [x20, #0xc8]
0xfffffff009f44ff8: 298942f9  ldr	x9, [x9, #0x510]
0xfffffff009f44ffc: aa0359f8  ldur	x10, [x29, #-0x70]
0xfffffff009f45000: f95b03a9  stp	x25, x22, [sp, #0x30]
0xfffffff009f45004: e82b02a9  stp	x8, x10, [sp, #0x20]
0xfffffff009f45008: e95f01a9  stp	x9, x23, [sp, #0x10]
0xfffffff009f4500c: 48bc8252  mov	w8, #0x15e2
0xfffffff009f45010: fc2300a9  stp	x28, x8, [sp]
0xfffffff009f45014: e0c8feb0  adrp	x0, #0xfffffff007862000
0xfffffff009f45018: 00283591  add	x0, x0, #0xd4a
0xfffffff009f4501c: 2aeafc97  bl	#0xfffffff009e7f8c4
0xfffffff009f45020: 37090034  cbz	w23, #0xfffffff009f45144
0xfffffff009f45024: fa031baa  mov	x26, x27
0xfffffff009f45028: fb5340f9  ldr	x27, [sp, #0xa0]
0xfffffff009f4502c: e0031baa  mov	x0, x27
0xfffffff009f45030: a79a7997  bl	#0xfffffff007dabacc
0xfffffff009f45034: e00314aa  mov	x0, x20
0xfffffff009f45038: e10313aa  mov	x1, x19
0xfffffff009f4503c: e20317aa  mov	x2, x23
0xfffffff009f45040: e30319aa  mov	x3, x25
0xfffffff009f45044: c4010094  bl	#0xfffffff009f45754
0xfffffff009f45048: e0031baa  mov	x0, x27
0xfffffff009f4504c: fb031aaa  mov	x27, x26
0xfffffff009f45050: fa4b40f9  ldr	x26, [sp, #0x90]
0xfffffff009f45054: ba9d7997  bl	#0xfffffff007dac73c
0xfffffff009f45058: 03010014  b	#0xfffffff009f45464
0xfffffff009f4505c: a98356f8  ldur	x9, [x29, #-0x98]
0xfffffff009f45060: 1f0109eb  cmp	x8, x9
0xfffffff009f45064: 89000054  b.ls	#0xfffffff009f45074
0xfffffff009f45068: e93f40f9  ldr	x9, [sp, #0x78]
0xfffffff009f4506c: 280100f9  str	x8, [x9]
0xfffffff009f45070: b8f50f36  tbz	w24, #1, #0xfffffff009f44f24
0xfffffff009f45074: 89c24439  ldrb	w9, [x20, #0x130]
0xfffffff009f45078: a9000034  cbz	w9, #0xfffffff009f4508c
0xfffffff009f4507c: 896240f9  ldr	x9, [x20, #0xc0]
0xfffffff009f45080: 2ac142f9  ldr	x10, [x9, #0x580]
0xfffffff009f45084: 1f010aeb  cmp	x8, x10
0xfffffff009f45088: 02290054  b.hs	#0xfffffff009f455a8
0xfffffff009f4508c: 69ca40f9  ldr	x9, [x19, #0x190]
0xfffffff009f45090: 1f0109eb  cmp	x8, x9
