; Candidate 11431
; ADRP+ADD at VM 0xfffffff008f47fc0 (fileoff 0x1f43fc0): page=0x1fe4d4000 add_imm=0xe40

0xfffffff008f47f40: 741240f9  ldr	x20, [x19, #0x20]
0xfffffff008f47f44: 700240f9  ldr	x16, [x19]
0xfffffff008f47f48: f10313aa  mov	x17, x19
0xfffffff008f47f4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f47f50: 301ac1da  autda	x16, x17
0xfffffff008f47f54: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff008f47f58: e90310aa  mov	x9, x16
0xfffffff008f47f5c: e00313aa  mov	x0, x19
0xfffffff008f47f60: f10309aa  mov	x17, x9
0xfffffff008f47f64: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff008f47f68: 11093fd7  blraa	x8, x17
0xfffffff008f47f6c: 7b72ce97  bl	#0xfffffff0082e4958
0xfffffff008f47f70: e82740b9  ldr	w8, [sp, #0x24]
0xfffffff008f47f74: f40100b4  cbz	x20, #0xfffffff008f47fb0
0xfffffff008f47f78: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008f47f7c: a826ff90  adrp	x8, #0xfffffff00741b000
0xfffffff008f47f80: 08813991  add	x8, x8, #0xe60
0xfffffff008f47f84: e02300a9  stp	x0, x8, [sp]
0xfffffff008f47f88: a226ff90  adrp	x2, #0xfffffff00741b000
0xfffffff008f47f8c: 42003991  add	x2, x2, #0xe40
0xfffffff008f47f90: e00314aa  mov	x0, x20
0xfffffff008f47f94: 41008052  mov	w1, #2
0xfffffff008f47f98: abf14094  bl	#0xfffffff009f84644
0xfffffff008f47f9c: 0c000014  b	#0xfffffff008f47fcc
0xfffffff008f47fa0: 140099d2  mov	x20, #0xc800
0xfffffff008f47fa4: f402b5f2  movk	x20, #0xa817, lsl #16
0xfffffff008f47fa8: 9400c0f2  movk	x20, #4, lsl #32
0xfffffff008f47fac: 0c000014  b	#0xfffffff008f47fdc
0xfffffff008f47fb0: a926ff90  adrp	x9, #0xfffffff00741b000
0xfffffff008f47fb4: 29813991  add	x9, x9, #0xe60
0xfffffff008f47fb8: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008f47fbc: e00300f9  str	x0, [sp]
0xfffffff008f47fc0: a026ff90  adrp	x0, #0xfffffff00741b000
0xfffffff008f47fc4: 00003991  add	x0, x0, #0xe40
0xfffffff008f47fc8: 163cd097  bl	#0xfffffff008357020
0xfffffff008f47fcc: e82740b9  ldr	w8, [sp, #0x24]
0xfffffff008f47fd0: 09409952  mov	w9, #0xca00
0xfffffff008f47fd4: 4973a772  movk	w9, #0x3b9a, lsl #16
0xfffffff008f47fd8: 147d099b  mul	x20, x8, x9
0xfffffff008f47fdc: a026ff90  adrp	x0, #0xfffffff00741b000
0xfffffff008f47fe0: 00c43991  add	x0, x0, #0xe71
0xfffffff008f47fe4: 010080d2  mov	x1, #0
0xfffffff008f47fe8: 2a08d197  bl	#0xfffffff00838a090
0xfffffff008f47fec: c00c00b4  cbz	x0, #0xfffffff008f48184
0xfffffff008f47ff0: f50300aa  mov	x21, x0
0xfffffff008f47ff4: e10314aa  mov	x1, x20
0xfffffff008f47ff8: 6507d197  bl	#0xfffffff008389d8c
0xfffffff008f47ffc: f40300aa  mov	x20, x0
0xfffffff008f48000: b00240f9  ldr	x16, [x21]
0xfffffff008f48004: f10315aa  mov	x17, x21
0xfffffff008f48008: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f4800c: 301ac1da  autda	x16, x17
0xfffffff008f48010: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008f48014: e90310aa  mov	x9, x16
0xfffffff008f48018: e00315aa  mov	x0, x21
0xfffffff008f4801c: f10309aa  mov	x17, x9
0xfffffff008f48020: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008f48024: 11093fd7  blraa	x8, x17
0xfffffff008f48028: 744a00f9  str	x20, [x19, #0x90]
0xfffffff008f4802c: 340d00b4  cbz	x20, #0xfffffff008f481d0
0xfffffff008f48030: 66b1d197  bl	#0xfffffff0083b45c8
0xfffffff008f48034: 605a00f9  str	x0, [x19, #0xb0]
0xfffffff008f48038: 200f00b4  cbz	x0, #0xfffffff008f4821c
0xfffffff008f4803c: e00313aa  mov	x0, x19
