; Candidate 371
; ADRP+ADD at VM 0xfffffff007ec9b78 (fileoff 0xec5b78): page=0x1ff18e000 add_imm=0xe5c

0xfffffff007ec9af8: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff007ec9afc: ff830191  add	sp, sp, #0x60
0xfffffff007ec9b00: ff0f5fd6  retab	
0xfffffff007ec9b04: c8268052  mov	w8, #0x136
0xfffffff007ec9b08: 698cffd0  adrp	x9, #0xfffffff007057000
0xfffffff007ec9b0c: 29493491  add	x9, x9, #0xd12
0xfffffff007ec9b10: 6a8cffd0  adrp	x10, #0xfffffff007057000
0xfffffff007ec9b14: 4a293991  add	x10, x10, #0xe4a
0xfffffff007ec9b18: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007ec9b1c: ea5300a9  stp	x10, x20, [sp]
0xfffffff007ec9b20: 608cffd0  adrp	x0, #0xfffffff007057000
0xfffffff007ec9b24: 00703891  add	x0, x0, #0xe1c
0xfffffff007ec9b28: 792a1794  bl	#0xfffffff00849450c
0xfffffff007ec9b2c: 087c8552  mov	w8, #0x2be0
0xfffffff007ec9b30: 298cfff0  adrp	x9, #0xfffffff007050000
0xfffffff007ec9b34: 29cd3c91  add	x9, x9, #0xf33
0xfffffff007ec9b38: 4a8cffb0  adrp	x10, #0xfffffff007052000
0xfffffff007ec9b3c: 4af51e91  add	x10, x10, #0x7bd
0xfffffff007ec9b40: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007ec9b44: ea0300a9  stp	x10, x0, [sp]
0xfffffff007ec9b48: 408cffb0  adrp	x0, #0xfffffff007052000
0xfffffff007ec9b4c: 00841e91  add	x0, x0, #0x7a1
0xfffffff007ec9b50: 6f2a1794  bl	#0xfffffff00849450c
0xfffffff007ec9b54: 74541794  bl	#0xfffffff00849ed24
0xfffffff007ec9b58: f61b0094  bl	#0xfffffff007ed0b30
0xfffffff007ec9b5c: e2ffff17  b	#0xfffffff007ec9ae4
0xfffffff007ec9b60: 9f2403d5  bti	j
0xfffffff007ec9b64: 282e8052  mov	w8, #0x171
0xfffffff007ec9b68: 698cffd0  adrp	x9, #0xfffffff007057000
0xfffffff007ec9b6c: 29493491  add	x9, x9, #0xd12
0xfffffff007ec9b70: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007ec9b74: f30300f9  str	x19, [sp]
0xfffffff007ec9b78: 608cffd0  adrp	x0, #0xfffffff007057000
0xfffffff007ec9b7c: 00703991  add	x0, x0, #0xe5c
0xfffffff007ec9b80: 632a1794  bl	#0xfffffff00849450c
0xfffffff007ec9b84: 0c000000  udf	#0xc
0xfffffff007ec9b88: 20000000  udf	#0x20
0xfffffff007ec9b8c: 0c010000  udf	#0x10c
0xfffffff007ec9b90: 34000000  udf	#0x34
0xfffffff007ec9b94: 0c010000  udf	#0x10c
0xfffffff007ec9b98: 0c010000  udf	#0x10c
0xfffffff007ec9b9c: 0c010000  udf	#0x10c
0xfffffff007ec9ba0: 48000000  udf	#0x48
0xfffffff007ec9ba4: 0c010000  udf	#0x10c
0xfffffff007ec9ba8: 0c010000  udf	#0x10c
0xfffffff007ec9bac: 0c010000  udf	#0x10c
0xfffffff007ec9bb0: 0c010000  udf	#0x10c
0xfffffff007ec9bb4: 0c010000  udf	#0x10c
0xfffffff007ec9bb8: 0c010000  udf	#0x10c
0xfffffff007ec9bbc: 0c010000  udf	#0x10c
0xfffffff007ec9bc0: 5c000000  udf	#0x5c
0xfffffff007ec9bc4: 7f2303d5  pacibsp	
0xfffffff007ec9bc8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff007ec9bcc: fd030091  mov	x29, sp
0xfffffff007ec9bd0: 81008052  mov	w1, #4
0xfffffff007ec9bd4: 57ffff97  bl	#0xfffffff007ec9930
0xfffffff007ec9bd8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff007ec9bdc: ff0f5fd6  retab	
0xfffffff007ec9be0: 7f2303d5  pacibsp	
0xfffffff007ec9be4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff007ec9be8: fd030091  mov	x29, sp
0xfffffff007ec9bec: 41008052  mov	w1, #2
0xfffffff007ec9bf0: 50ffff97  bl	#0xfffffff007ec9930
0xfffffff007ec9bf4: fd7bc1a8  ldp	x29, x30, [sp], #0x10
