; Candidate 13593
; ADRP+ADD at VM 0xfffffff0093ad2b4 (fileoff 0x23a92b4): page=0x1fe155000 add_imm=0xd20

0xfffffff0093ad234: b5622b91  add	x21, x21, #0xad8
0xfffffff0093ad238: e00315aa  mov	x0, x21
0xfffffff0093ad23c: c7ddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad240: 900240f9  ldr	x16, [x20]
0xfffffff0093ad244: f10314aa  mov	x17, x20
0xfffffff0093ad248: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad24c: 301ac1da  autda	x16, x17
0xfffffff0093ad250: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad254: e90310aa  mov	x9, x16
0xfffffff0093ad258: e00314aa  mov	x0, x20
0xfffffff0093ad25c: f10309aa  mov	x17, x9
0xfffffff0093ad260: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad264: 11093fd7  blraa	x8, x17
0xfffffff0093ad268: bcddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad26c: e00315aa  mov	x0, x21
0xfffffff0093ad270: baddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad274: f50300aa  mov	x21, x0
0xfffffff0093ad278: 900240f9  ldr	x16, [x20]
0xfffffff0093ad27c: f10314aa  mov	x17, x20
0xfffffff0093ad280: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad284: 301ac1da  autda	x16, x17
0xfffffff0093ad288: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093ad28c: e90310aa  mov	x9, x16
0xfffffff0093ad290: e00314aa  mov	x0, x20
0xfffffff0093ad294: f10309aa  mov	x17, x9
0xfffffff0093ad298: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093ad29c: 11093fd7  blraa	x8, x17
0xfffffff0093ad2a0: aeddbc97  bl	#0xfffffff0082e4958
0xfffffff0093ad2a4: b60affd0  adrp	x22, #0xfffffff007503000
0xfffffff0093ad2a8: d61e2591  add	x22, x22, #0x947
0xfffffff0093ad2ac: f68300a9  stp	x22, x0, [sp, #8]
0xfffffff0093ad2b0: f50300f9  str	x21, [sp]
0xfffffff0093ad2b4: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093ad2b8: 00803491  add	x0, x0, #0xd20
0xfffffff0093ad2bc: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ad2c0: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ad2c4: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093ad2c8: 63702091  add	x3, x3, #0x81c
0xfffffff0093ad2cc: 22008052  mov	w2, #1
0xfffffff0093ad2d0: 9817be97  bl	#0xfffffff008333130
0xfffffff0093ad2d4: bfe31d78  sturh	wzr, [x29, #-0x22]
0xfffffff0093ad2d8: 800e47f9  ldr	x0, [x20, #0xe18]
0xfffffff0093ad2dc: 100040f9  ldr	x16, [x0]
0xfffffff0093ad2e0: f10300aa  mov	x17, x0
0xfffffff0093ad2e4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093ad2e8: 301ac1da  autda	x16, x17
0xfffffff0093ad2ec: f10310aa  mov	x17, x16
0xfffffff0093ad2f0: f147c1da  xpacd	x17
0xfffffff0093ad2f4: 1f0211eb  cmp	x16, x17
0xfffffff0093ad2f8: 40000054  b.eq	#0xfffffff0093ad300
0xfffffff0093ad2fc: 408e38d4  brk	#0xc472
0xfffffff0093ad300: 08020b91  add	x8, x16, #0x2c0
0xfffffff0093ad304: 096241f9  ldr	x9, [x16, #0x2c0]
0xfffffff0093ad308: e10314aa  mov	x1, x20
0xfffffff0093ad30c: 02008052  mov	w2, #0
0xfffffff0093ad310: 030080d2  mov	x3, #0
0xfffffff0093ad314: f10308aa  mov	x17, x8
0xfffffff0093ad318: 31a5e8f2  movk	x17, #0x4529, lsl #48
0xfffffff0093ad31c: 31093fd7  blraa	x9, x17
0xfffffff0093ad320: 400b0036  tbz	w0, #0, #0xfffffff0093ad488
0xfffffff0093ad324: 800e47f9  ldr	x0, [x20, #0xe18]
0xfffffff0093ad328: 100040f9  ldr	x16, [x0]
0xfffffff0093ad32c: f10300aa  mov	x17, x0
0xfffffff0093ad330: 31b4f9f2  movk	x17, #0xcda1, lsl #48
