; Candidate 15222
; ADRP+ADD at VM 0xfffffff009b40588 (fileoff 0x2b3c588): page=0x1fdae8000 add_imm=0xed0

0xfffffff009b40508: 40000054  b.eq	#0xfffffff009b40510
0xfffffff009b4050c: 408e38d4  brk	#0xc472
0xfffffff009b40510: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b40514: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b40518: e00313aa  mov	x0, x19
0xfffffff009b4051c: 010080d2  mov	x1, #0
0xfffffff009b40520: f10308aa  mov	x17, x8
0xfffffff009b40524: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b40528: 31093fd7  blraa	x9, x17
0xfffffff009b4052c: f60300aa  mov	x22, x0
0xfffffff009b40530: 700240f9  ldr	x16, [x19]
0xfffffff009b40534: f10313aa  mov	x17, x19
0xfffffff009b40538: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4053c: 301ac1da  autda	x16, x17
0xfffffff009b40540: f10310aa  mov	x17, x16
0xfffffff009b40544: f147c1da  xpacd	x17
0xfffffff009b40548: 1f0211eb  cmp	x16, x17
0xfffffff009b4054c: 40000054  b.eq	#0xfffffff009b40554
0xfffffff009b40550: 408e38d4  brk	#0xc472
0xfffffff009b40554: 08620891  add	x8, x16, #0x218
0xfffffff009b40558: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4055c: e00313aa  mov	x0, x19
0xfffffff009b40560: 010080d2  mov	x1, #0
0xfffffff009b40564: f10308aa  mov	x17, x8
0xfffffff009b40568: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4056c: 31093fd7  blraa	x9, x17
0xfffffff009b40570: 48d7feb0  adrp	x8, #0xfffffff007629000
0xfffffff009b40574: 08951e91  add	x8, x8, #0x7a5
0xfffffff009b40578: 49d7feb0  adrp	x9, #0xfffffff007629000
0xfffffff009b4057c: 29e11491  add	x9, x9, #0x538
0xfffffff009b40580: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b40584: f60300a9  stp	x22, x0, [sp]
0xfffffff009b40588: 40d7fe90  adrp	x0, #0xfffffff007628000
0xfffffff009b4058c: 00403b91  add	x0, x0, #0xed0
0xfffffff009b40590: 43d7fef0  adrp	x3, #0xfffffff00762b000
0xfffffff009b40594: 63fc2391  add	x3, x3, #0x8ff
0xfffffff009b40598: e10315aa  mov	x1, x21
0xfffffff009b4059c: e20314aa  mov	x2, x20
0xfffffff009b405a0: e4ca9f97  bl	#0xfffffff008333130
0xfffffff009b405a4: 005b8052  mov	w0, #0x2d8
0xfffffff009b405a8: 0000bc72  movk	w0, #0xe000, lsl #16
0xfffffff009b405ac: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009b405b0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009b405b4: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009b405b8: ff430191  add	sp, sp, #0x50
0xfffffff009b405bc: ff0f5fd6  retab	
0xfffffff009b405c0: 010080d2  mov	x1, #0
0xfffffff009b405c4: d00240f9  ldr	x16, [x22]
0xfffffff009b405c8: f10316aa  mov	x17, x22
0xfffffff009b405cc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b405d0: 301ac1da  autda	x16, x17
0xfffffff009b405d4: 088e4ef8  ldr	x8, [x16, #0xe8]!
0xfffffff009b405d8: e60310aa  mov	x6, x16
0xfffffff009b405dc: f00308aa  mov	x16, x8
0xfffffff009b405e0: e00316aa  mov	x0, x22
0xfffffff009b405e4: 02209052  mov	w2, #0x8100
0xfffffff009b405e8: e27fbc72  movk	w2, #0xe3ff, lsl #16
0xfffffff009b405ec: e30315aa  mov	x3, x21
0xfffffff009b405f0: e40314aa  mov	x4, x20
0xfffffff009b405f4: 050080d2  mov	x5, #0
0xfffffff009b405f8: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009b405fc: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009b40600: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009b40604: ff430191  add	sp, sp, #0x50
