; Candidate 13180
; ADRP+ADD at VM 0xfffffff009211814 (fileoff 0x220d814): page=0x1fe29b000 add_imm=0xd17

0xfffffff009211794: f40300a9  stp	x20, x0, [sp]
0xfffffff009211798: c114fff0  adrp	x1, #0xfffffff0074ac000
0xfffffff00921179c: 216c3391  add	x1, x1, #0xcdb
0xfffffff0092117a0: 00008052  mov	w0, #0
0xfffffff0092117a4: d7420094  bl	#0xfffffff009222300
0xfffffff0092117a8: 488800d0  adrp	x8, #0xfffffff00a31b000
0xfffffff0092117ac: 08353891  add	x8, x8, #0xe0d
0xfffffff0092117b0: 08014039  ldrb	w8, [x8]
0xfffffff0092117b4: 68630135  cbnz	w8, #0xfffffff009214420
0xfffffff0092117b8: 688e40b9  ldr	w8, [x19, #0x8c]
0xfffffff0092117bc: 09050011  add	w9, w8, #1
0xfffffff0092117c0: 698e00b9  str	w9, [x19, #0x8c]
0xfffffff0092117c4: 1f250071  cmp	w8, #9
0xfffffff0092117c8: c8620154  b.hi	#0xfffffff009214420
0xfffffff0092117cc: 700240f9  ldr	x16, [x19]
0xfffffff0092117d0: f10313aa  mov	x17, x19
0xfffffff0092117d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092117d8: 301ac1da  autda	x16, x17
0xfffffff0092117dc: 113d80d2  mov	x17, #0x1e8
0xfffffff0092117e0: 1002118b  add	x16, x16, x17
0xfffffff0092117e4: 080240f9  ldr	x8, [x16]
0xfffffff0092117e8: e90310aa  mov	x9, x16
0xfffffff0092117ec: e00313aa  mov	x0, x19
0xfffffff0092117f0: 010080d2  mov	x1, #0
0xfffffff0092117f4: f10309aa  mov	x17, x9
0xfffffff0092117f8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0092117fc: 11093fd7  blraa	x8, x17
0xfffffff009211800: 08218052  mov	w8, #0x108
0xfffffff009211804: c914fff0  adrp	x9, #0xfffffff0074ac000
0xfffffff009211808: 29453491  add	x9, x9, #0xd11
0xfffffff00921180c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009211810: e00300f9  str	x0, [sp]
0xfffffff009211814: c014fff0  adrp	x0, #0xfffffff0074ac000
0xfffffff009211818: 005c3491  add	x0, x0, #0xd17
0xfffffff00921181c: 0116c597  bl	#0xfffffff008357020
0xfffffff009211820: 000b0014  b	#0xfffffff009214420
0xfffffff009211824: 010140f9  ldr	x1, [x8]
0xfffffff009211828: 700240f9  ldr	x16, [x19]
0xfffffff00921182c: f10313aa  mov	x17, x19
0xfffffff009211830: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009211834: 301ac1da  autda	x16, x17
0xfffffff009211838: 112080d2  mov	x17, #0x100
0xfffffff00921183c: 1002118b  add	x16, x16, x17
0xfffffff009211840: 080240f9  ldr	x8, [x16]
0xfffffff009211844: e90310aa  mov	x9, x16
0xfffffff009211848: e00313aa  mov	x0, x19
0xfffffff00921184c: f10309aa  mov	x17, x9
0xfffffff009211850: 514ce2f2  movk	x17, #0x1262, lsl #48
0xfffffff009211854: 11093fd7  blraa	x8, x17
0xfffffff009211858: 48034039  ldrb	w8, [x26]
0xfffffff00921185c: 28040034  cbz	w8, #0xfffffff0092118e0
0xfffffff009211860: 68034039  ldrb	w8, [x27]
0xfffffff009211864: e8030034  cbz	w8, #0xfffffff0092118e0
0xfffffff009211868: ff2300f9  str	xzr, [sp, #0x40]
0xfffffff00921186c: 990ab397  bl	#0xfffffff007ed42d0
0xfffffff009211870: e1030191  add	x1, sp, #0x40
0xfffffff009211874: f30bb397  bl	#0xfffffff007ed4840
0xfffffff009211878: f52340f9  ldr	x21, [sp, #0x40]
0xfffffff00921187c: 700240f9  ldr	x16, [x19]
0xfffffff009211880: f10313aa  mov	x17, x19
0xfffffff009211884: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009211888: 301ac1da  autda	x16, x17
0xfffffff00921188c: f10310aa  mov	x17, x16
0xfffffff009211890: f147c1da  xpacd	x17
