; Candidate 2315
; ADRP+ADD at VM 0xfffffff008615f0c (fileoff 0x1611f0c): page=0x1ff3bc000 add_imm=0xe58

0xfffffff008615e8c: b193faf2  movk	x17, #0xd49d, lsl #48
0xfffffff008615e90: 300ac1da  pacda	x16, x17
0xfffffff008615e94: 104800f9  str	x16, [x0, #0x90]
0xfffffff008615e98: 08a00491  add	x8, x0, #0x128
0xfffffff008615e9c: d09dffd0  adrp	x16, #0xfffffff0079cf000
0xfffffff008615ea0: 10a23f91  add	x16, x16, #0xfe8
0xfffffff008615ea4: 10023591  add	x16, x16, #0xd40
0xfffffff008615ea8: f10308aa  mov	x17, x8
0xfffffff008615eac: f1c7e7f2  movk	x17, #0x3e3f, lsl #48
0xfffffff008615eb0: 300ac1da  pacda	x16, x17
0xfffffff008615eb4: 109400f9  str	x16, [x0, #0x128]
0xfffffff008615eb8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008615ebc: ff0f5fd6  retab	
0xfffffff008615ec0: 5f2403d5  bti	c
0xfffffff008615ec4: 50bdff17  b	#0xfffffff008605404
0xfffffff008615ec8: 5f2403d5  bti	c
0xfffffff008615ecc: 4ebdff17  b	#0xfffffff008605404
0xfffffff008615ed0: 5f2403d5  bti	c
0xfffffff008615ed4: 002002d1  sub	x0, x0, #0x88
0xfffffff008615ed8: 4bbdff17  b	#0xfffffff008605404
0xfffffff008615edc: 5f2403d5  bti	c
0xfffffff008615ee0: 004002d1  sub	x0, x0, #0x90
0xfffffff008615ee4: 48bdff17  b	#0xfffffff008605404
0xfffffff008615ee8: 5f2403d5  bti	c
0xfffffff008615eec: 00a004d1  sub	x0, x0, #0x128
0xfffffff008615ef0: 45bdff17  b	#0xfffffff008605404
0xfffffff008615ef4: 7f2303d5  pacibsp	
0xfffffff008615ef8: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008615efc: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008615f00: fd430091  add	x29, sp, #0x10
0xfffffff008615f04: f30300aa  mov	x19, x0
0xfffffff008615f08: 3fbdff97  bl	#0xfffffff008605404
0xfffffff008615f0c: e09dff90  adrp	x0, #0xfffffff0079d1000
0xfffffff008615f10: 00603991  add	x0, x0, #0xe58
0xfffffff008615f14: e10313aa  mov	x1, x19
0xfffffff008615f18: 02808052  mov	w2, #0x400
0xfffffff008615f1c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008615f20: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008615f24: ff2303d5  autibsp	
0xfffffff008615f28: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008615f2c: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008615f34
0xfffffff008615f30: 208e38d4  brk	#0xc471
0xfffffff008615f34: da45f317  b	#0xfffffff0082e769c
0xfffffff008615f38: 5f2403d5  bti	c
0xfffffff008615f3c: e20301aa  mov	x2, x1
0xfffffff008615f40: e10300aa  mov	x1, x0
0xfffffff008615f44: e09dff90  adrp	x0, #0xfffffff0079d1000
0xfffffff008615f48: 00603991  add	x0, x0, #0xe58
0xfffffff008615f4c: d445f317  b	#0xfffffff0082e769c
0xfffffff008615f50: 7f2303d5  pacibsp	
0xfffffff008615f54: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008615f58: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008615f5c: fd430091  add	x29, sp, #0x10
0xfffffff008615f60: 132002d1  sub	x19, x0, #0x88
0xfffffff008615f64: e00313aa  mov	x0, x19
0xfffffff008615f68: 27bdff97  bl	#0xfffffff008605404
0xfffffff008615f6c: e09dff90  adrp	x0, #0xfffffff0079d1000
0xfffffff008615f70: 00603991  add	x0, x0, #0xe58
0xfffffff008615f74: e10313aa  mov	x1, x19
0xfffffff008615f78: 02808052  mov	w2, #0x400
0xfffffff008615f7c: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008615f80: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008615f84: ff2303d5  autibsp	
0xfffffff008615f88: d0071eca  eor	x16, x30, x30, lsl #1
