; Candidate 9164
; ADRP+ADD at VM 0xfffffff008a05b9c (fileoff 0x1a01b9c): page=0x1fe894000 add_imm=0xe40

0xfffffff008a05b1c: 00bc1d91  add	x0, x0, #0x76f
0xfffffff008a05b20: 4045e597  bl	#0xfffffff008357020
0xfffffff008a05b24: c0ffff17  b	#0xfffffff008a05a24
0xfffffff008a05b28: 700240f9  ldr	x16, [x19]
0xfffffff008a05b2c: f10313aa  mov	x17, x19
0xfffffff008a05b30: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05b34: 301ac1da  autda	x16, x17
0xfffffff008a05b38: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05b3c: 1002118b  add	x16, x16, x17
0xfffffff008a05b40: 080240f9  ldr	x8, [x16]
0xfffffff008a05b44: e90310aa  mov	x9, x16
0xfffffff008a05b48: e00313aa  mov	x0, x19
0xfffffff008a05b4c: 010080d2  mov	x1, #0
0xfffffff008a05b50: f10309aa  mov	x17, x9
0xfffffff008a05b54: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05b58: 11093fd7  blraa	x8, x17
0xfffffff008a05b5c: 700240f9  ldr	x16, [x19]
0xfffffff008a05b60: f10313aa  mov	x17, x19
0xfffffff008a05b64: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05b68: 301ac1da  autda	x16, x17
0xfffffff008a05b6c: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05b70: 1002118b  add	x16, x16, x17
0xfffffff008a05b74: 080240f9  ldr	x8, [x16]
0xfffffff008a05b78: e90310aa  mov	x9, x16
0xfffffff008a05b7c: e00313aa  mov	x0, x19
0xfffffff008a05b80: 010080d2  mov	x1, #0
0xfffffff008a05b84: f10309aa  mov	x17, x9
0xfffffff008a05b88: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05b8c: 11093fd7  blraa	x8, x17
0xfffffff008a05b90: b444ffb0  adrp	x20, #0xfffffff00729a000
0xfffffff008a05b94: 94621d91  add	x20, x20, #0x758
0xfffffff008a05b98: e05300a9  stp	x0, x20, [sp]
0xfffffff008a05b9c: a044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a05ba0: 00003991  add	x0, x0, #0xe40
0xfffffff008a05ba4: 2182ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a05ba8: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a05bac: c344ffb0  adrp	x3, #0xfffffff00729e000
0xfffffff008a05bb0: 63d42091  add	x3, x3, #0x835
0xfffffff008a05bb4: 02028052  mov	w2, #0x10
0xfffffff008a05bb8: 5eb5e497  bl	#0xfffffff008333130
0xfffffff008a05bbc: 700240f9  ldr	x16, [x19]
0xfffffff008a05bc0: f10313aa  mov	x17, x19
0xfffffff008a05bc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05bc8: 301ac1da  autda	x16, x17
0xfffffff008a05bcc: f10310aa  mov	x17, x16
0xfffffff008a05bd0: f147c1da  xpacd	x17
0xfffffff008a05bd4: 1f0211eb  cmp	x16, x17
0xfffffff008a05bd8: 40000054  b.eq	#0xfffffff008a05be0
0xfffffff008a05bdc: 408e38d4  brk	#0xc472
0xfffffff008a05be0: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a05be4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a05be8: e00313aa  mov	x0, x19
0xfffffff008a05bec: 010080d2  mov	x1, #0
0xfffffff008a05bf0: f10308aa  mov	x17, x8
0xfffffff008a05bf4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05bf8: 31093fd7  blraa	x9, x17
0xfffffff008a05bfc: e05300a9  stp	x0, x20, [sp]
0xfffffff008a05c00: a044ffb0  adrp	x0, #0xfffffff00729a000
0xfffffff008a05c04: 00481e91  add	x0, x0, #0x792
0xfffffff008a05c08: 0645e597  bl	#0xfffffff008357020
0xfffffff008a05c0c: 48588052  mov	w8, #0x2c2
0xfffffff008a05c10: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008a05c14: 141d0011  add	w20, w8, #7
0xfffffff008a05c18: 83ffff17  b	#0xfffffff008a05a24
